Name,Affiliation,Followers,Likes,Retweets,Replies,Views
SabbySabs2,Democratic Party,75700,934,73,343,48242
TristanSnell,Democratic Party,571900,5640,155,1930,128116
TristanSnell,Democratic Party,571900,3649,885,1790,150426
BernardKerik,Republican Party,328900,1014,83,262,33393
Jaybefaunt,Republican Party,54500,225,10,73,5316
TomFitton,Republican Party,2700000,300,23,72,28811
TomFitton,Republican Party,2700000,1873,75,575,115012
TomFitton,Republican Party,2700000,338,37,107,38494
TomFitton,Republican Party,2700000,229,19,93,35510
BarbMcQuade,Democratic Party,704200,317,6,25,16494
BarbMcQuade,Democratic Party,704200,474,8,34,17059
jimmy_dore,Other,628500,5239,257,1465,279966
RonFilipkowski,Democratic Party,1000000,1337,724,303,554681
RonFilipkowski,Democratic Party,1000000,7409,481,1887,1786908
RonFilipkowski,Democratic Party,1000000,1012,421,208,343494
RonFilipkowski,Democratic Party,1000000,25397,3265,6635,2957646
anthonyzenkus,Democratic Party,88800,1471,49,642,45843
anthonyzenkus,Democratic Party,88800,283,13,79,5028
anthonyzenkus,Democratic Party,88800,276,23,73,4896
anthonyzenkus,Democratic Party,88800,706,21,230,21510
benshapiro,Republican Party,7000000,1417,47,139,189279
benshapiro,Republican Party,7000000,1026,59,98,153338
benshapiro,Republican Party,7000000,444,32,28,251511
benshapiro,Republican Party,7000000,5079,420,478,965700
IngrahamAngle,Republican Party,4900000,717,85,198,59513
IngrahamAngle,Republican Party,4900000,981,267,194,68953
RealSpikeCohen,Republican Party,222100,774,17,141,29204
RealSpikeCohen,Republican Party,222100,7543,230,1332,372960
briebriejoy,Democratic Party,418700,423,180,133,152483
briebriejoy,Democratic Party,418700,1479,303,341,170242
briebriejoy,Democratic Party,418700,338,33,106,54442
ComicDaveSmith,Republican Party,570400,2577,138,228,89155
ComicDaveSmith,Republican Party,570400,8286,320,1572,346129
ComicDaveSmith,Republican Party,570400,5401,142,949,330514
TheRickWilson,Democratic Party,1600000,6283,154,732,233147
TheRickWilson,Democratic Party,1600000,6283,154,732,233147
RealSpikeCohen,Republican Party,222100,2010,51,84,70011
RealSpikeCohen,Republican Party,222100,657,15,33,35265
ComicDaveSmith,Republican Party,570400,1809,91,112,154663
ComicDaveSmith,Republican Party,570400,1015,43,72,73509
ComicDaveSmith,Republican Party,570400,3086,142,380,448888
ComicDaveSmith,Republican Party,570400,788,19,65,59168
SabbySabs2,Democratic Party,75700,259,26,104,12967
mmpadellan,Democratic Party,1300000,1069,182,314,54918
mmpadellan,Democratic Party,1300000,24343,939,16978,841309
krystalball,Democratic Party,587700,4215,133,1211,253842
krystalball,Democratic Party,587700,1991,49,457,215497
krystalball,Democratic Party,587700,14437,457,3108,681796
krystalball,Democratic Party,587700,358,4,61,65612
SteveSchmidtSES,Democratic Party,1500000,1223,92,251,101802
SteveSchmidtSES,Democratic Party,1500000,1420,90,459,122221
SteveSchmidtSES,Democratic Party,1500000,1420,90,459,122221
jimmy_dore,Other,628500,2648,164,487,146266
davidsirota,Democratic Party,336700,862,18,208,30853
davidsirota,Democratic Party,336700,354,7,96,12592
davidsirota,Democratic Party,336700,3652,56,1700,152930
davidsirota,Democratic Party,336700,1739,39,848,114546
