Subject ID,Affiliation,Number of Followers,After Corpus,After List of Likes,After List of Retweets
51,Democratic Party,1100000,"hey, remember when you phoned up your despot bestie Netanyahu and told him not to accept a cease fire deal? ace job, homeslice. good thing your meddling caused no serious consequences, am I right",17257,2079
51,Democratic Party,1100000,"hey, remember when Jared Kushner brought peace to the Middle East? me neither",19943,3345
51,Democratic Party,1100000,"hey, remember when Jared Kushner brought lasting peace to the Middle East? me neither",19332,3442
29,Republican Party,201800000,"Yes, “decolonization” necessarily implies a Jewish genocide, thus it is unacceptable to any reasonable person",34170,7042
26,Democratic Party,571900,Why is there not a cease fire in the Israel-Palestine war?  The #1 reason right now is because DONALD TRUMP has illegally lobbied Israeli prime minister Benjamin Netanyahu to refuse a cease fire because it would help Harris -- in blatant violation of the Logan Act.  THATS why.,6663,3114
73,Democratic Party,418700,"Who does this guy think has been shutting down Grand Central, the Statue of Liberty etc?  Anyway, learn more about these courageous Jewish activists who are saying they don’t want war crimes committed in their name on the latest @BadFaithPod. #NotInMyName",5390,1214
68,Republican Party,12400000,"While Donald Trump immediately stood with the patriots of East Palestine, Joe Biden was no where to be found when they needed him the most. He refused to step foot in East Palestine for an entire year, but now since its election time, hes showing up for a photo op.  Pathetic!",16759,4846
52,Democratic Party,1300000,"While Democrats push for ceasefire and humanitarian aid in Gaza, Republicans like Rep. Tim Walberg call for the slaughters of Palestinian children, ""It should be like Nagasaki and Hiroshima.""  This should be a much bigger story.",3900,2146
15,Republican Party,570400,"Whats the difference between a ""poison pill"" as described here and giving Gaza funding to become independent while expecting they will fail? Dont they look and sound the same?",2285,227
98,Republican Party,7000000,We ought to have sympathy for both. And we ought to recognize that both are dead because of Hamas.,16712,3228
72,Democratic Party,1000000,"We aren’t going to forget in November who it is that ran on a Muslim ban and who it is that is promising mass deportations and who it is that will hand Gaza and the West Bank to Netanyahu on a silver fucking platter. Unlike @RashidaTlaib, we Arabs aren’t going to forget, are we?",1447,302
98,Republican Party,7000000,"Was supremely moved by this speech, which was searing and compassionate. Also seems essential to include a Palestinian speaker to the convention.   …",5622,1157
52,Democratic Party,1300000,"WOW.  Senator Chuck Schumer called Benjamin Netanyahu ""an obstacle to peace,"" and ""too willing to tolerate the civilian toll in Gaza,"" and called for Israel to hold new elections to replace him.  Senator Schumer is 100% right.",29184,7337
53,Democratic Party,1400000,"Vice President Harris: ""President Biden and I are working to end this war such that Israel is secure, the hostages are released, the suffering in Gaza ends, and the Palestinian people can realize their right to dignity. Security. Freedom. And self-determination.""",1720,331
83,Republican Party,2700000,"UN agency ""aid"" get ""stolen"" by Hamas.  ""U.N. sources told Israel’s Walla News that the aid was stolen, and Israel’s military liaison to the Palestinians reports that 24,000 liters of fuel and medical supplies went to Hamas, whose underground bases use diesel generators.""",1139,600
26,Democratic Party,571900,"Trump usually spends the summer in Bedminster, New Jersey.  Yet he met with Netanyahu at Mar-a-Lago.  WHY?  Because he KNEW it was a violation of the Logan Act — and wanted to avoid being prosecuted by the Feds in New Jersey — whereas in Florida he could draw Aileen Cannon again.",24601,8352
92,Democratic Party,1000000,Trump to Netanyahu today: “No president has done what I’ve done for Israel.”,1442,477
53,Democratic Party,1400000,"Trump ranted last night about Gov. Josh Shapiro — calling him ""the highly overrated Jewish Governor"" and claiming he has done ""nothing for Israel.""  In response, White House spokesman Herbie Ziskend says: ""It is Antisemitic, dangerous, and hurtful to attack a fellow American by",3419,781
29,Republican Party,201800000,"This was a tough call.   While many government leaders, including in the USA, do call for killing people, we have a “UN exemption rule”; if a government is recognized by the UN, we will not suspend their accounts.  Hamas is not recognized as a government by the UN, so was",4181,1527
