Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views,prop_Israeli,prop_Warm,prop_Competence,prop_Incompetence,prop_Cold,prop_Jewish,prop_Muslim,prop_Arabic,prop_IDF,prop_Hamas,count_Israeli,count_Warm,count_Competence,count_Incompetence,count_Cold,count_Jewish,count_Muslim,count_Arabic,count_IDF,count_Hamas,words_Israeli,words_Warm,words_Competence,words_Incompetence,words_Cold,words_Jewish,words_Muslim,words_Arabic,words_IDF,words_Hamas,total_words
74,Democratic Party,1100000.0,609,0.5,"September 01, 2024 08:08 PM","hey, remember when you phoned up your despot bestie Netanyahu and told him not to accept a cease fire deal? ace job, homeslice. good thing your meddling caused no serious consequences, am I right",17257,2079,432,428383,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,0,0,0,0,0,0,['netanyahu'],"['good', 'serious', 'right']",['good'],[],[],[],[],[],[],[],34
74,Democratic Party,1100000.0,705,0.5,"October 07, 2023 03:51 PM","hey, remember when Jared Kushner brought peace to the Middle East? me neither",19943,3345,1082,325181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],13
74,Democratic Party,1100000.0,133,0.5,"April 13, 2024 09:50 PM","hey, remember when Jared Kushner brought lasting peace to the Middle East? me neither",19332,3442,941,240803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],14
30,Republican Party,201800000.0,968,-0.5,"November 15, 2023 11:42 PM","Yes, “decolonization” necessarily implies a Jewish genocide, thus it is unacceptable to any reasonable person",34170,7042,5062,48396757,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,[],[],['reasonable'],[],[],['jewish'],[],[],[],[],15
20,Democratic Party,418700.0,771,0.5,"November 26, 2023 04:41 AM","Who does this guy think has been shutting down Grand Central, the Statue of Liberty etc?  Anyway, learn more about these courageous Jewish activists who are saying they don’t want war crimes committed in their name on the latest @BadFaithPod. #NotInMyName",5390,1214,299,123264,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],['jewish'],[],[],[],[],42
78,Republican Party,570400.0,240,-0.5,"July 10, 2024 06:45 PM","Whats the difference between a ""poison pill"" as described here and giving Gaza funding to become independent while expecting they will fail? Dont they look and sound the same?",2285,227,88,177861,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,[],['sound'],['independent'],['independent'],[],[],[],[],[],[],29
41,Republican Party,7000000.0,619,-0.5,"October 16, 2023 12:36 PM",We ought to have sympathy for both. And we ought to recognize that both are dead because of Hamas.,16712,3228,1560,1985328,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0,0,0,0,1,0,0,0,0,1,[],[],[],[],['dead'],[],[],[],[],['hamas'],19
23,Republican Party,2600000.0,254,-0.5,"April 24, 2024 08:08 PM",We need to stop referring to these people as “anti-Israel” protesters. They couldn’t find Israel on a map.   They are misfits and losers who are carrying the banner for Islamic terrorism and many of them are doing it because it’s their only opportunity to fit in and be a part of,7200,1340,424,148824,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,[],[],['fit'],[],[],[],['islamic'],[],[],[],54
26,Democratic Party,1000000.0,247,0.5,"May 26, 2024 10:59 PM","We aren’t going to forget in November who it is that ran on a Muslim ban and who it is that is promising mass deportations and who it is that will hand Gaza and the West Bank to Netanyahu on a silver fucking platter. Unlike @RashidaTlaib, we Arabs aren’t going to forget, are we?",1447,302,345,65718,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,['netanyahu'],[],[],[],[],[],['muslim'],[],[],[],56
41,Republican Party,7000000.0,311,-0.5,"August 22, 2024 12:37 AM","Was supremely moved by this speech, which was searing and compassionate. Also seems essential to include a Palestinian speaker to the convention.   …",5622,1157,3780,1097497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],['palestinian'],[],[],22
