Name,Affiliation,Followers,Likes,Retweets,Replies,Views
anthonyzenkus,Democratic Party,88800,1739,68,190,50019
anthonyzenkus,Democratic Party,88800,277,16,38,8201
anthonyzenkus,Democratic Party,88800,791,23,443,11845
anthonyzenkus,Democratic Party,88800,905,63,372,12920
anthonyzenkus,Democratic Party,88800,1505,44,619,31610
anthonyzenkus,Democratic Party,88800,381,15,234,6644
anthonyzenkus,Democratic Party,88800,1305,43,488,16921
anthonyzenkus,Democratic Party,88800,533,34,315,21785
anthonyzenkus,Democratic Party,88800,644,39,358,22280
anthonyzenkus,Democratic Party,88800,796,57,541,53719
anthonyzenkus,Democratic Party,88800,253,34,151,7044
jimmy_dore,Other,628500,8554,504,2987,777965
jimmy_dore,Other,628500,312,37,92,29873
jimmy_dore,Other,628500,1062,85,300,31417
jimmy_dore,Other,628500,224,52,46,37253
jimmy_dore,Other,628500,232,69,65,49519
IngrahamAngle,Republican Party,4900000,223,38,62,62576
IngrahamAngle,Republican Party,4900000,227,89,51,44360
IngrahamAngle,Republican Party,4900000,486,122,97,35778
IngrahamAngle,Republican Party,4900000,723,127,205,54358
IngrahamAngle,Republican Party,4900000,380,113,115,48246
TomFitton,Republican Party,2700000,249,30,130,17395
TomFitton,Republican Party,2700000,547,54,238,30359
TomFitton,Republican Party,2700000,528,48,440,29929
TomFitton,Republican Party,2700000,1359,58,433,40542
TomFitton,Republican Party,2700000,216,18,71,35428
TomFitton,Republican Party,2700000,349,79,188,39601
TomFitton,Republican Party,2700000,843,38,385,32958
TomFitton,Republican Party,2700000,1139,61,600,96012
PatTheSocialist,Republican Party,71800,1642,34,807,26566
PatTheSocialist,Republican Party,71800,484,3,164,7859
PatTheSocialist,Republican Party,71800,646,21,225,9581
PatTheSocialist,Republican Party,71800,636,31,381,17599
PatTheSocialist,Republican Party,71800,18155,857,4192,883511
PatTheSocialist,Republican Party,71800,1753,21,486,19812
BillOReilly,Republican Party,3300000,2653,53,448,116249
BillOReilly,Republican Party,3300000,221,24,34,36825
BillOReilly,Republican Party,3300000,263,17,41,96614
BillOReilly,Republican Party,3300000,339,77,52,32303
brad_polumbo,Republican Party,65800,233,19,39,11083
brad_polumbo,Republican Party,65800,383,21,33,86241
brad_polumbo,Republican Party,65800,474,119,154,59665
brad_polumbo,Republican Party,65800,612,76,65,45118
brad_polumbo,Republican Party,65800,1340,79,118,54720
BernardKerik,Republican Party,328900,279,16,80,11603
BernardKerik,Republican Party,328900,2489,215,1393,83213
SabbySabs2,Democratic Party,75700,694,32,223,10263
SabbySabs2,Democratic Party,75700,1275,100,429,45061
SabbySabs2,Democratic Party,75700,201,3,14,2079
SabbySabs2,Democratic Party,75700,638,39,166,9536
SabbySabs2,Democratic Party,75700,2264,87,681,44133
SabbySabs2,Democratic Party,75700,256,14,110,6340
SabbySabs2,Democratic Party,75700,366,68,24,9878
SabbySabs2,Democratic Party,75700,579,18,255,16704
SabbySabs2,Democratic Party,75700,271,38,161,6404
SabbySabs2,Democratic Party,75700,508,33,194,13016
SabbySabs2,Democratic Party,75700,676,45,300,14820
natsechobbyist,Democratic Party,477600,631,67,31,19732
natsechobbyist,Democratic Party,477600,802,3552,363,430458
natsechobbyist,Democratic Party,477600,851,32,285,28100
natsechobbyist,Democratic Party,477600,727,29,38,9023
natsechobbyist,Democratic Party,477600,1568,4,595,41068
BobMurphyEcon,Republican Party,103800,567,59,80,47164
BobMurphyEcon,Republican Party,103800,254,3,21,21861
BobMurphyEcon,Republican Party,103800,207,9,34,18340
BobMurphyEcon,Republican Party,103800,209,19,20,11859
BobMurphyEcon,Republican Party,103800,340,13,38,12335
BobMurphyEcon,Republican Party,103800,1077,123,181,92430
BobMurphyEcon,Republican Party,103800,327,18,34,11647
TristanSnell,Democratic Party,571900,104244,9425,31318,3833874
TristanSnell,Democratic Party,571900,24600,2686,8356,679713
TristanSnell,Democratic Party,571900,25561,1355,8086,390695
TristanSnell,Democratic Party,571900,4178,128,1086,91129
TristanSnell,Democratic Party,571900,3255,197,683,64051
TristanSnell,Democratic Party,571900,63401,3052,18402,956530
RonFilipkowski,Democratic Party,1000000,813,53,317,133723
RonFilipkowski,Democratic Party,1000000,1520,103,363,66505
