Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,Before_Dates,Before_Likes,Before_Retweets,Before_Replies,Before_Views,prop_Warm,prop_Incompetence,prop_Cold,prop_Competence,prop_Jewish,prop_Muslim,prop_Arabic,prop_Israeli,prop_IDF,prop_Hamas,count_Warm,count_Incompetence,count_Cold,count_Competence,count_Jewish,count_Muslim,count_Arabic,count_Israeli,count_IDF,count_Hamas,words_Warm,words_Incompetence,words_Cold,words_Competence,words_Jewish,words_Muslim,words_Arabic,words_Israeli,words_IDF,words_Hamas,total_words,ColumnID,Text,Segment,Tone,Linguistic,adverb,adj,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,Hate_Score
26,Democratic Party,1000000,5438,0.5,"October 13, 2022 02:51 AM",3521,405,69,42919,0.0188679245283018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,['kind'],[],[],[],[],[],[],[],[],[],53,Before_Corpus,He makes me sick to my stomach. Hadn’t those families suffered enough? What kind of monster needs to exacerbate their pain by calling the massacre of their babies a “hoax”? What parent on the planet can stand with someone like him? I don’t get it.  But no dollar amount is enough.,1,1.0,76.47,0.0,5.88,7.84,0.0,7.84,5.88,0.0,5.88,0.0,0.0,0.0,0.0,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.007447138894349337
92,Democratic Party,1500000,3168,0.5,"September 21, 2023 12:54 PM",1420,459,90,122221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.0,0.0,0,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],['netanyahu'],[],[],48,Before_Corpus,"""There is no deal between the United States, Bibi Netanyahu’s extremist and anti-democratic coalition and MBS that should ever be ratified by the United States Senate. Ever.""  More on why the United States of America should never sign a mutual defense pact with the Saudi regime:",1,20.23,54.35,10.87,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,2.17,2.17,0.0,0.0,0.0,0.0,0.01364551018923521
87,Republican Party,2700000,1502,-0.5,"May 19, 2023 05:39 AM",1873,575,75,115012,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,0,[],"['back', 'back']",['dead'],[],[],[],[],[],[],[],50,Before_Corpus,"Biden gang walks back claim drone strike killed senior al-Qaeda leader  ""U.S. military officials are walking back claims that a recent strike in Syria killed an influential al-Qaeda figure, following assertions by the dead man’s family that he had no ties to terrorists but was a",1,1.0,41.3,0.0,2.17,6.52,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.09,13.04,0.0,0.0,4.35,0.0,0.0,0.004927890375256538
52,Democratic Party,437700,9781,0.5,"November 04, 2022 05:00 PM",1442,271,23,27317,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,[],[],[],[],"['jewish', 'jewish']",[],[],[],[],[],46,Before_Corpus,"I try not to invoke my Jewish identity because opinions have value on merits, not ethnicity. But the policing of black celebrities is embarrassing. Also massively hypocritical: US media and Jewish groups are now silent on US backing of openly neo-Nazi Azov Battalion in Ukraine.",1,3.72,55.56,4.44,6.67,6.67,2.22,4.44,2.22,0.0,2.22,0.0,0.0,0.0,0.0,13.33,4.44,0.0,0.0,0.0,2.22,0.0,0.003774212207645178
41,Republican Party,7000000,3261,-0.5,"July 24, 2023 02:18 PM",5228,892,827,1489217,0.0222222222222222,0.0444444444444444,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,1,2,0,0,0,0,0,1,0,0,['mild'],"['mild', 'unreasonable']",[],[],[],[],[],['israeli'],[],[],45,Before_Corpus,"The current Israeli government had to pass the judicial reform. It is INCREDIBLY mild: it merely says that the judiciary cannot simply declare a law ""unconstitutional"" in a land with no written constitution on the basis of it being ""unreasonable.""   Imagine the Supreme Court in",1,20.23,71.11,6.67,6.67,4.44,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89,8.89,0.0,0.0,0.0,2.22,6.67,0.0046737766824662685
92,Democratic Party,1500000,8855,0.5,"January 05, 2023 08:39 PM",1420,459,90,122221,0.0,0.0,0.0,0.0,0.0212765957446808,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,[],[],[],[],['jew'],[],[],[],[],[],47,Before_Corpus,"Today, I visited the oldest synagogue in continuous use in the Western Hemisphere. The first Jew prayed here in 1732, the year that George Washington was born. Today, McCarthy met with antisemite Paul Gosar. What do you call someone who seeks power with the aid of antisemites?”",1,53.17,63.83,2.13,8.51,2.13,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02,8.51,2.13,0.0,0.0,0.0,2.13,0.002817401895299554
26,Democratic Party,1000000,3050,0.5,"April 02, 2023 12:46 PM",1717,199,95,64053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],43,Before_Corpus,"Says the fist pumping domestic terrorists guy who tried to overturn an election in order to install the thrice philandering, serially lying ‘disciple of Jesus’ who mocked a disabled reporter & bragged about sexually assaulting women.  You’re about as hypocritical as they come.",1,1.0,57.14,4.76,4.76,11.9,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19,9.52,0.0,0.0,2.38,2.38,2.38,0.033467359840869904
52,Democratic Party,437700,8696,0.5,"August 21, 2023 03:14 PM",2525,1023,78,192402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],46,Before_Corpus,"Today is 10th anniversary of the Ghouta chemical massacre in Syria. US blamed Syrian govt, but all evidence points to sectarian death squad rebels. Thats why Obama didnt bomb.  There are Western officials who know more about Ghouta than has been publicly disclosed. Just as the",1,1.0,54.35,8.7,6.52,6.52,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.87,6.52,2.17,0.0,0.0,2.17,2.17,0.025043904781341553
41,Republican Party,7000000,9475,-0.5,"January 30, 2023 02:50 PM",1026,99,59,153338,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0217391304347826,0.0,0.0217391304347826,1,0,0,0,0,0,0,1,0,1,['right'],[],[],[],[],[],[],['israeli'],[],['hamas'],46,Before_Corpus,"This is all part of a broader Leftist narrative that its the new right-wing Israeli government ""raising risk of escalation"" when 13-year-old terrorists shoot people going to synagogue, Hamas cheers, and the PA cuts off security cooperation. Look at this pathetic NYT headline:",1,56.53,51.16,2.33,6.98,11.63,6.98,4.65,2.33,2.33,0.0,0.0,0.0,0.0,0.0,6.98,2.33,2.33,0.0,0.0,0.0,0.0,0.019989311695098877
94,Republican Party,222100,6190,-0.5,"December 02, 2022 12:48 AM",2010,84,51,70011,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,['responsible'],['foolish'],[],[],['jews'],[],[],[],[],[],43,Before_Corpus,"And while were on this subject, theres a difference between acknowledging that a celebrity said something foolish, and claiming the celebrity is responsible for violence.  Anyone whos going to do violence because Ye said something about Jews was already going to do violence.",1,1.0,76.74,6.98,4.65,6.98,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,9.3,0.0,0.0,0.0,0.0,4.65,0.008542191237211227
39,Democratic Party,1000000,1685,0.5,"October 19, 2022 10:01 PM",7377,1882,481,1786934,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,[],[],[],[],"['jews', 'jews']",[],[],[],[],[],48,Before_Corpus,"Dershowitz said Trump asked him at dinner why only 27% of Jews voted for him when he strongly supported Israel. Dersh said he told Trump Jews also care about gay rights, abortion, climate change, gun control and separation of church and state, and he was terrible on those.",1,20.23,60.42,10.42,8.33,12.5,6.25,6.25,2.08,0.0,2.08,0.0,0.0,0.0,0.0,25.0,12.5,4.17,0.0,0.0,0.0,8.33,0.0027995980344712734
78,Republican Party,570400,2815,-0.5,"September 10, 2023 09:59 PM",8286,1572,320,346129,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],['islamic'],[],[],[],[],50,Before_Corpus,"Isn’t it crazy that almost no one in the political or media class talk about radical Islamic terrorism anymore. There’s no concern about it, and yet every emergency power that the government took in the name of terrorism, DHL, TSA, Patriot act, is just part of America now.",1,1.0,68.75,16.67,6.25,6.25,0.0,4.17,2.08,0.0,0.0,0.0,0.0,0.0,0.0,6.25,4.17,0.0,0.0,0.0,2.08,2.08,0.004996151197701693
52,Democratic Party,437700,9990,0.5,"July 21, 2023 02:20 PM",1442,271,23,27317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],44,Before_Corpus,"These ""rebels"" were also armed by Israel, which regularly bombs Syria to help enforce a US blockade. Meanwhile the US occupies 1/3 Syria, stealing its wheat/oil, and imposes sanctions that, as former senior Trump officials brag, have ""crushed"" Syrias economy, causing ""food",1,20.23,45.45,6.82,4.55,4.55,2.27,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,2.27,2.27,0.0,0.0,0.0,0.0,0.013521740213036537
