Subject ID,Affiliation,Number of Followers,Tweet ID,Contrast,After Corpus,After List of Likes,After List of Retweets
74,Democratic Party,1100000.0,609,0.5,"hey, remember when you phoned up your despot bestie Netanyahu and told him not to accept a cease fire deal? ace job, homeslice. good thing your meddling caused no serious consequences, am I right",17257,2079
74,Democratic Party,1100000.0,705,0.5,"hey, remember when Jared Kushner brought peace to the Middle East? me neither",19943,3345
74,Democratic Party,1100000.0,133,0.5,"hey, remember when Jared Kushner brought lasting peace to the Middle East? me neither",19332,3442
30,Republican Party,201800000.0,968,-0.5,"Yes, “decolonization” necessarily implies a Jewish genocide, thus it is unacceptable to any reasonable person",34170,7042
20,Democratic Party,418700.0,771,0.5,"Who does this guy think has been shutting down Grand Central, the Statue of Liberty etc?  Anyway, learn more about these courageous Jewish activists who are saying they don’t want war crimes committed in their name on the latest @BadFaithPod. #NotInMyName",5390,1214
78,Republican Party,570400.0,240,-0.5,"Whats the difference between a ""poison pill"" as described here and giving Gaza funding to become independent while expecting they will fail? Dont they look and sound the same?",2285,227
41,Republican Party,7000000.0,619,-0.5,We ought to have sympathy for both. And we ought to recognize that both are dead because of Hamas.,16712,3228
23,Republican Party,2600000.0,254,-0.5,We need to stop referring to these people as “anti-Israel” protesters. They couldn’t find Israel on a map.   They are misfits and losers who are carrying the banner for Islamic terrorism and many of them are doing it because it’s their only opportunity to fit in and be a part of,7200,1340
26,Democratic Party,1000000.0,247,0.5,"We aren’t going to forget in November who it is that ran on a Muslim ban and who it is that is promising mass deportations and who it is that will hand Gaza and the West Bank to Netanyahu on a silver fucking platter. Unlike @RashidaTlaib, we Arabs aren’t going to forget, are we?",1447,302
41,Republican Party,7000000.0,311,-0.5,"Was supremely moved by this speech, which was searing and compassionate. Also seems essential to include a Palestinian speaker to the convention.   …",5622,1157
28,Republican Party,157100.0,417,-0.5,"Walz goes all in for the pro-Hamas crowd, wow.  Walz: “We need to continue, I think, to put the leverage on” (meaning pressure Israel)  Walz: “I think those folks who are speaking out loudly in Michigan are speaking out for all the right reasons.”  Yikes. x.com/dylanewells/st…",2047,282
17,Democratic Party,1400000.0,965,0.5,"Vice President Harris: ""President Biden and I are working to end this war such that Israel is secure, the hostages are released, the suffering in Gaza ends, and the Palestinian people can realize their right to dignity. Security. Freedom. And self-determination.""",1720,331
87,Republican Party,2700000.0,698,-0.5,"UN agency ""aid"" get ""stolen"" by Hamas.  ""U.N. sources told Israel’s Walla News that the aid was stolen, and Israel’s military liaison to the Palestinians reports that 24,000 liters of fuel and medical supplies went to Hamas, whose underground bases use diesel generators.""",1139,600
39,Democratic Party,1000000.0,652,0.5,Trump to Netanyahu today: “No president has done what I’ve done for Israel.”,1442,477
17,Democratic Party,1400000.0,272,0.5,"Trump ranted last night about Gov. Josh Shapiro — calling him ""the highly overrated Jewish Governor"" and claiming he has done ""nothing for Israel.""  In response, White House spokesman Herbie Ziskend says: ""It is Antisemitic, dangerous, and hurtful to attack a fellow American by",3419,781
30,Republican Party,201800000.0,390,-0.5,"This was a tough call.   While many government leaders, including in the USA, do call for killing people, we have a “UN exemption rule”; if a government is recognized by the UN, we will not suspend their accounts.  Hamas is not recognized as a government by the UN, so was",4181,1527
71,Democratic Party,146800.0,250,0.5,"This is what Israels ""war"" is doing in Rafah.  This is not ""victory."" Its a project of genocidal desperation aided and abetted by the U.S. and its European vassals.",1617,811
95,Republican Party,12400000.0,779,-0.5,This is from the US Embassy in Israel urging Israel to not retaliate under unprecedented circumstances… a literal  attack on their very existence. It’s absolutely unbelievable. Like so many examples here in the United States. The left thinks you should be OK with your own demise,19049,6342
39,Democratic Party,1000000.0,217,0.5,"This is a very thoughtful, measured and perfect statement to make. Delivering it in Israel makes it even more powerful. It is inconceivable that Trump could ever make such a statement.",5266,1039
16,Democratic Party,628500.0,174,0.5,"This is AMAZING. Watch as Trumps says it is not the Palestinians blocking peace, but   Netanyahu that doesnt want to make a  deal  & is BLOCKING A PEACE DEAL.   This confirms everyones suspicions that Netanyahus plan all along was to wipe out the Palestinians, move those that",8504,2964
52,Democratic Party,437700.0,236,0.5,"This headline -- erasing the ""cost"" of 23,000+ Palestinians killed by the invading Israeli army, plus many more wounded, maimed, and displaced -- only underscores that the NYT should change its name to the Nazi Yisrael Times:",5222,2155
41,Republican Party,7000000.0,293,-0.5,"This creates a catch-22. If Israel does not defend itself, Israel is destroyed. If Israel does defend itself while Hamas hides behind civilians, the media blast out these images. So what, precisely, is Israel supposed to do? World opinion will not govern Jewish survival.",11133,2851
20,Democratic Party,418700.0,357,0.5,"This Week in Hasbara (w/ @AbbyMartin)  ""We cant forget that the Jerusalem Post run by @AviMayer, whos essentially a stenographer for the IDF hes essentially a military propagandist running one of the biggest newspapers in Israel. They had the audacity to try to discredit &",1886,812
41,Republican Party,7000000.0,726,-0.5,"They said this BEFORE Israel took Rafah. They said this BEFORE Israel took the Philadelphia Corridor. They said this BEFORE Israel killed Deif, Haniyeh, and Shukr. So Id take their military opinions with a Dead Sea-worth of salt.",1069,236
63,Democratic Party,88800.0,809,0.5,They release this the day we find out that Israel bombed and killed 12 children from one family in a spree of bombings in Rafah last night.,1739,190
60,Democratic Party,1600000.0,955,0.5,"They put ""Israeli"" in quotes for a little more license to attack and dehumanize them. …",2311,218
41,Republican Party,7000000.0,351,-0.5,These pro-Hamas protests are being fostered by the faculty and patted on the head by the administration. Thats because these colleges have been completely eaten by the evil intersectional ideology that crosses streams with Jew-hatred.,24177,3540
75,Republican Party,2200000.0,392,-0.5,These people were prosecuted and had their lives destroyed more than any BLM/ANTIFA terrorist ever will.   …,24399,6198
23,Republican Party,2600000.0,858,-0.5,There is no “pro-Palestine” side to this. Palestine is controlled by Hamas. If you’re screeching for a ceasefire you’re coddling terrorists.   …,4290,720
28,Republican Party,157100.0,435,-0.5,"There can be no “managing” of Hamas. It is a genocidal, jihadist org whose charter is the destruction of Israel and the murder of Jews worldwide. Israel must destroy Hamas, help the world rebuild Gaza and find peaceful Arab leaders like Abraham Accords",1525,215
41,Republican Party,7000000.0,395,-0.5,"The word ""evil"" is not descriptive enough for Hamas. They murdered in cold blood six people they had taken hostage almost a year ago, including an American, just days ago -- all in an attempt to sow seeds of political chaos. A few points:  1. Hamas must be extirpated. It is the",31297,5374
39,Democratic Party,1000000.0,572,0.5,The pro-Hamas account ‘Iran Observer’ is promoting Trump’s speech last night where he called Hezbollah “a very smart organization.” Story …,1236,226
41,Republican Party,7000000.0,735,-0.5,"The predictable results of Bidens disgusting weapons cut-off threat: 1. Hamas refuses any deal. The hostages, including Americans, remain. Hamas knows theyve got Biden on their side. 2. Israel MUST go into Rafah because of (1).  3. Biden is cutting off targeted munitions, which",1570,190
