Subject ID,Affiliation,Number of Followers,Before Corpus,Before List of Likes,Before List of Retweets
51,Democratic Party,1100000,"holy fucking shit, criticizing Israel is not antisemitic. what IS antisemitic is putting a holocaust-denying lunatic who thinks Jews control the weather on the Homeland Security Committee. sit the fuck down and shut the fuck up and spare us your fucking fake outrage",40744,6364
51,Democratic Party,1100000,"congratulations to the literally zero Republicans who have stood up to denounce Donald Trumps attack on American Jews. take a victory lap, you spineless fucking cowards",47821,6761
51,Democratic Party,1100000,"bro, fix the Nazi problem in your state. until then, you have no Jewish friends. stop pretending that you do",2460,241
98,Republican Party,7000000,"Youre telling me -- not Bernie Sanders, who is making kissy-face with Rashida Tlaib over an event declaring Israels creation a disaster WHILE ROCKETS FALL ON TEL AVIV -- that its antisemitic to call out Bernies anti-Jewish garbage? GFY.",5079,478
50,Democratic Party,88800,You cannot say you care about women in Iran if you dont speak out for women in Palestine.,1471,642
15,Republican Party,570400,You cannot possibly compare NATOs interventions to Russias invasions. It requires both a deliberate ignorance of the scale and to deliberately ignore the history of Russian genocide in Ukraine.  Dont deliberately ignore the history of Russian genocide in Ukraine.,2946,450
98,Republican Party,7000000,"Yes, this is how Middle East journalisming often works",5228,892
53,Democratic Party,1400000,"Yes, this is a real post from Donald Trump addressing ""liberal Jews who voted to destroy America & Israel.""",3124,1323
87,Democratic Party,587700,"Whatever you think of the SVB bailout, I want you to really sit with the fact that rich VC’s just got an Insta bailout while the people of East Palestine can’t even get a straight answer as to whether their kids have been poisoned.",14437,3108
73,Democratic Party,418700,Watch my full exchange with RFK Jr. in which I challenge his “unconditional” support of Israel in light of the international consensus that Israel is an apartheid state.,1825,558
57,Other,628500,"Videos like this make me forget he helped crush the railroad workers right to organize & strike, then abandoned the people of East Palestine while downplaying the disaster. Great video!",2648,487
90,Republican Party,4300000,"Trump Vindicated, Biden Proven A Liar As NYT Admits Trump Rollback Had ‘No Impact’ On East Palestine, Ohio",6464,1470
62,Democratic Party,1500000,"Today, I visited the oldest synagogue in continuous use in the Western Hemisphere. The first Jew prayed here in 1732, the year that George Washington was born. Today, McCarthy met with antisemite Paul Gosar. What do you call someone who seeks power with the aid of antisemites?”",1420,459
59,Democratic Party,437700,"Today is 10th anniversary of the Ghouta chemical massacre in Syria. US blamed Syrian govt, but all evidence points to sectarian death squad rebels. Thats why Obama didnt bomb.  There are Western officials who know more about Ghouta than has been publicly disclosed. Just as the",2525,1023
98,Republican Party,7000000,"This is all part of a broader Leftist narrative that its the new right-wing Israeli government ""raising risk of escalation"" when 13-year-old terrorists shoot people going to synagogue, Hamas cheers, and the PA cuts off security cooperation. Look at this pathetic NYT headline:",1026,99
59,Democratic Party,437700,"These ""rebels"" were also armed by Israel, which regularly bombs Syria to help enforce a US blockade. Meanwhile the US occupies 1/3 Syria, stealing its wheat/oil, and imposes sanctions that, as former senior Trump officials brag, have ""crushed"" Syrias economy, causing ""food",1442,271
72,Democratic Party,1000000,"The same bigot who five years ago called Nazis “very fine people” is threatening Jewish Americans today.  When someone shows you who they are, believe them the first time.",1480,131
65,Democratic Party,1600000,The purpose of terrorism is to terrorize.,6283,732
98,Republican Party,7000000,"The juxtaposition of rabid anti-Semite Rashida Tlaib attempting to perform a ""Nakba Day"" lamenting the existence of the State of Israel while Hamas fires missiles into the heart of Tel Aviv is pretty clarifying.",2513,382
98,Republican Party,7000000,"The current Israeli government had to pass the judicial reform. It is INCREDIBLY mild: it merely says that the judiciary cannot simply declare a law ""unconstitutional"" in a land with no written constitution on the basis of it being ""unreasonable.""   Imagine the Supreme Court in",5228,892
59,Democratic Party,437700,"The UN says that Israels bombing of Syrias Aleppo airport forced it ""to suspend or divert flights used to transport vital medical supplies such as tetanus vaccines, diabetes medication and blood-transfusion testing equipment.""",1145,572
57,Other,628500,"The U.S. is doing what it always does, terrorize the world for corporate profits.   Here Seymour Hersh explains EXACTLY how the United States blew up The Nord Stream pipeline so US companies could sell more Natural Gas to Europe.    Were The Terrorists.  …",5237,1465
44,Republican Party,14100000,"The President of the United States is personally visiting a corrupt foreign country to announce a half billion dollars in new spending. Meanwhile you have a mushroom cloud over East Palestine, Ohio; the animals are dying and the water is glowing.",66811,19980
29,Republican Party,201800000,"The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now.  You can read their articles for free anyway using .",199964,48918
68,Republican Party,12400000,The Hamas caucus of the house is really upset that an antisemite was removed from the foreign affairs committee. I’m shocked…but also glad that finally some people did something.,37657,257
83,Republican Party,2700000,Squad Democrat Ilhan Omars World Cup trip funded by Hamas-tied Qatar,1695,1328
72,Democratic Party,1000000,"Says the fist pumping domestic terrorists guy who tried to overturn an election in order to install the thrice philandering, serially lying ‘disciple of Jesus’ who mocked a disabled reporter & bragged about sexually assaulting women.  You’re about as hypocritical as they come.",1717,199
