Category,Word
Incompetence,unskilled
Cold,untrustworthy
Warm,warm
Warm,friendly
Jews,Jewish
Incompetence,dumb
Competence,efficient
Incompetence,ignorant
Incompetence,uncertain
Cold,unfriendly
Warm,good-natured
Competence,capable
Cold,vicious
Cold,selfish
Incompetence,inefficient
Cold,mean
Cold,disloyal
Jews,Jew
Cold,hateful
Competence,intelligent
Competence,skilled
Incompetence,unintelligent
Christians,Christians
Incompetence,unqualified
Christians,Protestant
Warm,agreeable
Warm,kind
Warm,nice
Warm,supportive
Competence,able
Jews,Jews
Competence,qualified
Cold,cold
Cold,deceitful
Warm,trustworthy
Competence,proficient
Incompetence,helpless
Incompetence,foolish
Competence,smart
Christians,Catholic
Jews,jewish
Cold,dishonest
Warm,sincere
Warm,well-intentioned
Cold,hostile
Competence,competent
Incompetence,inept
Warm,dependable
Christians,Christian
Incompetence,incompetent
Competence,skillful
Competence,confident
