"Reference","Contrast","B","SE","df","95% CI","t-value","p-value"
"Militant_IDF Affiliation_Contrast_Right_leaning","Date_Index",0,0,388.996,"[0, 0]",-1.931,0.054
"Militant_IDF Affiliation_Contrast_Left_leaning","Date_Index",0,0,388.964,"[0, 0]",3.411,0.001
"Militant_Hamas Affiliation_Contrast_Right_leaning","Date_Index",0,0,363.732,"[0, 0]",0.105,0.916
"Militant_Hamas Affiliation_Contrast_Left_leaning","Date_Index",0,0,388.924,"[0, 0]",1.869,0.062
"Militant_IDF Date_Index_Earliest","Affiliation_Contrast",-0.075,0.019,388.999,"[-0.112, -0.039]",-3.983,0
"Militant_IDF Date_Index_Mid","Affiliation_Contrast",0.009,0.005,361.639,"[0, 0.019]",1.925,0.055
"Militant_IDF Date_Index_0","Affiliation_Contrast",-0.019,0.006,379.723,"[-0.03, -0.008]",-3.399,0.001
"Militant_IDF Date_Index_Mid","Affiliation_Contrast",0.009,0.005,361.639,"[0, 0.019]",1.925,0.055
"Militant_IDF Date_Index_Latest","Affiliation_Contrast",0.038,0.011,387.654,"[0.016, 0.059]",3.439,0.001
"Militant_Hamas Date_Index_Earliest","Affiliation_Contrast",-0.008,0.005,382.614,"[-0.017, 0.001]",-1.695,0.091
"Militant_Hamas Date_Index_Mid","Affiliation_Contrast",0.001,0.001,46.184,"[-0.001, 0.003]",0.78,0.439
"Militant_Hamas Date_Index_0","Affiliation_Contrast",-0.002,0.001,117.323,"[-0.005, 0.001]",-1.321,0.189
"Militant_Hamas Date_Index_Mid","Affiliation_Contrast",0.001,0.001,46.184,"[-0.001, 0.003]",0.78,0.439
"Militant_Hamas Date_Index_Latest","Affiliation_Contrast",0.004,0.003,258.501,"[-0.001, 0.009]",1.519,0.13
"Affiliation_Contrast_Right_leaning Date_Index_Earliest","Militant",-0.025,0.011,388.838,"[-0.047, -0.004]",-2.296,0.022
"Affiliation_Contrast_Right_leaning Date_Index_Mid","Militant",-0.004,0.002,388.672,"[-0.009, 0.001]",-1.575,0.116
"Affiliation_Contrast_Right_leaning Date_Index_0","Militant",-0.011,0.004,388.776,"[-0.019, -0.003]",-2.686,0.008
"Affiliation_Contrast_Right_leaning Date_Index_Mid","Militant",-0.004,0.002,388.672,"[-0.009, 0.001]",-1.575,0.116
"Affiliation_Contrast_Right_leaning Date_Index_Latest","Militant",0.003,0.005,388.827,"[-0.006, 0.013]",0.702,0.483
"Affiliation_Contrast_Left_leaning Date_Index_Earliest","Militant",0.042,0.016,388.662,"[0.011, 0.073]",2.632,0.009
"Affiliation_Contrast_Left_leaning Date_Index_Mid","Militant",-0.012,0.004,388.495,"[-0.021, -0.004]",-2.826,0.005
"Affiliation_Contrast_Left_leaning Date_Index_0","Militant",0.006,0.004,388.999,"[-0.002, 0.014]",1.469,0.143
"Affiliation_Contrast_Left_leaning Date_Index_Mid","Militant",-0.012,0.004,388.495,"[-0.021, -0.004]",-2.826,0.005
"Affiliation_Contrast_Left_leaning Date_Index_Latest","Militant",-0.03,0.01,388.326,"[-0.05, -0.011]",-2.997,0.003
