"Reference","Contrast","B","SE","df","95% CI","t-value","p-value"
"Ethnorace_Minus1SD Affiliation_Contrast_Mean","Date_Index",0,0,745.535,"[0, 0]",-2.085,0.037
"Ethnorace_Minus1SD Affiliation_Contrast_NA","Date_Index",0,0,704.87,"[0, 0]",2.01,0.045
"Ethnorace_NA Affiliation_Contrast_Mean","Date_Index",0,0,742.128,"[0, 0]",-0.58,0.562
"Ethnorace_NA Affiliation_Contrast_NA","Date_Index",0,0,698.07,"[0, 0]",1.299,0.195
"Ethnorace_Minus1SD Date_Index_Plus1SD","Affiliation_Contrast",-0.012,0.004,513.75,"[-0.02, -0.004]",-2.907,0.004
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.005,0.003,94.86,"[0, 0.01]",1.909,0.059
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.005,0.003,94.86,"[0, 0.01]",1.909,0.059
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.005,0.003,94.86,"[0, 0.01]",1.909,0.059
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.005,0.003,94.86,"[0, 0.01]",1.909,0.059
"Ethnorace_NA Date_Index_Plus1SD","Affiliation_Contrast",-0.007,0.005,462.318,"[-0.017, 0.003]",-1.309,0.191
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",0.004,0.003,167.92,"[-0.002, 0.009]",1.286,0.2
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",0.004,0.003,167.92,"[-0.002, 0.009]",1.286,0.2
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",0.004,0.003,167.92,"[-0.002, 0.009]",1.286,0.2
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",0.004,0.003,167.92,"[-0.002, 0.009]",1.286,0.2
"Affiliation_Contrast_Mean Date_Index_Plus1SD","Ethnorace",-0.006,0.004,744.84,"[-0.014, 0.001]",-1.659,0.098
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.001,0.002,745.762,"[-0.004, 0.005]",0.239,0.811
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.001,0.002,745.762,"[-0.004, 0.005]",0.239,0.811
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.001,0.002,745.762,"[-0.004, 0.005]",0.239,0.811
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.001,0.002,745.762,"[-0.004, 0.005]",0.239,0.811
"Affiliation_Contrast_NA Date_Index_Plus1SD","Ethnorace",-0.001,0.005,710.669,"[-0.012, 0.009]",-0.218,0.828
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.001,0.003,665.295,"[-0.006, 0.005]",-0.22,0.826
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.001,0.003,665.295,"[-0.006, 0.005]",-0.22,0.826
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.001,0.003,665.295,"[-0.006, 0.005]",-0.22,0.826
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.001,0.003,665.295,"[-0.006, 0.005]",-0.22,0.826
