Name,Subject ID
SabbySabs2,69
RonFilipkowski,13
mmpadellan,81
krystalball,76
SteveSchmidtSES,19
TheRickWilson,51
davidsirota,17
TristanSnell,58
KyleClark,66
BarbMcQuade,65
anthonyzenkus,82
briebriejoy,54
fred_guttenberg,56
JordanChariton,74
kylegriffin1,52
itsJeffTiedrich,88
bluestein,15
RealSpikeCohen,75
ComicDaveSmith,67
jimmy_dore,21
ProudSocialist,23
SocialistMMA,63
Jaybefaunt,29
BernardKerik,46
TomFitton,50
IngrahamAngle,40
seanhannity,45
charliekirk11,92
benshapiro,43
elonmusk,96
SarcasmStardust,26
