Item,Count
Israel,1521
Gaza Strip,1403
Rafah (Gaza Strip),167
Iran,100
West Bank,96
United States,80
Middle East,78
Khan Younis (Gaza Strip),72
Egypt,72
Lebanon,56
Ukraine,36
Saudi Arabia,33
"Far East, South and Southeast Asia and Pacific Areas",32
China,30
New York City,27
Russia,25
Qatar,25
South Africa,25
Europe,21
Jabaliya Refugee Camp (Gaza Strip),20
Syria,20
Jerusalem (Israel),20
Jordan,19
Michigan,19
Great Britain,18
Iraq,13
Turkey,13
United Arab Emirates,11
Tel Aviv (Israel),11
Ireland,10
Germany,10
Yemen,9
New York State,9
Jenin (West Bank),9
India,8
Beirut (Lebanon),8
East Jerusalem,8
Manhattan (NYC),8
Thailand,7
California,7
France,7
Cairo (Egypt),7
Mediterranean Sea,6
Japan,6
Dearborn (Mich),6
Berlin (Germany),6
Damascus (Syria),6
Bahrain,5
Australia,5
Taiwan,5
Sinai Peninsula (Egypt),5
Washington (DC),5
Cyprus,5
Norway,5
AFGHANISTAN,4
Re'im (Israel),4
Los Angeles (Calif),4
London (England),4
AFRICA,4
Pittsburgh (Pa),4
Kiryat Shmona (Israel),4
Brazil,4
Red Sea,4
Spain,4
Doha (Qatar),3
Brooklyn (NYC),3
"Bay Ridge (Brooklyn, NY)",3
Texas,3
Beit Hanoun (Gaza Strip),3
Westchester County (NY),3
Detroit (Mich),3
San Francisco (Calif),3
North Korea,3
Burlington (Vt),3
Oakland (Calif),3
Hague (Netherlands),3
Chicago (Ill),3
Malmo (Sweden),3
Odessa (Ukraine),2
Sderot (Israel),2
Evanston (Ill),2
Falluja (Iraq),2
Mosul (Iraq),2
New Zealand,2
Montana,2
Baghdad (Iraq),2
Persian Gulf,2
PLAINFIELD (ILL),2
ALEPPO (SYRIA),2
Illinois,2
Istanbul (Turkey),2
Paris (France),2
Rome (Italy),2
Nahariya (Israel),2
South Carolina,2
Ofakim (Israel),2
Florida,2
Brooklyn Bridge (NYC),2
Ithaca (NY),2
Dagestan (Russia),2
Pakistan,2
Colombia,2
Indonesia,2
New Jersey,2
Ramallah (West Bank),2
Atlanta (Ga),2
Iceland,2
Bethlehem (West Bank),2
Vietnam,2
Iowa,2
Hebron (West Bank),2
ANN ARBOR (MICH),2
Venice (Italy),2
Italy,2
Golden Gate Bridge,2
Capri (Italy),2
Isfahan (Iran),2
Ashkelon (Israel),1
"Park Slope (Brooklyn, NY)",1
Finland,1
Estonia,1
"Morningside Heights (Manhattan, NY)",1
Riyadh (Saudi Arabia),1
Arizona,1
Minneapolis (Minn),1
"Sunset Park (Brooklyn, NY)",1
Ramla (Israel),1
Lod (Israel),1
Black Sea,1
Tennessee,1
Nepal,1
Kazakhstan,1
Azerbaijan,1
Brussels (Belgium),1
Tunis (Tunisia),1
Frankfurt (Germany),1
Moscow (Russia),1
Rockville (Md),1
Latin America,1
Hollywood (Calif),1
Boston (Mass),1
Montgomery County (Md),1
Cherry Hill (NJ),1
Papua New Guinea,1
Denmark,1
"Astoria (Queens, NY)",1
Delaware,1
"Downtown Brooklyn (Brooklyn, NY)",1
Rahat (Israel),1
Seoul (South Korea),1
Bolivia,1
Chile,1
Makhachkala (Russia),1
Cincinnati (Ohio),1
Provo (Utah),1
Maghazi Refugee Camp (Gaza Strip),1
AMMAN (JORDAN),1
Thousand Oaks (Calif),1
Miami (Fla),1
England,1
Austria,1
Switzerland,1
Myanmar,1
Nazareth (Israel),1
Queens (NYC),1
San Francisco Bay Area (Calif),1
Darfur (Sudan),1
Salt Lake City (Utah),1
Essen (Germany),1
Arkansas,1
Fayetteville (Ark),1
"Upper East Side (Manhattan, NY)",1
South Korea,1
Nantucket (Mass),1
"Hillcrest (Queens, NY)",1
"Jamaica (Queens, NY)",1
Dubai (United Arab Emirates),1
Philadelphia (Pa),1
Paterson (NJ),1
Clifton (NJ),1
"Times Square and 42nd Street (Manhattan, NY)",1
"Lower East Side (Manhattan, NY)",1
Richmond (Calif),1
Bronx (NYC),1
Tanzania,1
Rotterdam (Netherlands),1
Minnesota,1
Gulf of Aden,1
"Congo, Democratic Republic of (Congo-Kinshasa)",1
Buenos Aires (Argentina),1
Oklahoma,1
Prague (Czech Republic),1
Haifa (Israel),1
Williamsburg Bridge (NYC),1
Manhattan Bridge (NYC),1
Holland Tunnel,1
Maghazi (Gaza Strip),1
Bureij (Gaza Strip),1
Indiana,1
Munich (Germany),1
Sweden,1
Ferguson (Mo),1
Idlib (Syria),1
Homs (Syria),1
St Louis County (Mo),1
Missouri,1
Abu Dhabi (United Arab Emirates),1
Long Island (NY),1
Tenafly (NJ),1
East Germany,1
Homesh (West Bank),1
Bekaa Valley (Lebanon),1
Cambridge (England),1
Norfolk (Va),1
Teaneck (NJ),1
Austin (Tex),1
Mexico,1
Canada,1
Nicaragua,1
Strait of Hormuz,1
Tehran (Iran),1
Interstate 95,1
New Haven (Conn),1
"Grand Army Plaza (Brooklyn, NY)",1
Cambridge (Mass),1
Wisconsin,1
Kuwait,1
Morocco,1
New Orleans (La),1
Guantanamo Bay Naval Base (Cuba),1
Safed (Israel),1
ALGERIA,1
