Item,Count
"Netanyahu, Benjamin",369
"Biden, Joseph R Jr",317
"Blinken, Antony J",91
"Trump, Donald J",45
"Gallant, Yoav",30
"Sinwar, Yehya",25
"ABBAS, MAHMOUD",22
"Austin, Lloyd J III",19
"Gantz, Benny",19
"Ben-Gvir, Itamar",17
"Putin, Vladimir V",15
"Andres, Jose (1969- )",15
"Johnson, Mike (1972- )",14
Mohammed bin Salman (1985- ),13
"DeSantis, Ron",12
"Schumer, Charles E",11
"Smotrich, Bezalel (1980- )",11
"Guterres, Antonio",11
"Khamenei, Ali",10
"Sisi, Abdel Fattah el-",10
"Burns, William J",10
"Harris, Kamala D",10
"Arouri, Saleh al- (1966-2024)",10
"Deif, Muhammad",9
"Haley, Nikki R",9
"Nasrallah, Hassan",9
"Cameron, David",9
Xi Jinping,8
"Bowman, Jamaal",8
"Haniya, Ismail",8
"Lapid, Yair",7
"Shafik, Nemat",7
"Khan, Karim (1970- )",7
"ABDULLAH II, KING OF JORDAN",6
"Ocasio-Cortez, Alexandria",6
"Sullivan, Jacob J (1976- )",6
"Kirby, John F",6
"Eisenkot, Gadi",6
"Ramaswamy, Vivek (1985- )",5
"Musk, Elon",5
"Zelensky, Volodymyr",5
"Tlaib, Rashida",5
"Wray, Christopher A",5
"Hochul, Kathleen C",5
"Macron, Emmanuel (1977- )",5
"Sunak, Rishi (1980- )",5
"Erdogan, Recep Tayyip",5
"Omar, Ilhan",5
"Suleimani, Qassim",5
"Shalit, Gilad",4
"Bush, Cori",4
"Dermer, Ron",4
"Scott, Timothy Eugene",4
"Shibli, Adania",4
"Amir Abdollahian, Hossein",4
"Nguyen, Viet Thanh (1971- )",4
"al-Dahdouh, Wael",4
"Da Silva, Luiz Inacio Lula",4
"Barghouti, Marwan",4
"Sanders, Bernard",4
"McCain, Cindy",4
"Halevi, Herzl",4
"Yellen, Janet L",3
"Friedman, Thomas L",3
"Christie, Christopher J",3
"Thomas-Greenfield, Linda",3
"Thrall, Nathan",3
"Lee, Summer L (1987- )",3
"Latimer, George S",3
"Obama, Barack",3
"Eaton, Jason J (1975- )",3
"Abdalhamid, Kinnan",3
"Ahmed, Tahseen",3
"Magill, Elizabeth",3
Francis,3
"Golan, Eden",3
"Glazer, Jonathan",3
"Raisi, Ebrahim",3
"Jordan, Jim (1964- )",2
"McCarthy, Kevin (1965- )",2
"Scalise, Steve",2
"Kennedy, Robert F Jr",2
"Dimon, James",2
"Gay, Claudine",2
"Emhoff, Douglas C",2
"Ziv, Israel (1957- )",2
"Mayorkas, Alejandro",2
"Burgum, Douglas",2
"Hannity, Sean",2
"Meshaal, Khaled (1956- )",2
"Fayyad, Salam",2
"Al-Fayoume, Wadea (2017-23)",2
"Czuba, Joseph M",2
Wang Yi,2
"Mintz, Nitzan",2
Dede Bandaid (Artist),2
"Beinart, Peter",2
"Trudeau, Justin",2
"Lew, Jacob J",2
"Chappelle, Dave",2
"Meeks, Gregory W",2
"Bennett, Naftali",2
"Said, Edward W",2
"Herzog, Isaac",2
"Halevi, Yossi Klein",2
"Starmer, Keir",2
"Van Hollen, Christopher Jr",2
"Messing, Debra",2
"Abed, Sally",2
"Green, Alon-Lee",2
"Abu Toha, Mosab",2
"Tamimi, Ahed",2
"Modi, Narendra",2
"Biden, Jill Tracy Jacobs",2
"Awartani, Hisham",2
"Stefanik, Elise",2
"Lieberman, Avigdor",2
"Goldberg-Polin, Hersh",2
"Salovey, Peter",2
Tedros Adhanom Ghebreyesus,2
"Hamdan, Osama",2
"Jackson, Jesse L",2
"Varadkar, Leo",2
"Kushner, Jared",2
"Zahedi, Mohamad Reza (1960-2024)",2
"Khodayee, Sayad",2
"Fakhrizadeh, Mohsen",2
"Patir, Ruth",2
"Nossel, Suzanne",2
"Barnea, David",2
"Booker, Cory A",1
"Goldman, Daniel S",1
"Gottheimer, Joshua S (1975- )",1
"Kimmel, Jimmy",1
"Meyers, Seth",1
"Colbert, Stephen",1
"Kennedy, Robert Francis",1
"Solomon, David M",1
"Smith, Julianne C (1968- )",1
"Angel, Arielle",1
"Congregation Beth Elohim (Brooklyn, NY)",1
"Lander, Brad",1
"Rosen, Jonathan D (1978- )",1
"Summers, Lawrence H",1
"Ernst, Joni",1
"Schultz, Debbie Wasserman",1
"Norcross, Donald W",1
"Erlanger, Steven",1
"Pence, Mike",1
"Stephens, Bret (1973- )",1
"Dowd, Maureen",1
"Goldin, Claudia",1
"Roy, Arundhati",1
"Argamani, Noa",1
"Shakur, Tupac",1
Drake (Rapper),1
"ABE, SHINZO",1
"Salle, David",1
"Streep, Meryl",1
"Carlson, Tucker",1
"Moore, Stephen (1960- )",1
"Pirro, Jeanine",1
"Luxon, Christopher",1
"Rabinyan, Dorit",1
"Hussein, Saddam",1
"Huntsman, Jon M Jr",1
"Griffin, Kenneth C",1
"Marcus, David A",1
"Paty, Samuel (1973-2020)",1
"Darmanin, Gerald",1
"Borne, Elisabeth",1
"Shakespeare, William",1
"Cleverly, James",1
"Ackman, William A",1
"Hogan, Lawrence J",1
"Powell, Sidney (Attorney)",1
"Streisand, Barbra",1
"Rubio, Marco",1
"Cosgrave, Paddy (1982- )",1
"Albanese, Francesca P",1
"Pratt, Anthony Joseph",1
"Sharpe, Christina (Author)",1
"Hartman, Saidiya",1
"Brand, Dionne",1
"Chu, Andrea Long",1
"Greenblatt, Jonathan (1970- )",1
"Reed, Jack",1
"Ackerman, Spencer",1
"Albanese, Anthony (1963- )",1
"Baizan, Roy",1
"Burgoa, Odalys",1
"McCaul, Michael T",1
"Velasco, David",1
Hu Xijin,1
"Singh, Manmohan",1
"Pollack, Martha E",1
"Louk, Shani (Hostage)",1
"Greene, Marjorie Taylor (1974- )",1
"Bloomberg, Michael R",1
"Beauchamp, Zack",1
"Barenboim, Daniel",1
"Dayan, Dani",1
"Perry, Matthew",1
"Senor, Dan",1
"Singer, Saul (Journalist)",1
"Katan, Hosam",1
"Tishby, Noa (1975- )",1
"Gadot, Gal (1985- )",1
"Jamal, Amaney",1
"Kassis, Reem",1
"Solomonov, Michael",1
"Hughes, Jazmine",1
"Stern, Kenneth S",1
"Moulton, Seth W",1
"Danon, Danny (1971- )",1
"Sudani, Mohammed Shia al-",1
"Iraqi, Amjad",1
"Brown, Charles Q Jr",1
"Hier, Marvin",1
"Torres, Ritchie (1988- )",1
Joko Widodo,1
"Goldin, Hadar (1991-2014)",1
"Mengistu, Avera",1
