headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
A federal judge dismisses a suit to block U.S. support of Israel — but urges Biden to re-examine his approach.,2024-02-01 00:53:17+00:00,"Austin, Lloyd J III; Biden, Joseph R Jr; Blinken, Antony J",Gaza Strip; Israel,Palestinians; Israel-Gaza War (2023- ); United States Politics and Government; Palestinian-Americans,Center for Constitutional Rights; International Court of Justice (UN),https://www.nytimes.com/2024/01/31/world/middleeast/joe-biden-israel-support.html,"The judge, after expressing regret that he was limited by constitutional precedent, urged President Biden to rethink U.S. policy on Israel’s military siege in the Gaza Strip.",736
Israel’s Controlled Demolitions Are Razing Neighborhoods in Gaza,2024-02-01 05:01:01+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); vis-video,Hamas,https://www.nytimes.com/interactive/2024/02/01/world/middleeast/Israel-gaza-war-demolish.html,"In addition to its aerial bombardment, Israeli ground forces have carried out a wave of large-scale detonations, destroying residential homes, schools and mosques across the strip.",0
Choosing Rebirth Over Revenge After My Release From Gaza,2024-02-01 10:02:05+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Holocaust and the Nazi Era; Kidnapping and Hostages; Kibbutz Movement,Hamas,https://www.nytimes.com/2024/02/01/opinion/gaza-war-holocaust-shoah.html,We can learn from Holocaust survivors how to move forward after Oct. 7.,1057
Mexico’s Immigration Crackdown,2024-02-01 11:57:33+00:00,"Biden, Joseph R Jr",Mexico,internal-storyline-no; Immigration and Emigration,,https://www.nytimes.com/2024/02/01/briefing/immigration.html,Mexico’s recent efforts offer a reminder: Stricter enforcement of immigration laws really does tend to reduce migration flows.,1920
Netanyahu’s Bind: Compromising in Gaza or Holding On to Power at Home,2024-02-01 12:25:19+00:00,"Netanyahu, Benjamin; Gantz, Benny; Lieberman, Avigdor; Ben-Gvir, Itamar",Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Politics and Government; Kidnapping and Hostages; Peace Process; International Relations; Defense and Military Forces,Hamas; Palestinian Authority,https://www.nytimes.com/2024/02/01/world/middleeast/netanyahu-israel-gaza-politics-war.html,"To end the war in Gaza and free the remaining Israeli hostages, Prime Minister Benjamin Netanyahu may have to cut deals that analysts say could end his government — and potentially his career.",1524
U.N. Calls On Nations to Resume Funding for UNRWA,2024-02-01 15:15:10+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians,United Nations Relief and Works Agency,https://www.nytimes.com/video/world/middleeast/100000009292342/gaza-unrwa-humanitarian-aid.html,The United Nations’ humanitarian aid chief said its ability to provide lifesaving services for millions of civilians in Gaza is “completely dependent” on the Palestinian aid agency.,0
"The Road to 1948, and the Roots of a Perpetual Conflict",2024-02-01 15:20:02+00:00,,Israel; Great Britain,Israel-Gaza War (2023- ); Palestinians; Jews and Judaism; Holocaust and the Nazi Era; Zionism; Border Barriers; International Relations; Refugees and Displaced Persons,,https://www.nytimes.com/interactive/2024/02/01/magazine/israel-founding-palestinian-conflict.html,How the decisions that led to the founding of Israel have brought unending conflict to the region.,0
Defense Secretary Tries to Explain Why He Kept His Illness Secret,2024-02-01 16:34:33+00:00,"Austin, Lloyd J III; Biden, Joseph R Jr",,United States Defense and Military Forces; Prostate Gland; Israel-Gaza War (2023- ),Defense Department,https://www.nytimes.com/2024/02/01/us/politics/defense-secretary-austin-cancer.html,"“I did not handle this right,” Lloyd J. Austin III said after being widely criticized for failing to immediately disclose his absence to the White House.",500
Biden Orders Sanctions on 4 Israelis Over West Bank Violence,2024-02-01 17:10:02+00:00,"Biden, Joseph R Jr",Michigan; Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Israeli Settlements; United States International Relations; Presidential Election of 2024; United States Politics and Government; ARAB-AMERICANS; Embargoes and Sanctions; Executive Orders and Memorandums; Voting and Voters,,https://www.nytimes.com/2024/02/01/world/middleeast/biden-sanctions-israel-west-bank.html,"The order served as both a sharp-edged diplomatic notice to Israel and a message to Arab Americans, a key part of the political coalition the president needs to be re-elected.",1410
Austin Says Iran Trains and Funds Militias Targeting U.S. Troops,2024-02-01 18:44:34+00:00,"Austin, Lloyd J III",Middle East,United States Defense and Military Forces; United States International Relations; United States Politics and Government; Israel-Gaza War (2023- ),Defense Department; Islamic Revolutionary Guards Corps; Kataib Hezbollah,https://www.nytimes.com/2024/02/01/us/politics/austin-iran-militias.html,President Biden has promised to respond to attacks that killed three American service members at a base in Jordan.,593
