headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Israel Knew Hamas’s Attack Plan More Than a Year Ago,2023-12-01 00:16:08+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Espionage and Intelligence Services; Terrorism; Border Barriers,Hamas,https://www.nytimes.com/2023/11/30/world/middleeast/israel-hamas-attack-intelligence.html,A blueprint reviewed by The Times laid out the attack in detail. Israeli officials dismissed it as aspirational and ignored specific warnings.,1582
Blinken Urges Israel to Take Concrete Steps to Aid Civilians as More Hostages Are Freed,2023-12-01 01:05:19+00:00,"Blinken, Antony J",Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Kidnapping and Hostages; Terrorism; Palestinians; Prisons and Prisoners; Civilian Casualties; Deaths (Fatalities); Politics and Government; United States International Relations,Hamas; State Department,https://www.nytimes.com/2023/11/30/world/middleeast/israel-hamas-peace-process.html,Secretary of State Antony J. Blinken met with Israeli officials and a Palestinian leader on Thursday to seek improved conditions for Gaza’s civilians and to try to exert influence over Israel’s expected military offensive.,1122
Talks were continuing in hopes of reviving the truce.,2023-12-01 05:35:25+00:00,,,vis-video,,https://www.nytimes.com/2023/11/30/world/middleeast/israel-says-gaza-combat-has-resumed-talks-are-said-to-continue.html,"A weeklong cease-fire in the Gaza Strip collapsed on Friday morning, with both Israel and Hamas blaming the other for the breakdown of the fragile truce that had allowed for the exchange of scores of hostages and prisoners, and had briefly raised hopes for a more lasting halt to the fighting.",805
Friday Briefing,2023-12-01 05:50:12+00:00,,,,,https://www.nytimes.com/2023/12/01/briefing/hamas-document-israel-climate-darling.html,A leaked document revealing details of Hamas’s Oct. 7 plot.,1222
‘This Is Personal’: Dearborn’s Arab Americans Endure the Agony of War,2023-12-01 10:00:49+00:00,"Hammoud, Abdullah",Dearborn (Mich); Israel; Gaza Strip,Palestinian-Americans; ARAB-AMERICANS; Muslim Americans; Discrimination; Israel-Gaza War (2023- ); Palestinians,Hamas,https://www.nytimes.com/2023/12/01/us/israel-hamas-war-dearborn-muslims.html,"“We are feeling everything happening every day,” Abdullah Hammoud, the mayor of Dearborn, Mich., says of the Israel-Hamas war.",1486
TikTok’s C.E.O. Uses Personal Touch to Address Antisemitism Concerns,2023-12-01 10:03:11+00:00,,,Social Media; Anti-Semitism; Computers and the Internet; Israel-Gaza War (2023- ),TikTok (ByteDance),https://www.nytimes.com/2023/12/01/business/shou-chew-tiktok-antisemitism.html,The company in recent weeks organized several in-person meetings between its top executive and Jewish groups and business leaders.,1009
"The New York Times News Quiz, Dec. 1, 2023",2023-12-01 10:03:31+00:00,,,Content Type: Quiz,,https://www.nytimes.com/interactive/2023/12/01/briefing/news-quiz-nikki-haley-rosalynn-carter-mark-cuban.html,Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,0
What Is Happening in Vermont?,2023-12-01 10:03:36+00:00,"Eaton, Jason J (1975- )",Vermont; Burlington (Vt),"Discrimination; Hate Crimes; Palestinian-Americans; Muslim Americans; Black People; Blacks; Race and Ethnicity; Israel-Gaza War (2023- ); Mosques; Murders, Attempted Murders and Homicides",,https://www.nytimes.com/2023/12/01/opinion/editorials/vermont-shooting-palestinians.html,"For many in Vermont, the horror of a shooting of Palestinians was compounded by the violation of the state’s self-image as a uniquely welcoming place.",1521
"Fighting Resumes in Gaza, and a Blocked TikTok Ban",2023-12-01 11:00:17+00:00,,Gaza Strip; Israel; Montana,audio-neutral-informative; Israel-Gaza War (2023- ); Computers and the Internet; Social Media; Defense and Military Forces; Mobile Applications,TikTok (ByteDance),https://www.nytimes.com/2023/12/01/podcasts/fighting-resumes-in-gaza-and-a-blocked-tiktok-ban.html,Hear the news in five minutes.,147
Rent or Buy?,2023-12-01 11:31:19+00:00,,United States,internal-storyline-no; Real Estate and Housing (Residential); Personal Finances; Interest Rates; Mortgages,,https://www.nytimes.com/2023/12/01/briefing/rent-or-buy.html,We explain the state of the housing market.,1867
The Fallout From Musk’s Profanity-Laden Attack on Advertisers Isn’t Over,2023-12-01 13:31:59+00:00,"Musk, Elon",,Finances; Online Advertising,Twitter; Tesla Motors Inc; Space Exploration Technologies Corp,https://www.nytimes.com/2023/12/01/business/dealbook/elon-musk-twitter-tesla-spacex.html,"Shares in Tesla fell despite the release of the Cybertruck pickup on Thursday, and some brands are still steering clear of X.",1803
"The truce broke down over the details of further hostage and prisoner exchanges, Israeli officials say.",2023-12-01 13:54:12+00:00,,,,,https://www.nytimes.com/2023/11/30/world/middleeast/the-truce-broke-down-over-the-details-of-further-hostage-and-prisoner-exchanges-israeli-officials-say.html,"The fragile truce between Israel and Hamas collapsed on Friday morning because the adversaries could not find common ground for further exchanges of hostages and prisoners, according to two Israeli officials involved in the talks.",549
