Date,Trends
07-10-2023,"['Israel', 'Hamas', 'Gaza', 'Palestine', 'Iran']"
08-10-2023,"['Israel', 'Hamas', 'Gaza', 'Palestine', 'Iran']"
09-10-2023,"['Gaza', 'Israel', 'Hamas', 'Iran', '#IsraelPalestineWar']"
10-10-2023,"['Israel', 'Hamas', 'Gaza', 'Iran', 'SEVENTEEN']"
11-10-2023,"['Gaza', 'Hamas', 'Palestinian', 'Iran', 'So Will']"
12-10-2023,"['Hamas', 'Gaza', 'Israel', 'Palestinian', 'Jada']"
13-10-2023,"['#Gazagenocide', 'Friday the 13th', 'Jada', 'Chiefs', 'Broncos']"
14-10-2023,"['Gaza', 'Hamas', 'Friday the 13th', '#INDvsPAK', 'vmin']"
15-10-2023,"['Gaza', 'Hamas', 'London', 'Jim Jordan', 'Dillon Danis']"
16-10-2023,"['Gaza', '#Ripple', 'Ecuador', '#IsraelGazaWar', 'Brussels']"
17-10-2023,"['#GMMTV2024PART1', 'Jim Jordan', 'Official Twitter', 'The IDF', '#ENGFAxSnowLotus']"
18-10-2023,"['Jordan', 'BACK TO BACK', 'Official Twitter', '#GMMTV2024PART1', 'Islamic Jihad']"
19-10-2023,"['jungkook', 'Capitol', 'Insurrection', 'Republicans', 'Islamic Jihad']"
20-10-2023,"['jungkook', 'Jordan', 'Sidney Powell', 'Rep. Jim Jordan', '#Chanyeol_GoodEnoughMV']"
21-10-2023,"['Jordan', '#モニタリング分析', 'Arsenal', 'Chelsea', '#UFC294']"
22-10-2023,"['#UFC294', 'Ningning', 'Usman', 'Giants', 'Garcia']"
23-10-2023,"['SEVENTEEN', '#Bitcoin', 'Javier', 'Swift', 'Bills']"
24-10-2023,"['#Bitcoin', 'Tom Emmer', '#리노편_짱많아_생일축하해', '#TheWorldisLeeKnowsStage', 'jisoo']"
25-10-2023,"['Emmer', 'Mike Johnson', 'Erdogan', 'Meadows', 'Aave']"
26-10-2023,"['Mike Johnson', 'Maine', 'BBMAs', 'jaehyun', 'Aave']"
27-10-2023,"['#starlinkforgaza', 'Halloween', '#Gazabombing', 'Maine', '#1989TaylorsVersion']"
28-10-2023,"['Halloween', 'Maine', '#ElClasico', '#1989TaylorsVersion', 'FREENBECKY AWARD PRESENTER']"
29-10-2023,"['#CeasefireNOW', '#FreePalestine', 'Halloween', 'Francis', 'FNAF']"
30-10-2023,"['#CeasefireNOW', 'Halloween', 'Friends', 'taemin', 'Matthew Perry']"
31-10-2023,"['Happy Halloween', 'Yemen', 'Bolivia', 'The IRS', 'Sweat']"
01-11-2023,"['Halloween', 'Trump', 'Biden', '#HappyHalloween', 'Christmas']"
02-11-2023,"['Tuberville', 'Senate', 'Lakers', 'Islamophobia', '#INDvsSL']"
03-11-2023,"['End 1', 'Hate You', 'Fortnite', '#FortniteOG', 'Wemby']"
04-11-2023,"['Jungkook', 'Biden', 'Washington', 'Fortnite', 'Christmas']"
05-11-2023,"['Washington', 'White House', '#AttackOnTitan', '#WWECrownJewel', 'Titan']"
06-11-2023,"['Biden', 'Nashville', 'JOIN TELEGRAM', '#MondayMotivation', 'Dolphins']"
07-11-2023,"['Hamas', 'Trump', 'Biden', '#いいおなかの日', '#JungKookOnFallon']"
08-11-2023,"['Republicans', '#JungKookOnTODAY', 'Ohio', 'Virginia', 'The GOP']"
09-11-2023,"['Trump Trump Trump', 'Vivek', 'GTA 6', '#BuenosAiresTSTheErasTour', 'THE CROWD']"
10-11-2023,"['#FinalMGPhuket2024xCharlotte', 'Grammy', 'Uniswap', '#Uniswap', 'Veterans Day']"
11-11-2023,"['#Lazada1111THLive', 'Grammy', 'LOVEABLE BECKY XOXO', '#JUVLiveWithBecccca', 'Veterans Day']"
12-11-2023,"['Happy Diwali', 'Chelsea', 'Veterans Day', '#CHEMCI', 'Germany']"
13-11-2023,"['noah schnapp', 'David Cameron', 'Suella Braverman', 'Browns', 'Ravens']"
14-11-2023,"['#PoloRalphLaurenxFreenBecky', 'RALPH LAUREN WITH FREENBECKY', '#FinalMGTRAT24xENGFA', 'namjoon', '$GROK']"
15-11-2023,"['#finalmgtrat24xengfa', '#PoloRalphLaurenxFreenBecky', 'China', '#WinkWhiteENGLOTtourJAPAN', '#INDvsNZ']"
16-11-2023,"['#TeeJetsxBecky', 'TEEJETS X REBECCA COVER HALLEY', 'JUNGKOOK', 'China', 'Zack']"
17-11-2023,"['ENGLOT IN JAPAN DAY02', 'Diddy', 'Elon', 'Drake', 'Musk']"
18-11-2023,"['ENGLOT IN JAPAN DAY03', '#MissUniverse2023', 'SpaceX', 'T4F EXIGIMOS RESPEITO', 'Capitol']"
19-11-2023,"['Milei', 'Argentina', '#INDvsAUSfinal', '#Worlds2023', 'Nicaragua']"
20-11-2023,"['Milei', 'Argentina', 'Swift', 'Thanksgiving', 'Black Friday']"
21-11-2023,"['Milei', 'Argentina', 'Binance', '#ZNN3rdAnniversary', 'Swift']"
22-11-2023,"['Thanksgiving', 'Binance', 'México', 'Canada', 'Black Friday']"
23-11-2023,"['Thanksgiving', 'Thankful', '#FinalMGKPP24xCharlottePailiu', 'Turkey', '#ENGFAxBLOOMBOOMLIVE']"
24-11-2023,"['Thanksgiving', 'Black Friday', 'Thankful', 'Ireland', 'Turkey']"
25-11-2023,"['Black Friday', 'Thanksgiving', 'The Game', 'Christmas', '#ZeeNuNew1stFMinHK']"
26-11-2023,"['#ConcertENGFAinPhilippines', 'Black Friday', 'Thanksgiving', 'Michigan', 'jaehyun']"
27-11-2023,"['#ElonGoToGaza', '#30億ルフィWANTED', 'Cyber Monday', 'Patriots', 'Allen']"
28-11-2023,"['CONGRATULATIONS BTS', '#30億ルフィWANTED', 'The UN', 'Cyber Monday', 'Apple Music']"
29-11-2023,"['Spotify', '$Portal', '#2023MAMAAWARDS', '#INNOBRANDxENGLOT', 'Elon']"
30-11-2023,"['Spotify', 'Kissinger', 'Elon', 'Disney', 'Onana']"
01-12-2023,"['The House', 'Congress', 'George Santos', '#WorldAIDSDay', 'Happy New Month']"
02-12-2023,"['Congress', 'George Santos', '#MMA2023', 'SHINee', 'Walmart']"
03-12-2023,"['Bitcoin', '#HappyBirthdayJin', 'Alabama', 'Georgia', 'Telangana']"
04-12-2023,"['#FinalMGRNG24xENGLOT', 'Bitcoin', 'Fortnite', '#HappyBirthdayJin', 'Godzilla']"
05-12-2023,"['jungkook', 'GTA 6', 'BLACKPINK', 'Rockstar', '#MileApoRedSeaFilm2023D1']"
06-12-2023,"['Ukraine', 'Harvard', 'GTA VI', 'Rockstar', '#GAGCITY']"
07-12-2023,"['#TheGameAwards', 'Vivek', 'Murder', '#GAGCITY', 'Refaat']"
08-12-2023,"['Nicki', 'My Life', 'Hunter Biden', 'Let Go', 'Alan']"
09-12-2023,"['Hunter', 'Army', 'Ukraine', '#TheGameAwards', 'Grok']"
10-12-2023,"['namjoon', 'Alex Jones', 'Dodgers', 'Lebron', '#NXTDeadline']"
11-12-2023,"['jungkook', '#StrikeForGaza', 'Alex Jones', '#OTGala3', 'Supreme Court']"
12-12-2023,"['Harvard', 'hobi', 'Kanye', '#WWERaw', 'Titans']"
13-12-2023,"['Hunter Biden', '#เอ๊ะByNuNew', 'Twitch', 'Sehun', 'Draymond']"
14-12-2023,"['Hunter', 'Ukraine', '#AAA2023inPH', 'Twitch', 'Ledger']"
15-12-2023,"['Ukraine', 'Hunter', 'Twitch', 'Usher', 'Discord']"
16-12-2023,"['Senate', 'Rudy', 'Kanye', 'Rudy Giuliani', '#UFC296']"
17-12-2023,"['Senate', 'One Piece', 'Rudy', 'Bears', 'Jets']"
18-12-2023,"['Ga Ming', '#SalaarReleaseTrailer', 'Cowboys', 'Swift', 'Bears']"
19-12-2023,"['Democracy', 'Yemen', 'Pope', 'Epstein', 'Jonathan Majors']"
20-12-2023,"['Democracy', 'Trump in Colorado', 'Constitution', 'SCOTUS', 'FREEN FAV FRAGRANCE']"
21-12-2023,"['My Twitter', 'Not Twitter', 'Colorado', 'Did Twitter', '#Salaar']"
22-12-2023,"['#CloserThanThis', 'Merry Christmas', 'Happy Holidays', '#BRC20', 'Dodgers']"
23-12-2023,"['#GMMTVStarlympic', 'Santa', 'Happy Holidays', 'Liverpool', 'Colorado']"
24-12-2023,"['Christmas', 'Santa', 'Happy Holidays', 'Feliz Navidad', 'Merry Xmas']"
25-12-2023,"['Christmas', 'Merry Christmas', 'Santa', 'Happy Holidays', 'Christmas Day']"
26-12-2023,"['Jesus', 'Santa', 'Happy Holidays', 'Merry Xmas', 'Boxing Day']"
27-12-2023,"['Christmas', 'Jesus', '#XRC20', 'X-20', 'Boxing Day']"
28-12-2023,"['Christmas', 'Jesus', 'Slavery', 'Maine', 'Happy New Year']"
29-12-2023,"['Happy New Year', 'Slavery', 'Civil War', 'Maine', 'South Africa']"
30-12-2023,"['Happy New Year', '#HappyBirthdayTaehyung', 'Maine', 'Civil War', 'Michigan']"
31-12-2023,"['Happy New Year', 'Happy 2024', '2023', 'Eagles', 'Ravens']"
01-01-2024,"['2023', 'Happy New Year', 'Happy 2024', 'Feliz Año Nuevo', ""Here's to 2024""]"
02-01-2024,"['Happy 2024', 'Happy New Year', 'Epstein', '#The33rdSMAxZeeNuNew', 'Mickey']"
03-01-2024,"['Happy New Year', 'Epstein', 'Harvard', 'Clinton', 'Plagiarism']"
04-01-2024,"['Jeffrey Epstein', '#EnglotAnvs1Y9M', 'Ricky', 'Perry', 'Alan Dershowitz']"
05-01-2024,"['Epstein', 'Bill Clinton', 'Stephen Hawking', 'Katt Williams', 'Miami']"
06-01-2024,"['Epstein', 'Reyes', '#WWinkwhiteXENGLOT', 'Miami', 'yeonjun']"
07-01-2024,"['Capitol', 'taylor', '#GoldenGlobes', 'ariana', 'Eagles']"
08-01-2024,"['The Don', '#GoldenGlobes', 'Barbie', 'Bills', 'Eagles']"
09-01-2024,"['Ecuador', '#GoldenGlobes', 'The SEC', 'MatPat', '#PortfolioDay']"
10-01-2024,"['Ecuador', 'Hunter Biden', 'MatPat', '#PortfolioDay', 'Training']"
11-01-2024,"['South Africa', 'Ecuador', 'Saban', 'MatPat', 'Red Sea']"
12-01-2024,"['Yemen', 'South Africa', 'ariana', 'Hunter', '$APP']"
13-01-2024,"['Yemen', 'South Africa', 'Houthis', 'ariana', '#DMDLAND2CONCERT']"
14-01-2024,"['Vivek', '$DIONE', 'Texans', 'Xavi', 'Taylor Swift']"
15-01-2024,"['GOT7', 'seungkwan', 'Vivek', 'Chan', 'Dr. King']"
