Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
cirogomes,"June 16, 2022 10:01 AM","A forma brutal como os assassinos acabaram com as vidas de Bruno e Dom Phillips mostra que a omissão dos governos criou mais que um estado paralelo, fez nascer um versão cabocla do Estado Islâmico, dentro do nosso território.",6253,1313,684,N/A
leiladovolei,"September 17, 2022 11:33 PM","“Vou governar para todos os brasilienses. Quero devolver de uma forma genuína tudo o que Brasília fez por mim e pela minha família. Não tenho negócios ou interesses pessoais, tenho sim muita gana e vontade.""#DebateSBT",232,48,11,N/A
SorayaThronicke,"November 15, 2022 06:15 PM","Vive na democracia, e pede intervenção militar…

O que é o que é?",4156,408,862,N/A
gmail,"September 22, 2022 09:45 PM",Who remembers when#Gmailwas invite only?,4380,337,640,N/A
o_antagonista,"October 19, 2022 10:18 PM","#BolsonaronoCDTalks@jairbolsonaro: ""Nenhuma lei pode colocar limite na liberdade de expressão.”",5098,912,352,N/A
reinaldoazevedo,"June 07, 2022 03:01 AM","Bolsonaro quer zerar impostos federais de gasolina e etanol se lei q tabela a 17% ICMS de combustíveis, energia e serviços de teles passar. Menos ICMS é menos grana p/ educação e segurança dos pobres. P/ subsidiar quem tem carro.  Exemplo notável de concentração de renda. TÍPICO.",9990,1305,954,N/A
gcamarotti,"June 25, 2022 03:15 AM",O dia acabou e a noite virou. Mas o silêncio constrangedor de Jair Bolsonaro permanece sobre o áudio em que o ex-ministro Milton Ribeiro diz q foi alertado pelo presidente sobre uma busca e apreensão. Era p/Bolsonaro ter chamado uma coletiva imediatamente p/falar sobre os fatos.,6681,512,1178,N/A
AndreiaSadi,"August 29, 2022 11:54 AM","1- Lula, ao decidir ir ao debate, forçou Bolsonaro a confirmar. Se não fosse, avaliam ambos os lados,  passaria a imagem de que “fugiu”, “covarde”. Então, confirmou. Só que, ao confirmar, saiu do cercadinho- onde está acostumado a não ser confrontado, a pautar, pintar e bordar",34553,2493,3089,N/A
nisia_trindade,"January 20, 2023 02:18 PM","O Brasil recebe, entre esta sexta-feira (20) e sábado (21), mais 7,7 milhões de doses de vacinas Covid-19 da Pfizer para crianças de 6 meses a 11 anos de idade. (1/2)",31760,3942,1129,1288906
LulaOficial,"October 23, 2022 11:47 PM","Quem vai votar, seja jovem, idoso, deve saber que está escolhendo o futuro do país. Ou a volta da democracia ou o início de um governo fascista.#LulaNoDLShow",7539,1645,1202,N/A
MarinaSilva,"July 06, 2022 05:20 PM","""Temos hoje a denúncia do tal 'orçamento secreto' que é para favorecer a base do governo, quando na verdade o dinheiro não deve ser secreto, deve ser transparente e destinado para as pessoas que estão precisando.",283,25,7,N/A
unb_oficial,"November 18, 2022 08:51 PM","A UnB, em parceria com a SES/DF, promoverá vacinação de adultos na Faculdade de Ceilândia (FCE).

Serão disponibilizadas vacinas para Covid, Influenza, Hepatite B, Difteria/Tétano (dT), Febre Amarela e Tríplice Viral nos dias 22 e 25 de novembro, das 8h30 às 16h30.",630,199,11,N/A
govbr,"January 21, 2023 06:34 PM",O que está acontecendo com o povo Yanomami? Segue o fio pra saber mais,28497,5596,563,1623210
folha,"November 15, 2022 06:58 PM",Somos 8 bilhões de pessoas no planeta.,462,37,26,N/A
SenadoFederal,"November 29, 2022 06:45 PM",Redes sociais: A Comissão de Fiscalização e Controle aprovou requerimento de informações ao TSE sobre o contrato com a empresa Partners (para monitoramento de redes sociais).,11143,3094,3185,N/A
rogeriosmarinho,"October 29, 2022 03:06 AM","Parabéns ao Presidente Bolsonaro, orgulho de fazer parte de sua governo e de seu legado Para o Brasil, o debate da globo, deixou ainda mais claro que quem roubou o nosso passado, não pode se posicionar Para roubar o nosso futuro. No dia 30
Pelo bem do BRASIL é 22",5494,1205,71,N/A
Zambelli2210,"June 10, 2022 12:29 PM","Excelente notícia! 

Eletrobras é privatizada pelo Governo do Presidente@jairbolsonarocom oferta de R$ 33,7 bilhões na Bolsa. 

A venda da estatal de energia via Bolsa foi o maior movimento de desestatização do País em duas décadas.",20077,2796,965,N/A
astropontes,"August 09, 2022 02:09 AM",Autêntico e humorado! Esse é o nosso presidente#BolsonaroNoFlowMais de meio milhão de pessoas assistindo ao vivo agora!O capitão é do povo!,6730,737,231,N/A
TerezaCrisMS,"October 17, 2022 01:20 AM","Presidente@jairbolsonarovenceu o debate com argumentos e dados. O outro candidato, nervoso, escorregou nas próprias mentiras! Venceu a VERDADE!#Bolsonaro",26452,4550,1543,N/A
JotaInfo,"July 18, 2022 07:50 PM","Em encontro com embaixadores, presidente da República não apresenta prova de fraude em eleições e critica pedido do presidente do TSE para que resultado da eleição de 22 seja reconhecido por outros países. Diz que Fachin era advogado de um ""grupo terrorista"", referindo-se ao MST.",370,82,74,N/A
RobertoRocha_MA,"October 23, 2022 06:05 PM","Deploro as palavras do Roberto Jefferson contra a Ministra Carmem Lúcia e sua reação armada contra a PF. De igual modo é deplorável, num inquérito inconstitucional, um juiz sozinho investigar, denunciar, julgar, condenar e prender. Kd o MPF? Kd o Senado?",7016,1766,343,N/A
ErikakHilton,"June 09, 2022 08:53 PM","Tá rolando uma confusão sobre o#RolTaxativoMatae queria explicar:

""E o lucro dos planos?"" = eles já lucraram 17 bilhões só ano passado com Rol Exemplificativo

""É pauta pra quem tem convênio"" = Isso é uma divisão besta. Se o convênio não faz seu papel, o SUS superlota.",186,33,1,N/A
randolfeap,"June 01, 2022 07:38 PM","ATENÇÃO! Acabamos de acionar o STF, via ADPF,  contra o reajuste absurdo dos Planos de Saúde! Queremos que Bolsonaro explique o reajuste de 15,5% dos planos de saúde e apresente um Plano do Governo Federal para reduzir os preços! Além disso, estamos pedindo:",8409,827,1074,N/A
ContaratoSenado,"December 15, 2022 05:14 PM","Parabenizo os embaixadores Mauro Vieira e Maria Laura da Rocha, desejando-lhes sorte em sua missão de dirigir o Itamaraty e de reabilitar a imagem do Brasil no cenário global, virando de vez a página do atual capítulo trágico da política externa!",499,34,18,8647
rosangelamorosp,"January 09, 2023 01:50 PM","Resultado do dia de ontem: patrimônio publico destruído (que é de todos nós) e nós vamos pagar a reparação, pessoas foram e serão presas. Com a perda da razão perdeu-se a legitimidade e Lula continua presidente. Vandalismo não é o caminho.",3426,322,1103,302941
marmilbr,"November 05, 2022 06:21 PM","#NotaDePesar| A Marinha do Brasil lamenta o falecimento de dois militares da@fab_oficial, após acidente com a aeronave de instrução T-25, ontem (4), em Santa Catarina, e se solidariza com familiares e amigos pela irreparável perda.",6097,398,215,N/A
camaradeputados,"January 09, 2023 12:57 PM",Nossa equipe de jornalismo andou pela área vandalizada da Câmara dos Deputados para trazer em primeira mão o estado das dependências internas da Casa. Confira no fio,674,89,81,112966
Basiliarodri,"January 20, 2023 11:02 AM","AGORA: PF nas ruas para prender 8 pessoas e cumprir 16 buscas e apreensões contra alvos ligados aos protestos golpistas, em Brasília. Operação Lesa Pátria apura golpe, dano qualificado, associação criminosa, destruição de bem com proteção especial. Operação é permanente, diz PF.",615,66,22,27337
waldezoficial,"January 08, 2023 07:45 PM","Os atos de terrorismo que estão acontecendo em Brasília neste domingo, com a invasão e depredação dos prédios do Congresso Nacional, do Supremo Tribunal Federal e do Palácio do Planalto, são inaceitáveis. O resultado das urnas é soberano.",297,45,22,11891
senadorcidgomes,"August 29, 2022 01:48 AM",Ciro é definitivamente o mais preparado para governar o Brasil!,8619,1018,2418,N/A
PlinioValerio45,"November 18, 2022 02:57 PM","Do jeito que enviaram a “ PEC Sem Teto”, não voto a favor nem a pau. Caso contrário seria aceitar a condição de “ mané” que o PT e o ministro Barroso querem nos impor.
O Congresso Nacional não é quintal do PT. E nós, brasileiros, não somos manés#respeito",14111,2991,1250,N/A
FlavioBolsonaro,"August 29, 2022 01:23 AM","Lula é mentiroso, é tão falso que tentou fazer gesto pra Ciro e tomou uma voadora de volta. Bolsonaro é 22!#DebateNaBand",10314,1297,497,N/A
renataagostini,"August 29, 2022 12:24 AM","Ciro vai para cima de Bolsonaro. Escolhe o presidente para sua primeira pergunta. Diz que ficou chocado ao ver Bolsonaro dizer que não tem fome no país. E diz que qualquer um que ""não trocou o coração por pedra"" sabe que há fome.",401,49,13,N/A
ottoalencar,"December 14, 2022 02:02 PM","É de costume o presidente da República que sai do poder deixar o Palácio da Alvorada, residência oficial, antes do dia 15/12. Se  Bolsonaro não quer sair, sugiro a#Lulaentrar com ação de despejo.",23611,3037,4257,N/A
venezianovital,"July 26, 2022 09:34 PM","Atendendo pedido da coordenação do Presidente Lula, a sua visita à Paraíba será na próxima terça-feira, dia 02, em Campina Grande. Vamos fazer uma linda festa democrática",437,68,34,N/A
