Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
michaelmalice,"October 13, 2023 02:48 PM","On this Day of Jihad, @JohnFetterman  delivers a prayer for peace in Arabic",2066,304,176,150596
michaelmalice,"October 13, 2023 01:40 PM",Elderly man assaulted in his own home by an invader This is what Hamas Day of Jihad has resulted in,1620,119,96,79717
michaelmalice,"May 27, 2024 09:27 PM","Kudos to my Mossad comrades for engineering it so that the Libertarian Party couldnt be an effective force against Israel this year.  . and, lock comments",2622,197,78,69778
michaelmalice,"October 21, 2023 06:08 PM",Looks like Hamas cured that new Covid wave,4589,575,147,123305
michaelmalice,"October 12, 2023 04:08 AM",Hamas to endorse college debt relief shortly,2622,197,78,69778
michaelmalice,"October 12, 2023 11:32 PM","CNN has confirmed that as the Hamas fighters were slaughtering innocent people they could be heard to be chanting ""This is MAGA country""",1746,185,68,66529
michaelmalice,"October 16, 2023 12:15 AM","Guys Israel just needs to send John Fetterman to negotiate with Hamas After trying to listen to him their translator will just blow himself and the leadership up, and steps towards a lasting peace can commence",1204,133,57,40028
tomilahren,"April 24, 2024 08:08 PM",We need to stop referring to these people as “anti-Israel” protesters. They couldn’t find Israel on a map.   They are misfits and losers who are carrying the banner for Islamic terrorism and many of them are doing it because it’s their only opportunity to fit in and be a part of,7200,1340,424,148824
tomilahren,"November 05, 2023 05:09 PM",Terrorist sympathizers plus well meaning morons calling for a “ceasefire” like to absorb Hamas propaganda I guess EXCEPT when leaders of Hamas directly say they will repeat October 7 for as long as it takes until Israel is wiped off the map…,1221,270,190,60184
tomilahren,"April 25, 2024 01:17 AM","Let’s just be honest, these “pro-Palestine” encampments are little more than the misfits of the world living out the sleepovers they never got invited to during their childhood years.   Sure, there are some true jihadis hiding in there but most of them are just your typical",1401,188,133,85179
tomilahren,"November 01, 2023 10:28 AM",Hamas Official Ghazi Hamad: We Will Repeat the October 7 Attack Time and Again Until Israel Is Annihilated; We Are Victims - Everything We Do Is Justified #Hamas #Gaza #Palestinians,1221,270,190,60184
tomilahren,"October 30, 2023 11:08 PM",There is no “pro-Palestine” side to this. Palestine is controlled by Hamas. If you’re screeching for a ceasefire you’re coddling terrorists.   …,4290,720,667,266351
monicacrowley,"June 08, 2024 09:15 PM",Jihadi insurrection happening now in your nation’s capital.  The enemy within is emboldened.  Prepare.,3913,1725,454,91653
monicacrowley,"July 26, 2024 04:38 PM",The rightful President welcoming Israeli Prime Minister @netanyahu to Mar-a-Lago,3589,641,201,48032
monicacrowley,"October 28, 2023 02:03 AM","Told you something was up in NYC.   This is Grand Central Station, brought to a halt by pro-Palestinian/pro-Hamas protesters.",1379,679,486,124815
monicacrowley,"August 14, 2024 04:49 PM",Here’s the Taliban showing off $85 Billion in military equipment Biden & Harris left behind in their catastrophic withdrawal - 13 American soldiers were killed & our terrorist-supporting enemy is now armed to the teeth,3590,1896,321,132879
glennbeck,"November 03, 2023 09:00 PM",".@bennydav, a Jew who survived the 1976 terrorist plane highjacking, explains why the Jewish people cant just leave Israel for safety reasons: ""Where do you want us to go? The people of Israel will stand and defend our land. Because this is the only one we’ve got.""",1313,318,79,61003
glennbeck,"October 19, 2023 12:10 AM","Many Americans have moved past the Hamas terrorist attack. They think it’s over or that it’s time to move on. But nothing could be FURTHER from the truth. Tonight on Glenn TV, I explain why I’m afraid we’re heading toward a LARGER, maybe even BIBLICAL, war.",1090,318,96,63473
glennbeck,"April 08, 2024 08:25 PM","Biden now wants to create a separate label for Jewish-made products from the West Bank (AKA Judea & Samaria). Maybe its just me, but creating separate labels for Jews doesnt exactly have the best track record.",2789,894,98,136756
glennbeck,"October 12, 2023 01:37 AM",The attack on Israel is not over a territory dispute. Its about annihilating the Jews.,4601,1438,264,167918
glennbeck,"October 18, 2023 04:35 PM","As the narrative that Israel bombed a hospital in Gaza continues to fall apart, I have to ask: Why was the media so quick to believe the words of jihadi terrorists who murdered American citizens?",2186,623,146,69689
lpnh,"November 16, 2023 11:22 PM","Libertarians have been talking about Osama Bin Laden’s #LettertoAmerica for over two decades now.   Weve been talking about it, not to excuse the terrorist acts, but as a lesson, that history doesnt start on the day of this terrorist act, or that terrorist act. That actions",1019,297,69,120859
coachbrucepearl,"September 06, 2024 11:53 AM","In response to Hamas attack on Israel, slaughtering 1200 innocent civilians with promises to do it again and again, Gov Walz wants to REWARD THEM with their own state? Sir, they have had their own Terrorist State since 2005! That swap of land for peace did not work then or now!",1288,199,88,59477
coachbrucepearl,"September 05, 2024 11:01 PM","Walz goes all in for the pro-Hamas crowd, wow.  Walz: “We need to continue, I think, to put the leverage on” (meaning pressure Israel)  Walz: “I think those folks who are speaking out loudly in Michigan are speaking out for all the right reasons.”  Yikes. x.com/dylanewells/st…",2047,282,77,212751
coachbrucepearl,"March 08, 2024 03:51 AM","134 Innocent Hostages including 6 Americans are still being held by Hamas, Gazans and Palestinians. Not one word DEMANDING THEIR RELEASE from our President. On Oct 7th the Jewish People experienced the worst genocide since the Holocaust and we hear more about the suffering of",4736,700,218,331608
coachbrucepearl,"September 01, 2024 11:58 AM","I just recited the Mourners Kaddish for an American, Hersh and the other hostages murdered by these barbarians! There is NO JUSTIFICATION! There doesnt need to be a deal, a ceasefire or a reward to Hamas or Hezbollah with the creation of a terrorist Palestinian state! Israel",2047,282,77,212751
coachbrucepearl,"October 29, 2023 09:41 PM","There can be no “managing” of Hamas. It is a genocidal, jihadist org whose charter is the destruction of Israel and the murder of Jews worldwide. Israel must destroy Hamas, help the world rebuild Gaza and find peaceful Arab leaders like Abraham Accords",1525,215,128,151822
senkatiebritt,"July 24, 2024 06:42 PM",It’s a shame Vice President Harris literally will not be here today to stand with Israel. Time and time again she fails to do her job.  She was put in charge of the border—she failed at that.   Shes expected to preside over joint sessions of Congress in which foreign,18164,4815,1772,412476
