Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
JordanChariton,"July 18, 2024 12:27 AM","The Mayor of East Palestine, OH just spoke at the RNC and did not mention the fact that East Palestine is STILL a chemical petri dish, its residents are growing sicker, and the EPA is helping Norfolk Southern cover it up.",11017,3003,40,544959
JordanChariton,"April 24, 2024 05:26 PM","I know there’s a lot going on, but I want to remind folks what the govt & media are covering up—the latest sacrifice zone. Jenna is an 18 year old East Palestine OH resident. Before Norfolk Southern unnecessarily detonated toxic cancerous chemicals over EP, she was healthy….",1201,316,22,58869
mmpadellan,"March 31, 2024 07:04 PM","While Democrats push for ceasefire and humanitarian aid in Gaza, Republicans like Rep. Tim Walberg call for the slaughters of Palestinian children, ""It should be like Nagasaki and Hiroshima.""  This should be a much bigger story.",3901,2149,1216,248025
mmpadellan,"May 06, 2024 04:55 PM",BREAKING: Hamas has tentatively accepted the ceasefire proposal!!!!!,5852,612,954,251080
mmpadellan,"October 09, 2023 04:04 PM","As a Muslim,  a father,  a brother, a son, an American, and a human being  I am APPALLED at the heinous, horrendous attacks against civilians in Israel this weekend. You dont need to fit neatly into ANY category besides ""decent human being"" to condemn the atrocities we saw",15884,2544,1898,689734
mmpadellan,"November 17, 2023 01:14 AM","Israel has a right to exist. Palestine has a right to exist. A two-state solution is the ONLY way forward. BOTH need to be free of terrorist violence, retaliatory violence, settler violence, and occupier violence. Free of violence, PERIOD.  Both sides have suffered tremendous",5008,1192,406,123302
mmpadellan,"March 14, 2024 03:55 PM","WOW.  Senator Chuck Schumer called Benjamin Netanyahu ""an obstacle to peace,"" and ""too willing to tolerate the civilian toll in Gaza,"" and called for Israel to hold new elections to replace him.  Senator Schumer is 100% right.",29184,7337,2881,730899
charliekirk11,"May 06, 2024 04:58 PM","BREAKING: According to AP, Hamas has told Qatar and Egyptian mediators that it will accept terms of a ceasefire and prisoner swap with Israel. This comes as Israel was preparing a ground siege on Rafah, the last Hamas stronghold in Gaza.",1733,361,425,236487
charliekirk11,"October 07, 2023 03:56 PM","Hundreds of Israelis dead and injured. 50+ Israeli hostages. Hamas militias killing innocents in their homes, 2,200 missiles launched in an unprovoked, surprise attack.   MSNBC: ""I couldn’t think of a better gift for Benjamin Netanyahu right now than this kind of incursion. """,7159,3176,1643,751683
charliekirk11,"December 02, 2023 12:06 AM","Six days after Oct. 7th, I went on the PBD Podcast and asked a series of questions about what Israeli intelligence failures happened that allowed Hamas to massacre 1,200 civilians. The clip went viral and I was attacked as an antisemite and called worse than a ""Holocaust denier.""",2543,614,279,529645
charliekirk11,"December 05, 2023 02:41 AM","Days before the Oct. 7 Hamas attack on Israel, stock traders magically began anticipating events to come:  Research by law professors Robert Jackson Jr from NYU and Joshua Mitts of Columbia reveals MASSIVE short-selling leading up to the attacks:  The short-selling before Oct. 7",17060,5977,908,2171970
charliekirk11,"October 19, 2023 03:01 PM","Son of Hamas leader, Mosab Hassan Yousef, denounced Hamas and converted to Christianity after witnessing their savagery:   ""They dont care for the Palestinian people. They dont regard human life. I saw their brutality firsthand If they succeed in destroying Israel and",27338,10495,1184,2560230
davidsirota,"November 14, 2023 07:06 PM","MUST READ: Right-wing Israel advocacy groups intervened in Democratic primaries to crush progressives, including a pro-Israel Jewish Democratic congressman.  The tactic has helped deter Democratic congressional opposition to Israels war in Gaza.",1125,421,42,36599
blacks4peace,"November 04, 2023 10:45 PM","The Black Alliance for Peace was at the #March4Palestine rally in Washington, DC today  #FreePalestine",1882,574,29,61569
blacks4peace,"April 26, 2024 09:14 PM",MIT student organizers at the Students Against Genocide Encampment join the call to stand firm against foreign interference in Haiti. Haitians deserve self-determination to address their own political affairs without external meddling. @mitcaa #HandsOffHaiti #FreePalestine,1632,931,25,102770
kylegriffin1,"March 01, 2024 12:25 AM",Sen. Raphael Warnock is now calling for a ceasefire in Gaza.,2740,327,97,158065
kylegriffin1,"March 21, 2024 09:50 AM","Secretary of State Antony Blinken says the U.S. has submitted a draft resolution to the UN Security Council calling ""for an immediate ceasefire"" in Gaza — ""tied to the release"" of hostages held by Hamas.",1773,496,55,111688
kylegriffin1,"May 08, 2024 10:25 PM","Breaking:  WASHINGTON (AP) — Biden says Im not supplying the weapons if Israel launches assault on Gazas Rafah, after US paused bomb shipment.",3974,741,123,192238
kylegriffin1,"April 03, 2024 12:05 AM","President Biden: ""I am outraged and heartbroken by the deaths of seven humanitarian workers from World Central Kitchen, including one American, in Gaza yesterday. They were providing food to hungry civilians in the middle of a war. They were brave and selfless. Their deaths are a",2749,653,141,141160
kylegriffin1,"July 25, 2024 11:30 PM","BREAKING. Vice President Harris on Israel-Gaza:  ""Israel has a right to defend itself, and how it does so matters.""  ""The images of dead children and desperate, hungry people fleeing for safety, sometimes displaced for the second, third or fourth time — we cannot look away in the",4118,995,65,202784
PalmerReport,"July 12, 2024 04:12 PM",President Biden says Israel and Hamas have agreed to the framework for a ceasefire. Congrats to Biden on a huge diplomatic victory on the world stage.,10952,2931,106,172212
StatusCoup,"July 15, 2024 12:12 AM","Zionists follow Pro-Palestine Jewish protesters to their car, harassing and threatening them the entire way. ""All your beards, all fake! Cut them off btch! Cut them off!"" One yells at one point.  Via @JonFarinaPhoto",7396,3880,340,2956497
POLITICO,"July 19, 2024 12:42 PM","These trauma surgeons thought they’d seen the worst of the worst. But nothing they’d experienced prepared them for the horrors they found in Gaza, as civilians and children suffer under Israel’s bombing campaign.  Two weeks inside a Gaza hospital",10906,7632,188,3879389
POLITICO,"January 21, 2024 11:57 AM","Palestinian death toll in Gaza surpasses 25,000",2181,2195,284,3472159
TuckerCarlson,"January 08, 2024 10:38 PM","The attacks by the Houthis are hurting people around the world – especially the poorest and most vulnerable populations, including in Yemen and Gaza.",111304,24205,7100,8258920
