Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
scottpresler,"October 07, 2023 03:17 PM",Joe Biden funded the Iranian-backed Hamas attacks on Israel.,3965,1034,221,71051
scottpresler,"October 07, 2023 03:45 PM","There are an estimated 200,000 Americans living in Israel.   We need to make sure every single one of them is registered to vote & mobilize them to vote in the 2024 election.",3723,864,134,57402
scottpresler,"October 07, 2023 05:01 PM","If you’re unhappy w/ Joe Biden, the price of gas, the rising cost of food, our open border, his deadly pullout from Afghanistan, the war w/ Russia, & his funding the Hamas terrorist attack on Israel,  then vote straight-ticket Republican this November: KY, LA, MS, NJ, PA, & VA.",7095,2425,160,130883
scottpresler,"October 07, 2023 04:55 PM","You funded this terrorism.   Will you apologize for gifting Iran $6 billion, which was used to attack Israel?   The world is a more dangerous place because of your administration.  Resign.",4676,710,99,70501
scottpresler,"October 08, 2023 06:52 PM","So, how much does Iran pay when you gift our enemy $6 billion?  Israel pays a blood tax.",7862,536,164,220782
scottpresler,"October 08, 2023 10:04 PM","You can’t possibly support Israel, while gifting our mutual enemy billions of dollars.",3170,253,72,79046
scottpresler,"October 10, 2023 08:41 PM",What’s happening to Israel right now   is a haunting reminder why Americans should never give up our guns.,8392,1776,201,101448
scottpresler,"October 14, 2023 02:40 PM",Do you think Jewish democrats are starting to realize that they’ve been voting to fund Hamas?,12606,3291,1763,296004
scottpresler,"October 18, 2023 05:16 PM","The $100 million is going straight to Hamas, which will be used to attack Israel.   From President Obama to Biden, you both have consistently funded terrorism.",4836,783,132,67281
scottpresler,"November 05, 2023 02:09 PM",I wonder if the Jewish community sees in real time democrat pro-Hamas groups calling for their genocide.,5508,1626,267,99333
scottpresler,"November 16, 2023 02:55 AM",Pro-Palestine rioters are clashing with Capitol Police outside of the DNC headquarters in DC.   This is an insurrection.,8930,3441,1010,476755
scottpresler,"December 01, 2023 05:41 PM","Millions of illegal aliens are invading our country, 300 Americans are dying daily from fentanyl poisoning, & hundreds of individuals on the FBI’s terrorist watchlist have tried to enter the Southern border.  Secretary of Homeland Security Alejandro Mayorkas wasn’t impeached,  but George Santos was expelled from Congress.",6694,2653,216,134298
scottpresler,"December 01, 2023 05:41 PM","Millions of illegal aliens are invading our country, 300 Americans are dying daily from fentanyl poisoning, & hundreds of individuals on the FBI’s terrorist watchlist have tried to enter the Southern border.  Secretary of Homeland Security Alejandro Mayorkas wasn’t impeached,",6694,2653,216,134298
scottpresler,"December 09, 2023 10:18 PM","I Have Extremely Good News   Liz Magill — who said that calling for the genocide of Jews can only be identified as harassment based on “context” — resigned as president of the University of Pennsylvania.  However, the fact that she will remain as a faculty member at Penn Carey Law is concerning.  This move comes after a donor pulled $100 million from Penn.  It’s also important to note that Dave McCormick, PA Republican senatorial candidate, called for Magill’s resignation, while Senator Bob Casey did not.",9551,2846,280,230617
scottpresler,"December 09, 2023 10:18 PM","I Have Extremely Good News   Liz Magill — who said that calling for the genocide of Jews can only be identified as harassment based on “context” — resigned as president of the University of Pennsylvania.  However, the fact that she will remain as a faculty member at Penn Carey",9551,2846,280,230617
