Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
RevBlackNetwork,"September 17, 2024 02:02 PM",DNC: No primary  Libs: we need Biden  DNC: Genocide  Libs: must save democracy   DNC: No policy  Libs: vibes are lit  DNC: More wars & genocide  Libs: but at least no fracking  DNC: Record fracking  Libs: no kids in cages  DNC: Better cages  Libs: legalize weed?  DNC: No or Trump,219,36,5,4473
TheDemocrats,"July 19, 2024 07:43 PM",In case you needed more reasons that Trump-Vance’s Project 2025 is truly a nightmare:   Reinstating and expanding Trump’s racist Muslim ban  Arming teachers  Banning transgender Americans from serving in the military  Dismantling the Department of Education,385,229,168,22387
msnbc,"October 10, 2023 06:43 PM","President Biden calls Hamas terrorist attacks “sheer evil” and vows “we stand with Israel” as 14 Americans killed.   ""There are moments in this life.  when the pure, unadulterated evil is unleashed on this world. The people of Israel lived through one such moment this weekend.""",1455,455,341,99437
msnbc,"September 20, 2024 03:22 PM","BREAKING: Israel carries out ""targeted strike"" in Beirut. @KeirSimmons has the latest.",65,20,38,32852
msnbc,"October 09, 2023 03:12 AM","Lawmakers were told at a  briefing tonight there had been four American fatalities as a result of the Hamas attacks in Israel, a number they were told is expected to rise.",191,108,92,61155
msnbc,"September 19, 2024 03:04 PM",BREAKING: Israeli military strikes Hezbollah as Nasrallah responds to wave of device blasts in Lebanon.,55,26,44,41383
msnbc,"October 11, 2023 04:31 PM",BREAKING: State Department confirms at least 22 Americans killed in Israel,315,210,145,67878
msnbc,"October 15, 2023 10:12 PM","The death toll for Americans from Hamas terror attack on Israel and the subsequent war now stands at 30, per State Department spokesperson. 13 Americans are missing.",234,129,238,81863
msnbc,"October 20, 2023 07:03 PM","BREAKING:  Two American hostages held by Hamas have been released and are back in Israel.  The two women released, Natalie and Judith Raanan, are members of former NBC News Tel Aviv bureau chief Martin Fletcher’s family.  Martin calls it “a miracle.”",1676,443,239,270198
msnbc,"January 08, 2024 06:00 PM",WATCH: Protestors interrupt President Bidens speech calling for a ceasefire in Gaza,7295,3338,860,5150281
msnbc,"October 11, 2023 03:28 PM","Defense Secretary Austin gives update on Israel:  “As President Biden has said, for any country, for any organization, for anyone thinking of trying to take advantage of the agony in Israel to try and widen this conflict or to spill more blood, we have just one word: don’t.”",1163,318,240,53651
msnbc,"October 10, 2023 06:47 PM","Biden: ""This is terrorism. But sadly for the Jewish people, its not new. The attack has brought to the surface painful memories, the scars led by a millennia of anti semitism and genocide of the Jewish people. So in this moment we must be crystal clear: We stand with Israel.""",2352,636,265,122041
FoxNews,"October 14, 2023 02:30 PM","IDF says it continued to attack Hamas military targets, headquarters in Gaza Strip; Hamas official killed",250,31,108,90449
FoxNews,"June 24, 2024 12:58 AM","Jewish mother, family attacked at elementary school graduation by agitators yelling Death to Israel: report",247,169,73,89970
FoxNews,"September 01, 2024 12:22 PM","Netanyahu mourns deaths of six hostages recovered in Gaza, vows to settle accounts with Hamas",604,115,113,81202
FoxNews,"November 19, 2023 01:07 PM",LA Times editorial board demands Biden administration push for cease-fire in Israel-Hamas war,184,62,561,134968
FoxNews,"November 04, 2023 06:39 PM",Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official,328,152,873,144789
FoxNews,"October 23, 2023 05:45 AM","Israel Security Agency creates new unit to hunt, kill every Hamas terrorist in Oct. 7 surprise attacks: report",765,100,195,166807
FoxNews,"October 12, 2023 11:58 AM","HAMAS IS ISIS: Standing united in Israel, Blinken and Netanyahu confront the world after Hamas terror massacre.",329,60,97,79732
