Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
benshapiro,"November 01, 2023 10:55 AM","This creates a catch-22. If Israel does not defend itself, Israel is destroyed. If Israel does defend itself while Hamas hides behind civilians, the media blast out these images. So what, precisely, is Israel supposed to do? World opinion will not govern Jewish survival.",11133,2851,7616,6463090
benshapiro,"October 31, 2023 08:03 PM","People need to understand how the Arab and Muslim world is digesting these images.  You might say, “they’ve always been against Israel; I don’t care,” but that’s foolish.  Support can shift from being non-existent to very aggressive opposition on a broad scale in a short time.",14432,1874,5763,1170719
benshapiro,"November 21, 2023 03:06 PM","If the Israeli security cabinet approves a temporary pause in order to return some of the hostages, the world will undoubtedly take this as the first step toward cessation of hostilities. Nope. Israels mission will not and should not change: the utter destruction of Hamas.",31283,5362,2113,1271302
benshapiro,"September 01, 2024 12:20 PM","The word ""evil"" is not descriptive enough for Hamas. They murdered in cold blood six people they had taken hostage almost a year ago, including an American, just days ago -- all in an attempt to sow seeds of political chaos. A few points:  1. Hamas must be extirpated. It is the",2273,325,977,240186
benshapiro,"October 16, 2023 02:05 PM",Israel will use care to avoid civilian casualties. Hamas will maximize those casualties. Israel must achieve its aim of deposing Hamas. Every ounce of blood spilled is on Hamas hands.,998,195,138,90391
benshapiro,"May 07, 2024 03:15 PM",Israel: Wed like our hostages back. Hamas: Our counteroffer is that you get back their corpses and permanently end your war against us. NYT: Small changes to the deal proposed,16611,2737,1409,590480
benshapiro,"March 07, 2024 02:14 AM","As every single person knows, this ends when Hamas surrenders. But Hamas wont surrender. Because theyre counting on useful idiots to preserve their power. Hamas seeks Palestinian suffering.",26571,2929,1394,849791
benshapiro,"September 18, 2024 04:39 PM","Israel’s pager attack in Lebanon detonated thousands of handheld devices across of a slew of public spaces, seriously injuring and killing innocent civilians.  This attack clearly and unequivocally violates international humanitarian law and undermines US efforts to prevent a",32881,6590,8130,3980142
benshapiro,"August 15, 2024 02:07 PM","So in their expert opinion, Israel should hand over territory to the Palestinians, who will then hold elections to determine who will govern them.  OH WAIT ISRAEL DID THAT IN GAZA IN 2005, AND THEY ELECTED HAMAS, AND THEN THERE WAS OCTOBER 7.  Fing morons.",41498,10261,4654,3034132
benshapiro,"November 06, 2023 02:02 PM","Once again, the images from Gaza are awful and heartbreaking and entirely the fault of Hamas. The minute Hamas gives up the hostages and surrenders, this is all over. Everyone knows it. And everyone calling for a ceasefire is doing Hamas dirty work.",33563,7459,14296,4222129
