Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
DineshDSouza,"October 08, 2023 02:30 PM","""What do you say about the argument that money is fungible — so Iran may have known this money is coming and used other funds to help fund this attack?""  Secretary of State Antony Blinken: ""Iran has unfortunately always used and focused its funds on supporting terrorism""",3132,2018,1157,1953975
DineshDSouza,"October 09, 2023 12:02 AM",I guess you are adopting the pathetic stance of the Biden apologists: “Not one cent of the $6 billion the Biden regime gave Iran was spent on this particular act of terrorism.”,6034,370,365,80328
DineshDSouza,"December 03, 2023 01:10 PM",Excellent news! Conservative Muslims have a natural home in the GOP,9534,2953,338,206660
DineshDSouza,"February 01, 2024 11:36 AM","""If funding remains suspended, we will most likely be forced to shut down our operations by end of February” @UNLazzarini  STATEMENT#GazaStrip: Humanitarian crisis deepens at a time funding suspensions put @UNRWA aid operations in peril  …",19213,16375,5147,6826403
DineshDSouza,"April 06, 2024 04:09 PM","Im Jack Petocz, a 19 y/o activist thats been fighting for marginalized people for years.  Yesterday, I was expelled from Vanderbilt University for peacefully protesting the genocide in Palestine.  Vanderbilt will let sexual assaulters walk free, but expel passionate organizers.",23445,6686,6691,3874317
DineshDSouza,"April 09, 2024 05:04 PM",BREAKING NOW:   Anti-Israeli protesters SHUT DOWN Senate cafeteria.    DEVELOPING.   “The senate can’t eat until Gaza eats.”,2548,1286,614,345168
donaldjtrumpjr,"October 28, 2023 10:34 AM","A Palestinian scholar from the Al-Aqsa Mosque in Jerusalem sends a message to the “Queers for Palestine-crowd” in the West:  “The people of Palestine will not allow a single homosexual in our land,"" such perversion brings the wrath of Allah”",47037,25495,3830,12722586
donaldjtrumpjr,"November 06, 2023 07:13 PM","They hid the Trans Terrorist manifesto from you for months. It wasn’t good for the narrative. It was yet another example of radical violence coming from the trans movement, and therefore they had to hide it while simultaneously going after good God-fearing patriots with reckless abandon.",23833,6133,1888,1062275
donaldjtrumpjr,"October 07, 2023 04:53 PM","As we perpetually indoctrinate our children with weakness, feminize our boys, attack masculine men, glorify trans insanity, etc. just understand that one day the savages you see brutally attacking innocent civilians in the streets of Israel will be on your front door & you and your loved ones will have ZERO capability of defending themselves. That’s the future the left is creating for you.",41403,10792,4562,3739562
donaldjtrumpjr,"November 27, 2023 06:00 PM","So youre telling me that the great-aunt of the youngest American hostage -- and first American -- to be released by Hamas is a buyer of Hunter Bidens art, who was then appointed by Joe Biden to the U.S. Commission for the Preservation of Americas Heritage Abroad?",6927,2191,2374,404857
donaldjtrumpjr,"August 15, 2024 02:56 PM",IN THE NEWS: Tim Walz having a not great day  ABC - Walz mischaracterized his military service  CNN - Walz lied about his drunk driving arrest  WaPo - Walz lied about Vances record on pro-worker legislation  Fox News - Walz praises antisemitic Muslim cleric on video,7309,3675,447,759716
donaldjtrumpjr,"October 02, 2024 01:41 AM",Tim Walz just admitted he lied about being in China during the Tiananmen Square Massacre.  And it was painful to watch.,5085,1401,851,369618
michaelmalice,"October 12, 2023 09:07 PM",Sure Hamas is bad but what about the guy who put his feet up on Pelosis desk,14960,1877,359,490269
michaelmalice,"August 05, 2024 06:50 PM","The narrative is: Misgendering a trans person dehumanizes them and feeds in to ""trans genocide"" Referring to Trump as a Hitler-esque figure who is an existential threat to our democracy is simply a political perspective",1773,86,498,141212
tomilahren,"November 01, 2023 01:35 PM","The Hamas propaganda is working. They have no reason to protect their own civilians. They couldn’t care less. They see them as tools for propaganda and we eat it up every time.  Terrorists are well aware that decent people value life, that’s exactly why they don’t mind using these people as disposable tools.",1303,224,169,89385
tomilahren,"October 19, 2023 11:04 PM","A nasty woman @RashidaTlaib in tears over the fake narrative that Israel bombed a hospital when in reality that bombing occurred courtesy of the neanderthals of Hamas. Nice to see some emotion from her though, given last week she wouldn’t even respond when confronted about the babies murdered by Hamas.   …",1968,367,98,82722
tomilahren,"October 11, 2023 02:36 AM","A fair question: where are the normally very vocal & rabid LGBTQ student activists? You show up and screech & holler when conservative speakers come to your campus, but you have little to nothing to say about the pro-terror and pro-Hamas student organizations? Do you realize that ideology doesn’t recognize your right to exist at all….",8663,1386,519,583834
tomilahren,"October 18, 2023 04:05 PM",First is $100 million aid package to terrorists and then it’s 1 million refugees. America last. The Biden way.,1753,392,156,78807
tomilahren,"December 04, 2023 10:56 PM","Global Muslim Jihad networks cannot win militarily. Instead, they have played the long game through propaganda. Sadly, American liberals have been dumb enough to buy into it hook line and sinker. Plus add the millions of foreigners who have invaded this nation, and we have effectively written a suicide note for the USA we once knew.",1069,213,124,83970
tomilahren,"November 07, 2023 12:32 AM","Michigan Congresswoman Rashida Tlaib is, no joke, trying to spin the blatant lie that the chant “from the river to the sea”- the radical Islamic chant used by terrorists- is nothing more than an “aspirational call for freedom, human rights, and peaceful coexistence, not death, destruction, or hate.”   …",1342,246,188,155089
tomilahren,"May 02, 2024 06:51 PM","The filth and litter left behind by the pro terrorists on these college campuses is really something else. No different than the same folks who have been littering their Covid facemasks for the last four years.  I don’t know what goes on in the warped mind of a liberal, but I never want to.",1037,168,91,46326
tomilahren,"May 06, 2024 05:34 PM",Pretty rich to suggest that Trump supporters are engaging in militant training when her base is currently pledging support to terrorist networks and being praised by Iran…,1758,158,62,22121
tomilahren,"April 24, 2024 08:08 PM",We need to stop referring to these people as “anti-Israel” protesters. They couldn’t find Israel on a map.   They are misfits and losers who are carrying the banner for Islamic terrorism and many of them are doing it because it’s their only opportunity to fit in and be a part of something.   Sick and sad!!!,7191,1341,424,148859
tomilahren,"May 01, 2024 12:32 AM",The police are gonna get blamed and demonized for all of this and then it’s gonna turn into BLM + defund the police + pro-terrorists.  Then these freaks are gonna probably get settlements for “police brutality.”  This is a no win for NYPD. We’ve seen this movie before and it’s so sad.,1147,170,111,66447
tomilahren,"May 02, 2024 11:01 PM","Nancy Pelosi got so mad at the truth, her face almost moved.   Middle schoolers who protested a bio male competitor are BANNED from future meets.  George Santos revived his drag queen alter ego to grift on cameo.   And pro-terrorists at UCLA are making demands for zip ties and",12319,1859,527,229220
tomilahren,"April 24, 2024 12:25 AM","What a great time for young people to take a look at vocational and trade schools. Last time I checked, they didn’t have a bunch of terrorists in masks at those schools, and their students actually graduate with useful skills that don’t require the taxpayer to subsidize their debt.",2292,366,149,83003
tomilahren,"April 24, 2024 08:43 PM",Actually might be a good idea if none of these pro-terrorists reproduce,1397,211,131,38629
