Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
anthonyzenkus,"October 13, 2023 05:43 PM","BREAKING:   Israel has given Al Awda Hospital just two hours to evacuate. Our staff are still treating patients.  We unequivocally condemn this action, the continued indiscriminate bloodshed and attacks on health care in Gaza.  We are trying to protect our staff and patients.",83694,41611,2208,15001539
anthonyzenkus,"November 06, 2023 03:26 AM",Wev at not voting for #GenocideJoe Biden and we are not leaving. Cry harder.,1592,30,90,31729
anthonyzenkus,"November 09, 2023 10:15 PM",“Hey HEY! Ho HO!  Genocide Joe has got to go! Hey HEY! Ho HO!  #GenocideJoe has got to go!”  1 of 4 #FREEpalestine Rallies at Dept. of State #ShutItDown4Palestine,1371,645,59,65430
anthonyzenkus,"November 25, 2023 09:37 PM","I told the head of the DNC, Jaime Harrison, that we wont be voting for the genocide enabler in the WH. He responded by calling me ""Dude"", wrote ""#FAFO"", then he blocked me. The head of the DNC. This is how he spends his time as his candidates approval ratings sink to new lows.",1904,694,215,57929
anthonyzenkus,"November 12, 2023 10:55 AM",Bidens support armong Muslims in key swing states is now down to 13%.,1224,280,184,45153
anthonyzenkus,"December 03, 2023 03:58 AM",Ex Zionist Shlomo Yitzchak explains how he got out of Zionism.  Very interesting.,2345,624,143,68313
anthonyzenkus,"November 10, 2023 12:20 AM","If youre still supporting Joe Biden, youre supporting genocide.",1416,514,91,21195
anthonyzenkus,"November 26, 2023 12:54 PM",Some mornings I wake up and cant stop thinking: Genocide is a really bad thing and Joe Biden is supporting it. Then I think - at least I can vote third party/independent next November so Im not voting for a genocide-enabler.,2345,624,143,68313
anthonyzenkus,"December 10, 2023 06:38 PM",The difference between Israeli children traumatized by the 10/7 attack and the Palestinian children traumatized by the constant Israeli attacks on Gaza since then is clear: there is no infrastructure left in Gaza to help Palestinian children heal.  Israel destroyed all of it.,2325,666,153,61931
anthonyzenkus,"December 17, 2023 03:49 PM",Israeli forces shot and killed 16-year-old Atallah Ziyad Atallah Badaha in the central occupied West Bank town of Deir Ammar last night.   He is the 74th Palestinian child killed by Israeli forces in the occupied West Bank since October 7.,11389,4716,80,323970
anthonyzenkus,"December 13, 2023 02:16 AM","“Thank you for walking through neighborhoods with your terrorist scarf.”  A Harvard graduate student wearing a keffiyeh, was subjected to Islamophobic harassment on campus by Eve Gerber, wife of Jason Furman, professor at Harvards Kennedy School and a former Obama Admin advisor.",33363,14973,2132,19949985
