Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
SabbySabs2,"October 12, 2023 09:30 PM","Littleton, NH - While chatting w/voters, DeSantis has a back & forth on Israels airstrikes in Gaza and its borders.  ""Why arent these Arab countries willing to absorbe some of the Palestinian Arabs?"" DeSantis said  The man walked out saying, ""You had my vote, but you dont now""",5083,1325,928,4529977
SabbySabs2,"November 03, 2023 02:48 PM","""Ive seen images of Palestinian children pulled from the wreckage.  When I see that, I see my own children.""  US Secretary of State Antony Blinken says ""we need to do more to protect Palestinian civilians"" and they ""should not suffer the consequences"" for Hamas brutality.",2139,2033,3584,1964097
SabbySabs2,"October 22, 2023 11:42 PM","""The US government funds the IDF. This is an occupation. This is an apartheid state. Im proudly Anti-Zionist and Jewish. Being able to have the ability to speak out about this, is something I need to take advantage of and speak for.""  BOSTON PALESTINE PROTEST",2042,803,137,51744
SabbySabs2,"October 09, 2023 01:04 PM","So the US government is ok with this guy calling Palestinians animals? There okay with him cutting off electricity, food and fuel? Face it folks, the US government is complicit with genocide.",1137,512,180,26529
SabbySabs2,"October 12, 2023 03:11 AM",UN Staffers were just killed by the IDF by the way.,1329,504,61,45606
SabbySabs2,"December 02, 2023 05:54 PM",RFK Jr. says Palestinians can vote. So.  we should ignore their occupation & oppression? How dare they complain that they are fenced in like cattle. How dare they complain about dirty water. Isnt RFK Jr. an environmental lawyer?,1030,390,192,21838
SabbySabs2,"November 30, 2023 12:04 AM","MTG voted AGAINST, sending $14 billion to Israel. We live in a Twilight Zone episode!",1148,260,103,26616
SabbySabs2,"November 10, 2023 09:29 PM","Listen folks, Genocide Joe sucks. I dont want to hear about the lesser of 2 evils. There are multiple 3rd party & indie candidates in this race. 2024 is the time to wreck the duopoly. If you want freedom for Palestinians.  dont vote for Joe or Trump.",2580,772,210,56787
SabbySabs2,"January 04, 2024 05:59 PM",Zionist from @GoldInstituteIS is calling for the death of Briahna Joy Gray. Disgusting.,1905,657,98,32168
SabbySabs2,"December 07, 2023 01:16 AM",How much more Palestinian blood needs to be spilled? Dismantle the apartheid state now! Right now! @mikopeled,1416,663,136,126877
SabbySabs2,"January 13, 2024 07:41 PM",Beautiful site to see! Palestine will be free!,1827,671,46,46359
SabbySabs2,"January 12, 2024 09:37 PM","Germany.  you might want to sit this one out, okay? You show up just in time to protect the oppressor. This idea that Israel cant be held accountable is nonsense!",1827,671,46,46359
SabbySabs2,"February 10, 2024 03:37 PM","John Kirby was almost in tears when he discussed Ukrainian civilians being killed. When he discussed Palestinians being killed, he said, ""THIS IS WAR."" Our government is a clown show.",6671,2863,451,136824
SabbySabs2,"February 26, 2024 11:50 PM","Biden says he hopes to have a ceasefire by next Monday. Yet ambassador Linda Thomas-Greenfield just vetoed a ceasefire at the UN Security Council. Ppl are dying, and hes eating ice cream.",1494,557,149,61992
SabbySabs2,"March 06, 2024 09:09 PM","Wow. Tennessee Republican Chuck Fleischmann: ""You can tell the Palestinians — I will never support them!"" Protestor: ""I am a Palestinian."" Fleischmann: ""Then I will tell you, I will never support you. I will tell you to your face: Goodbye to Palestine!""",11083,7580,2140,5837882
SabbySabs2,"April 01, 2024 11:49 PM","First UNRWA was defunded. Now @WCKitchen is pausing their crucial work after the IDF killed 7 of their workers.  The indiscriminate killing of medical workers, journalists, and anyone helping Palestinian people has to stop. We need a #CeasefireNow.",2095,598,262,116360
