Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
mmpadellan,"October 09, 2023 04:04 PM","As a Muslim,  a father,  a brother, a son, an American, and a human being  I am APPALLED at the heinous, horrendous attacks against civilians in Israel this weekend. You dont need to fit neatly into ANY category besides ""decent human being"" to condemn the atrocities we saw carried out by Hamas.  My Dad was Jewish. My Sister is Jewish. But I dont believe you need to be Jewish, or have Jewish relatives or friends in order to speak out against antisemitism or acts of violence against Jewish people. You just need to be a decent human being.  Normally, I tend to hold my tongue in this particular issue of the Israel-Palestine conflict, mainly because I dont even know what I dont know about this issue, but I DO know killing innocent civilians is WRONG.  It hurts my heart to see the men, women, and children mourning the loss of their loved ones. I cant even imagine the pain and fear of the families of people taken hostage.  I believe Israel has the right to exist. I believe Palestine has the right to exist. I believe BOTH are attainable, but not at the cost of human lives. I believe Palestinians have legitimate concerns about the conditions they are experiencing, but I think they need more effective leadership to address them.  I believe Hamas has to be stopped.  I believe now is NOT the time to remain silent about this.",13928,2512,1894,689804
mmpadellan,"October 10, 2023 06:28 PM","BREAKING: President Biden is addressing the nation about Americas stance in the Israel-Hamas conflict.  ""We stand with Israel.""",2079,376,997,85695
mmpadellan,"October 13, 2023 08:47 PM","HOLY SHT, crazy criminal George Santos just lost his sht with this bizarre outburst. WTF?   Did someone challenge his claim to be Jew-ish?",5634,1674,1601,506844
mmpadellan,"October 13, 2023 02:33 PM","You can abhor the deplorable and barbaric acts of terrorism against Israel by Hamas, AND support the rights of innocent Palestinians to have a home of their own.  We need to get there if theres ever going to be hope for peace.",5044,1293,971,137557
mmpadellan,"October 15, 2023 05:40 AM","Perfect, heartfelt statement from Pete Davidson on Saturday Night Live tonight:  ""I saw so many terrible pictures this week of children suffering – Israeli children and Palestinian children – and it took me back to a really horrible, horrible place. No one in this world deserves to suffer, especially not kids.""  Pete lost his dad at a young age to a terror attack, and turned his pain into laughter for audiences.  He catches a lot of flak from folks, but I appreciate what he does, and glad SNL is back too.",19179,2760,878,2097602
mmpadellan,"October 15, 2023 05:40 AM","Perfect, heartfelt statement from Pete Davidson on Saturday Night Live tonight:  ""I saw so many terrible pictures this week of children suffering – Israeli children and Palestinian children – and it took me back to a really horrible, horrible place. No one in this world deserves",19179,2760,878,2097602
mmpadellan,"October 17, 2023 12:32 AM","WHOA, HUGE NEWS:  President Biden will be making a wartime visit to Israel on Wednesday.  This is the same Joe Biden that Republicans said was too scared to leave his house.  Dark Brandon fears no one.",8695,2063,3053,253981
mmpadellan,"October 20, 2023 05:47 PM","HUGE: Two American hostages, a mother and her daughter, were just released by Hamas!   AWESOME.   Now release the rest of them.",3444,576,206,83746
mmpadellan,"October 22, 2023 11:00 AM",Israel has a right to exist. Palestinians have a right to their own nation. Humanitarian aid must get through to Palestinians. Hamas MUST release all of the hostages. All Palestinians are NOT Hamas.  There is nothing controversial about any of these statements of fact.,8611,1870,1437,277820
mmpadellan,"October 23, 2023 07:21 PM",BREAKING: Two more hostages have been released from Hamas. Thats great news.  NOW RELEASE ALL OF THEM.,2345,365,149,71646
mmpadellan,"October 28, 2023 11:00 AM","America is a diverse country. Many different religions are represented.  Aside from Christians, there are: Catholic voters Jewish voters Muslim voters Buddhist voters Mormon voters Atheist voters  So stop shoving your Christianity down our throats. WE VOTE, TOO.",13145,3417,4532,588745
mmpadellan,"November 05, 2023 11:12 PM","I am a Muslim.  I believe that Israel has a right to exist without any terrorist attacks.  I believe Palestine has a right to exist without the threat of violence.  I believe in a two-state solution.   I believe Hamas should be destroyed.   I believe it is HEINOUS to kill innocent children on either side no matter what you say your cause is.  I believe if youre bombing children in an attempt to destroy Hamas, then you are WRONG.",18176,4042,2978,1064899
mmpadellan,"November 05, 2023 11:12 PM",I am a Muslim.  I believe that Israel has a right to exist without any terrorist attacks.  I believe Palestine has a right to exist without the threat of violence.  I believe in a two-state solution.   I believe Hamas should be destroyed.   I believe it is HEINOUS to kill,18176,4042,2978,1064899
mmpadellan,"November 05, 2023 11:22 PM","Ive been Muslim my entire life.  And just like other religions say youre not supposed to sin, so does Islam.  And guess what? People sin.  We make mistakes and we try to correct them. You know about my addiction because I was open about it on this platform so that I could help",1505,93,134,32207
mmpadellan,"November 07, 2023 11:39 PM","Im seeing all these videos online of people ripping flyers of lost Israeli children off of poles and walls, why the fck would anybody do this???  You can totally disagree with the policies of any government without being a complete asshole.",2260,355,425,81520
mmpadellan,"November 10, 2023 07:03 PM","TWEEPS: Veterans have fought and died for us to exercise our rights to participate in civic duty and vote.  Recently, election workers in 6 states received letters laced with fentanyl in an attempt to terrorize them and delay the process.  This domestic terrorism must NOT be",6359,1541,2017,466120
mmpadellan,"November 16, 2023 05:46 PM","BREAKING: Per the Washington Post, Hamas has tentatively agreed to the release of dozens of hostages, in exchange for a 3-5 day cease in hostilities, pending approval by the Israeli government.  If true, this is GREAT news!",1211,233,94,33591
mmpadellan,"November 17, 2023 07:14 PM","I dont know who needs to hear this, but Osama bin Laden was NOT a fucking hero, he was a terrorist.  THE END.",14296,2396,2260,381064
