<<<<<<< HEAD
Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
mmpadellan,"October 28, 2023 11:00 AM","America is a diverse country. Many different religions are represented.  Aside from Christians, there are: Catholic voters Jewish voters Muslim voters Buddhist voters Mormon voters Atheist voters  So stop shoving your Christianity down our throats. WE VOTE, TOO.",13221,3417,4533,588745
mmpadellan,"January 06, 2024 08:38 PM","To all of the MAGA morons posting that January 6th is ""Entrapment Day"":  1. Nobody FORCED you to storm the US Capitol, smash windows, smear feces all over the walls, steal things, and chant ""Hang Mike Pence."" It wasnt Antifa or BLM doing that stuff. It was all YOU.  2. You cant get entrapped if youre not putting yourself in illegal situations  3. None of US were ""entrapped,"" we stayed our asses home  4. YOU FILMED YOURSELVES, MORONS  5. If you are bashing cops in the head with flagpoles and fire extinguishers, you get what you fucking deserve  6. Ashli Babbitt was NOT a hero, she was a domestic terrorist  7. Consider changing ""Entrapment Day"" to ""FAFO Day.""",35538,9219,6840,1789434
mmpadellan,"February 02, 2024 05:45 PM","People sometimes ask me why I choose the boring old guy with years of experience, whose decisions resulted in incredible job growth and a booming economy.   Instead of the twice-impeached rapist who has 91 felony counts, thinks he beat President Obama, and is actively rooting for America to suffer a financial crisis and a terrorist attack.  My answer: I choose President Biden over trump because Im not a fucking idiot.",8951,2117,2446,388628
mmpadellan,"March 14, 2024 03:55 PM","WOW.  Senator Chuck Schumer called Benjamin Netanyahu ""an obstacle to peace,"" and ""too willing to tolerate the civilian toll in Gaza,"" and called for Israel to hold new elections to replace him.  Senator Schumer is 100% right.",25237,7276,2871,731731
mmpadellan,"March 31, 2024 07:04 PM","While Democrats push for ceasefire and humanitarian aid in Gaza, Republicans like Rep. Tim Walberg call for the slaughters of Palestinian children, ""It should be like Nagasaki and Hiroshima.""  This should be a much bigger story.",3471,2120,1209,248155
mmpadellan,"May 02, 2024 03:22 PM","President Biden: ""Theres the right to protest, but not the right to cause chaos.  Theres no place for hate speech or violence of any kind, whether its antisemitism, Islamophobia or discrimination against Arab Americans or Palestinian Americans.  Its simply wrong. Theres no place for racism in America.  Its all wrong. Its unAmerican.""",7240,2041,1494,336887
mmpadellan,"May 02, 2024 03:22 PM","President Biden: ""Theres the right to protest, but not the right to cause chaos.  Theres no place for hate speech or violence of any kind, whether its antisemitism, Islamophobia or discrimination against Arab Americans or Palestinian Americans.  Its simply wrong. Theres no",7240,2041,1494,336887
mmpadellan,"May 01, 2024 03:15 PM",I think its DISGUSTING that professional agitators have hijacked the otherwise mostly peaceful protests college students have conducted in opposition to the killing of Palestinian civilians.  We have seen them do this time and time again on many occasions -- people not,4809,1907,2889,226445
mmpadellan,"May 08, 2024 06:15 PM","HOLY SHIT, Piers Morgan absolutely OBLITERATES this Netanyahu mouthpiece who claims to have no idea how many innocent civilians they killed, but knows the exact number of Hamas killed.   First good thing Ive ever seen from Piers. Definitely worth a watch.",3376,973,255,337515
mmpadellan,"September 27, 2024 02:11 PM","Why the fuck is MSNBC carrying the whole speech of war criminal Netanyahu at the United Nations?  In case anyone thought the cheers were from decent people, theyre not; the murderous conman brought his own cheering section.  Most of the room emptied out.",3405,1499,425,63037
mmpadellan,"September 19, 2024 10:30 AM","“They’re coming from the Congo, they’re coming from Africa, they’re coming from the Middle East, they’re coming from all over the world, Asia… and ya gotta get rid of these people!”  This is some of the most un-American shit Ive ever heard. Shame on those applauding it.",97109,26496,8470,4546419
mmpadellan,"October 01, 2024 05:43 PM",trump and Netanyahu are 100% colluding to ramp up chaos.  You cannot change my mind.,27870,7782,4978,740489
SteveSchmidtSES,"October 11, 2023 08:13 PM","""If the American media is on the level, and Trump is truly the most important news subject in the world, doesnt he suddenly become more important when an event like this happens?""  I lay out how the news coverage of the attack on Israel shows how Donald Trump has exploited mainstream media:",1395,359,95,208432
SteveSchmidtSES,"October 24, 2023 06:08 PM","""The corruption of one man in Israel has brought the whole world to the brink of war because his corruption and weakness stirred evil, and when evil sees weakness, it strikes.""  More on how corrupt politicians like Netanyahu and Trump threaten the world:",3719,1570,316,228314
TheRickWilson,"January 27, 2024 02:00 PM","Today, on International Holocaust Remembrance Day, we remember the millions of Jews who were targeted for extermination and other victims of Nazi persecution.   We honor their memory by calling out the rise in antisemitism and say #NeverAgain.",9248,4200,541,434070
TheRickWilson,"March 19, 2024 04:20 PM","Jared Kushners plan for Gaza: - Ethnic cleansing - Forced dislocation of Gazans to a desert in southern Israel - Continue a war that has already killed 30,000 people - Build some condos!!!!",3985,1954,368,457080
davidsirota,"February 16, 2024 10:05 PM","NY Gov Hochul last night on local opposition to Israel’s war in Gaza:  “If Canada someday ever attacked Buffalo, Im sorry my friends, there would be no Canada the next day.  “That’s a natural reaction. You have a right to defend yourself and to make sure it never happens again.”",4348,4220,2330,8955030
TristanSnell,"January 25, 2024 02:16 AM",Donald Trump wont let the GOP compromise on the border - so he can hurt Biden.  Donald Trump is cheering for a recession -- so he can hurt Biden.  Donald Trump is hoping for a terrorist attack - so he can hurt Biden.  Trump doesnt give a rats ass about America - only himself.,15031,2954,1081,201370
TristanSnell,"June 02, 2024 10:50 PM",Here are the 37 countries Donald Trump can no longer enter now that he is a convicted felon:  1. Argentina 2. Australia 3. Brazil 4. Cambodia 5. Canada 6. Chile 7. China 8. Cuba 9. Dominican Republic 10. Egypt 11. Ethiopia 12. Hong Kong 13. India 14. Indonesia 15. Iran 16. Ireland 17. Israel 18. Japan 19. Kenya 20. Macau 21. Malaysia 22. Mexico 23. Morocco 24. Nepal 25. New Zealand 26. Peru 27. Philippines 28. Singapore 29. South Africa 30. South Korea 31. Taiwan 32. Tanzania 33. Tunisia 34. Turkey 35. Ukraine 36. United Arab Emirates 37. United Kingdom,46649,13425,12199,5266525
anthonyzenkus,"October 13, 2023 05:43 PM","BREAKING:   Israel has given Al Awda Hospital just two hours to evacuate. Our staff are still treating patients.  We unequivocally condemn this action, the continued indiscriminate bloodshed and attacks on health care in Gaza.  We are trying to protect our staff and patients.",83421,41571,2204,15001668
anthonyzenkus,"November 09, 2023 10:15 PM",“Hey HEY! Ho HO!  Genocide Joe has got to go! Hey HEY! Ho HO!  #GenocideJoe has got to go!”  1 of 4 #FREEpalestine Rallies at Dept. of State #ShutItDown4Palestine,1361,644,59,65433
anthonyzenkus,"December 13, 2023 08:40 PM","I’ve asked President Biden to do two things:  1) Not to give $10 billion to Netanyahu’s right-wing government to continue their horrific military strategy.  2) To support a UN humanitarian ceasefire to get in desperately needed aid to the people of Gaza, and free the hostages.",16505,4582,3364,1231732
anthonyzenkus,"December 30, 2023 03:04 AM","“Muslim leaders announce plans to actively campaign against Biden in all 50 states, guaranteeing Bidens loss in the upcoming 2024 election.”",1698,425,46,42483
anthonyzenkus,"January 05, 2024 03:01 AM","Strike kills 12 people, mostly children, in Gaza area declared safe zone by Israel …",1698,425,46,42483
