Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
JoJoFromJerz,"October 08, 2023 03:05 PM",Money is fungible. It is ludicrous to claim the Iranians can only use the $6 billion for humanitarian purposes. The Biden Administration should never have given Iran access to these funds. They should immediately rescind access and stop appeasing the terrorist regime in Tehran.,5699,1297,3488,817131
JoJoFromJerz,"January 28, 2024 01:52 AM","A former United States president & current candidate just said that there is a “100% chance of a terrorist attack” on our soil this year, and when he said it, my very first thought was “Oh my God, what has he done?”  And I’m sure I wasn’t alone.  How fucking sad & scary is that?",23507,5055,4189,1104511
JoJoFromJerz,"July 01, 2024 12:28 AM",There was a domestic terrorist attack on our Capitol BECAUSE of the Republicans “in charge.”,2201,487,450,108689
JoJoFromJerz,"September 17, 2024 04:52 PM",".@SenJohnKennedy: You support Hamas, do you not?  @AAIUSAs Maya Berry: Hamas is a foreign terrorist organization that I do not support. You asking the executive director of the Arab American Institute that question very much puts the focus on the issue of hate in our country?",7550,3435,1737,3674827
MollyJongFast,"November 01, 2023 02:15 PM",BREAKING -- CBO says the Houses Israel aid bill is not offset at all.   Will add $12.5B to the deficit in the next decade.  Cuts to IRS will decrease revenue by $26.7B,8458,4795,1105,2348985
aaronjmate,"October 24, 2023 12:33 AM","Josh Paul, who just resigned as the top State Dept. official for arms transfers, writes:  “…Israeli requests for munitions started arriving immediately, including for a variety of weapons that have no applicability to the current conflict. These requests deserved the attention we would pay to any large arms package, and I urged a frank discussion. My urging was met with silence — and the clear direction that we needed to move as fast as possible to meet Israel’s requests.”  …",7118,3280,180,564920
aaronjmate,"October 11, 2023 04:48 PM","In left-punching rag The Guardian, @naomiaklein opts to use this current moment of a new Israeli terror campaign against Gaza to scold ""supposed comrades on the left"" who ""continue to minimize massacres of Israeli civilians"" and ""even seem to celebrate them"" -- without offering a single example.   Fitting that this left-punching article also cant muster a single mention of Palestinians.",2260,586,162,266973
aaronjmate,"October 22, 2023 05:05 AM","Too bad Gazans have had their internet cut, otherwise you could compare notes on what it’s like to experience violent incitement and having their safety at risk …",2458,632,132,96104
aaronjmate,"October 13, 2023 11:45 AM","“that feels an emotional bond with Israel and the Jewish community.”  But not an emotional bond with the Palestinian civilian community, including children, currently being slaughtered with US weapons.   Biden’s “emotional bond” with Israel is genocidal racism toward Palestine.",2102,618,154,84800
aaronjmate,"November 13, 2023 06:39 PM","Sen. @ChrisCoons sat across from me on the train. With Israel using US weapons to kill thousands of Palestinian civilians, including 4600+ children, I asked him why he refuses to call for a ceasefire:",61564,22270,6035,15574446
