Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
RealSpikeCohen,"December 02, 2022 12:48 AM","And while were on this subject, theres a difference between acknowledging that a celebrity said something foolish, and claiming the celebrity is responsible for violence.  Anyone whos going to do violence because Ye said something about Jews was already going to do violence.",2010,84,51,70011
ComicDaveSmith,"May 11, 2023 07:31 PM","If you don’t support Israel, you ain’t black!",1809,112,91,154663
ComicDaveSmith,"May 11, 2023 01:02 AM",Bernie Sanders is approximately as Jewish as a ham sandwich topped with shrimp on lard bread x.com/OstrovA/statu…,1015,72,43,73509
ComicDaveSmith,"September 03, 2023 03:09 PM",Absolutely not! The ADL represents Jews in the same way that Fortune 500 CEOs represent men. It’s a tiny substratum that in no way represents the entire group.,3086,380,142,448888
SabbySabs2,"March 17, 2023 08:02 PM","Every resident in East Palestine, OH should receive Medicare For All. Libby, Montana, was able to do this due to asbestos. Their property value has also decreased and theyve experienced pain and suffering.  FYI, Norfolk Southern donates to BOTH parties!",1322,488,65,55542
RonFilipkowski,"October 19, 2022 10:01 PM","Dershowitz said Trump asked him at dinner why only 27% of Jews voted for him when he strongly supported Israel. Dersh said he told Trump Jews also care about gay rights, abortion, climate change, gun control and separation of church and state, and he was terrible on those.",7377,1882,481,1786934
RonFilipkowski,"February 17, 2023 05:52 PM","For every Repub trying to blame the Admin for E. Palestine, I continue to cite Steve Bannon, who again today placed the blame every step of the way on DeWine & Norfolk Southern. Says the RR and DeWine did release & burn of chems because they wanted to clear tracks ASAP to get",1331,305,723,554687
RonFilipkowski,"February 17, 2023 12:34 AM","Rep. Troy Nehls is in E. Palestine and assures everyone that the city’s water is safe to drink, then demonstrates it by drinking a cup of tap water from the China Cafe. “The Fire Chief, everybody says the water is clean to drink.”",1578,420,937,249494
RonFilipkowski,"August 20, 2023 01:08 PM","Right-wing “independent journalist” who flew in to Maui (he also went into E. Palestine) after the fire is confronted by angry residents while live on Steve Bannon’s show, who said he is exploiting them for politics and using up precious resources.",25253,6617,3256,2957740
mmpadellan,"February 24, 2023 08:04 PM","Even Fox News knows that the deregulation by the trump admin were the cause of the disaster in East Palestine, OH. And Elaine Chao never visited train derailment sites, even when there were fatalities.",1069,314,182,54918
mmpadellan,"February 23, 2023 07:44 PM","OOPS! Looks like Fox News allowed a bit of truth to slip into their coverage of the train derailment story in East Palestine, OH — theyre blaming trump!!!  Be a real shame if everyone retweeted this.",24343,16978,939,841309
krystalball,"February 27, 2023 09:17 PM",CNN had a literal lobbyist for Norfolk Southern on their panel to talk about East Palestine and didnt disclose it.,4215,1211,133,253842
krystalball,"February 21, 2023 07:09 PM","A provision in Obamacare allows residents in areas deemed a public health disaster to be covered by Medicare for life. At the very least, East Palestine residents deserve this universal coverage after being exposed to a known carcinogen.",1991,457,49,215497
krystalball,"March 13, 2023 02:53 AM","Whatever you think of the SVB bailout, I want you to really sit with the fact that rich VC’s just got an Insta bailout while the people of East Palestine can’t even get a straight answer as to whether their kids have been poisoned.",14437,3108,457,681796
SteveSchmidtSES,"October 16, 2022 04:11 PM",A direct threat against American Jews by a disgraced and addled former President of the United States in 2022.,1223,251,92,101802
SteveSchmidtSES,"January 05, 2023 08:39 PM","Today, I visited the oldest synagogue in continuous use in the Western Hemisphere. The first Jew prayed here in 1732, the year that George Washington was born. Today, McCarthy met with antisemite Paul Gosar. What do you call someone who seeks power with the aid of antisemites?”",1420,459,90,122221
SteveSchmidtSES,"September 21, 2023 12:54 PM","""There is no deal between the United States, Bibi Netanyahu’s extremist and anti-democratic coalition and MBS that should ever be ratified by the United States Senate. Ever.""  More on why the United States of America should never sign a mutual defense pact with the Saudi regime:",1420,459,90,122221
jimmy_dore,"April 01, 2023 09:57 PM","Videos like this make me forget he helped crush the railroad workers right to organize & strike, then abandoned the people of East Palestine while downplaying the disaster. Great video!",2648,487,164,146266
TheRickWilson,"November 01, 2022 10:17 PM",I know a few people in Israel right now wondering something.  Ill just say this: WE FUCKING WARNED YOU.,6242,730,153,233147
davidsirota,"August 07, 2023 01:30 AM","6 months ago, Donald Trump did a photo op in East Palestine & then demanded Congress pass a rail safety bill.  Then the company that made the toxic chemical in the disaster gave $2 million to Trumps party & his partys lawmakers are now blocking the bill.",3652,1700,56,152930
davidsirota,"August 03, 2023 05:39 PM",NEWS: The maker of the toxic chemicals in the East Palestine derailment gave $2 MILLION to the Senate GOP super PAC as Republicans weakened & stalled rail safety legislation.   The chemical industry’s lobby group also gave $250K to House GOP’s super PAC.,1739,848,39,114546
BernardKerik,"September 11, 2023 09:51 AM",#NeverForget #NeverForgive   No plea deals for 9/11 terrorists!,1011,263,83,33395
TomFitton,"January 23, 2023 12:16 AM","Atlanta Mayor Says the Quiet Part Out Loud About Saturdays Leftist Terrorism in the City. “So make no mistake about it, these individuals meant harm to people and to property,”",2800,703,120,70079
TomFitton,"August 18, 2023 04:13 AM",Squad Democrat Ilhan Omars World Cup trip funded by Hamas-tied Qatar,1695,1328,390,70589
TomFitton,"September 11, 2023 09:52 PM","OUTRAGE! On 9/11 of all days, Biden administration gives Irans terrorist regime ""waiver"" to get $6 billion in funds in exchange for release of 5 US prisoners held hostage by the terror regime. Biden will also release 5 Iranian prisoners from US custody.",1033,573,200,102007
charliekirk11,"February 16, 2023 07:53 PM",MUST WATCH: Senator JD Vance visits a creek flowing near the East Palestine train derailment and chemical burn. See what happens when he drags a stick along the creek bed.,28988,11093,1603,2414337
charliekirk11,"February 23, 2023 09:18 PM","Joy Behar says the residents of East Palestine got what they deserved because they voted for Trump.   For the record, this is 1000x worse than anything Don Lemon said. Will she be kicked off her show and forced to undergo sensitivy training?",36872,11168,6940,2580664
charliekirk11,"February 16, 2023 10:11 PM","East Palestine, Ohio’s latest tourism video. Everything is fine!",2603,975,277,345307
charliekirk11,"February 14, 2023 08:09 PM",An East Palestine womans chickens all die following the controlled burn and train derailment.   Whats going on?,6550,2376,1034,557556
TuckerCarlson,"February 21, 2023 02:00 AM","The President of the United States is personally visiting a corrupt foreign country to announce a half billion dollars in new spending. Meanwhile you have a mushroom cloud over East Palestine, Ohio; the animals are dying and the water is glowing.",66811,19980,8388,3712596
TristanSnell,"February 23, 2023 09:19 PM","Fox News just threw Trump under the bus (or in this case, train) — pinning him with responsibility for the East Palestine disaster.",5600,1917,155,128119
TristanSnell,"February 25, 2023 12:31 AM",Republican leaders are telling 2 big lies about East Palestine — here’s the truth:,3625,1782,885,150433
natsechobbyist,"October 16, 2022 02:59 PM",My daughter is at Hebrew school this morning while the former president is fomenting antisemitism. I am sad and mad and incredibly disappointed that so many suggest we should simply ignore him.   Ignoring problems doesn’t make them go away.,3510,83,166,62356
anthonyzenkus,"November 24, 2022 02:55 PM",You cannot say you care about women in Iran if you dont speak out for women in Palestine.,1464,642,49,45878
anthonyzenkus,"March 20, 2023 03:38 AM",Get this: They found dioxin far above safe levels in East Palestine water and the federal gov wont clean it up because Obama killed EPA proposal requiring the gov to lower the threshold for cleanup.  Democrats ignored the science and people will die because of it.,1464,642,49,45878
benshapiro,"January 30, 2023 02:48 PM","I mean look at this vile shit from the NYT. Israels military killed TERRORISTS. Palestinian terrorists killed SYNAGOGUE ATTENDEES. To the NYT, its all just a cycle of violence:",1412,138,47,189310
benshapiro,"January 30, 2023 02:50 PM","This is all part of a broader Leftist narrative that its the new right-wing Israeli government ""raising risk of escalation"" when 13-year-old terrorists shoot people going to synagogue, Hamas cheers, and the PA cuts off security cooperation. Look at this pathetic NYT headline:",1024,97,58,153345
benshapiro,"July 24, 2023 02:18 PM","The current Israeli government had to pass the judicial reform. It is INCREDIBLY mild: it merely says that the judiciary cannot simply declare a law ""unconstitutional"" in a land with no written constitution on the basis of it being ""unreasonable.""   Imagine the Supreme Court in",5228,892,827,1489217
benshapiro,"May 10, 2023 02:16 PM","The juxtaposition of rabid anti-Semite Rashida Tlaib attempting to perform a ""Nakba Day"" lamenting the existence of the State of Israel while Hamas fires missiles into the heart of Tel Aviv is pretty clarifying.",2513,382,196,204799
benshapiro,"October 20, 2022 08:57 PM","Yes, this is how Middle East journalisming often works",5228,892,827,1489217
briebriejoy,"August 01, 2023 08:00 PM",Watch my full exchange with RFK Jr. in which I challenge his “unconditional” support of Israel in light of the international consensus that Israel is an apartheid state.,1476,340,300,170264
briebriejoy,"June 15, 2023 05:53 PM","""You want a presidential candidate. who has a backbone. If RFK Jr. thinks somehow that each Palestinian baby who was killed somehow was never in any way, intentional, deliberate, they didnt know what they were doing --he needs to really get off the crack pipe.""  Premiere",1814,549,252,241760
kylegriffin1,"September 18, 2023 01:00 AM","Yes, this is a real post from Donald Trump addressing ""liberal Jews who voted to destroy America & Israel.""",3124,1323,400,850263
kylegriffin1,"February 24, 2023 04:00 PM","On Fox this week, while discussing the Ohio train derailment, Bret Baier noted that Trump and his Transportation Secretary, Elaine Chao, did not visit sites of derailments – including fatal ones, which East Palestines was not.",2579,554,80,342188
elonmusk,"August 04, 2023 05:46 PM","The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now.  You can read their articles for free anyway using .",199964,48918,18172,37004750
elonmusk,"September 18, 2023 03:08 PM",Artificial intelligence discussion with PM Netanyahu in an hour,108779,12453,6124,36207118
elonmusk,"September 18, 2023 02:43 PM",I look forward to speaking at 9:15  (19:15 Israel time) on X with @elonmusk about how we can harness the opportunities and mitigate the risks of AI for the good of civilization.,205252,27567,9996,12204705
itsJeffTiedrich,"February 03, 2023 03:11 PM","holy fucking shit, criticizing Israel is not antisemitic. what IS antisemitic is putting a holocaust-denying lunatic who thinks Jews control the weather on the Homeland Security Committee. sit the fuck down and shut the fuck up and spare us your fucking fake outrage",40744,6364,2622,1112594
itsJeffTiedrich,"September 25, 2023 01:24 AM","bro, fix the Nazi problem in your state. until then, you have no Jewish friends. stop pretending that you do",2460,241,27,26039
SarcasmStardust,"July 28, 2023 06:32 PM",Go fuck yourself.   Israel IS an apartheid state.,1472,296,97,42959
JoJoFromJerz,"October 13, 2022 02:51 AM",He makes me sick to my stomach. Hadn’t those families suffered enough? What kind of monster needs to exacerbate their pain by calling the massacre of their babies a “hoax”? What parent on the planet can stand with someone like him? I don’t get it.  But no dollar amount is enough.,3521,405,69,42919
JoJoFromJerz,"April 02, 2023 12:46 PM","Says the fist pumping domestic terrorists guy who tried to overturn an election in order to install the thrice philandering, serially lying ‘disciple of Jesus’ who mocked a disabled reporter & bragged about sexually assaulting women.  You’re about as hypocritical as they come.",1717,199,95,64053
JoJoFromJerz,"October 16, 2022 08:10 PM","The same bigot who five years ago called Nazis “very fine people” is threatening Jewish Americans today.  When someone shows you who they are, believe them the first time.",1480,131,61,31402
DineshDSouza,"February 18, 2023 06:05 AM","After FEMA Denies Aid to East Palestine, Ohio, Democrats and Republicans Unite to Demand Answers",2026,439,142,92143
DineshDSouza,"February 27, 2023 04:08 PM","Trump Vindicated, Biden Proven A Liar As NYT Admits Trump Rollback Had ‘No Impact’ On East Palestine, Ohio",6464,1470,355,140655
donaldjtrumpjr,"February 02, 2023 05:53 PM",The Hamas caucus of the house is really upset that an antisemite was removed from the foreign affairs committee. I’m shocked…but also glad that finally some people did something.,37656,257,3968,1214971
donaldjtrumpjr,"July 31, 2023 05:30 PM","Instead of taking personal responsibility like a man for his vile views about Jews, @emeriticus goes full leftist and like a coward, blames Trump!!!   ""In an interview. Gonzalez attributed the remarks to his descent into what he described as an ""online Trump world""",1688,533,384,183114
spiritofho,"August 01, 2023 10:56 AM","RFK Jr. says he opposed arming and funding Ukraine in a proxy war with Russia.  US officials, including Joe Biden, want to make Ukraine the “Israel” of Europe.  RFK Jr. endorses the US funding and arming Israel.  This is red-flag levels of hypocrisy.",1145,458,195,40634
spiritofho,"January 14, 2023 11:12 PM",Free Palestine is trending. This is a reminder that the biggest impediment to Palestines liberation is the U.S.s ceaseless funding of Israels apartheid regime.,1293,414,22,29294
MollyJongFast,"December 29, 2022 01:19 AM",As an actual jew this is particularly enraging,3977,454,435,527707
MollyJongFast,"March 31, 2023 05:38 PM","Personally as a Jew, I tend to think the people using antisemitic rhetoric are in fact antisemitic",6219,591,218,283019
aaronjmate,"February 05, 2023 01:23 PM","Former Israeli PM Naftali Bennet: NATO “decided that it is necessary to continue to smash Putin, and not to negotiate… They broke off the negotiations, and then it seemed to me that they were wrong.”",4796,1835,196,883565
aaronjmate,"March 10, 2023 10:46 PM","The UN says that Israels bombing of Syrias Aleppo airport forced it ""to suspend or divert flights used to transport vital medical supplies such as tetanus vaccines, diabetes medication and blood-transfusion testing equipment.""",1145,572,46,62002
aaronjmate,"November 04, 2022 05:00 PM","I try not to invoke my Jewish identity because opinions have value on merits, not ethnicity. But the policing of black celebrities is embarrassing. Also massively hypocritical: US media and Jewish groups are now silent on US backing of openly neo-Nazi Azov Battalion in Ukraine.",1442,271,23,27317
aaronjmate,"August 21, 2023 03:14 PM","Today is 10th anniversary of the Ghouta chemical massacre in Syria. US blamed Syrian govt, but all evidence points to sectarian death squad rebels. Thats why Obama didnt bomb.  There are Western officials who know more about Ghouta than has been publicly disclosed. Just as the",2525,1023,78,192402
aaronjmate,"July 21, 2023 02:20 PM","These ""rebels"" were also armed by Israel, which regularly bombs Syria to help enforce a US blockade. Meanwhile the US occupies 1/3 Syria, stealing its wheat/oil, and imposes sanctions that, as former senior Trump officials brag, have ""crushed"" Syrias economy, causing ""food",1442,271,23,27317

"|RUN STATISTICS|
"
"Time Processed: November 28, 2024 09:14 PM
","Number of discards: 421
","List of accounts processed: ['RealSpikeCohen', 'ComicDaveSmith', 'SabbySabs2', 'RonFilipkowski', 'mmpadellan', 'krystalball', 'SteveSchmidtSES', 'jimmy_dore', 'TheRickWilson', 'davidsirota', 'BernardKerik', 'TomFitton', 'charliekirk11', 'TuckerCarlson', 'TristanSnell', 'natsechobbyist', 'anthonyzenkus', 'benshapiro', 'briebriejoy', 'kylegriffin1', 'elonmusk', 'itsJeffTiedrich', 'SarcasmStardust', 'JoJoFromJerz', 'DineshDSouza', 'donaldjtrumpjr', 'spiritofho', 'MollyJongFast', 'aaronjmate']
","List of accounts coming in: ['ThomasEWoods', 'RealSpikeCohen', 'ComicDaveSmith', 'FreemansMind96', 'HannahDCox', 'checkmatestate', 'SabbySabs2', 'MsLaToshaBrown', 'RonFilipkowski', 'KyleKulinski', 'funder', 'mmpadellan', 'krystalball', 'SteveSchmidtSES', 'robreiner', 'marceelias', 'DavidAFrench', 'BillOReilly', 'jimmy_dore', 'TheRickWilson', 'davidsirota', 'gtconway3d', 'spann', 'Jaybefaunt', 'ProudSocialist', 'BernardKerik', 'jeff_poor', 'TomFitton', 'brad_polumbo', 'IngrahamAngle', 'seanhannity', 'charliekirk11', 'TuckerCarlson', 'AnnCoulter', 'EricTrump', 'LaraLeaTrump', 'PatTheSocialist', 'TristanSnell', 'NancyAFrench', 'donwinslow', 'KyleClark', 'BobMurphyEcon', 'bshelburne', 'PatrickSvitek', 'evanasmith', 'BarbMcQuade', 'JohnArchibald', 'natsechobbyist', 'davidhogg111', 'anthonyzenkus', 'benshapiro', 'briebriejoy', 'fred_guttenberg', 'LeeCamp', 'JordanChariton', 'kylegriffin1', 'elonmusk', 'itsJeffTiedrich', 'bluestein', 'SarcasmStardust', 'SocialistMMA', 'Josh_Moon', 'WarOnDumb', 'toddcstacy', 'maryltrump', 'JoJoFromJerz', 'DineshDSouza', 'dbongino', 'TheLeoTerrell', 'donaldjtrumpjr', 'diamondandsilk', 'spiritofho', 'MollyJongFast', 'FiorellaIsabelM', 'aaronjmate']
","List of accounts needed to be rerun: ['FreemansMind96', 'marceelias', 'toddcstacy', 'dbongino']
","List of accounts with parsed but only irrelevant tweets: ['ThomasEWoods', 'HannahDCox', 'checkmatestate', 'MsLaToshaBrown', 'KyleKulinski', 'funder', 'robreiner', 'DavidAFrench', 'BillOReilly', 'gtconway3d', 'spann', 'Jaybefaunt', 'ProudSocialist', 'jeff_poor', 'brad_polumbo', 'IngrahamAngle', 'seanhannity', 'AnnCoulter', 'EricTrump', 'LaraLeaTrump', 'PatTheSocialist', 'NancyAFrench', 'donwinslow', 'KyleClark', 'BobMurphyEcon', 'bshelburne', 'PatrickSvitek', 'evanasmith', 'BarbMcQuade', 'JohnArchibald', 'davidhogg111', 'fred_guttenberg', 'LeeCamp', 'JordanChariton', 'bluestein', 'SocialistMMA', 'Josh_Moon', 'WarOnDumb', 'maryltrump', 'TheLeoTerrell', 'diamondandsilk', 'FiorellaIsabelM']"
