Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
RevBlackNetwork,"September 02, 2024 03:23 AM","“There have also been hundreds of Greens elected across the nation, from state legislatures & mayors down to local zoning boards.”  You can criticize the Green Party without LYING. They have built power, especially locally as Democrats sued them & establishment runs neg coverage!",238,47,5,7097
RevBlackNetwork,"September 19, 2024 04:19 PM","Define socialism & tell us how that applies to US   Look up fascism while you’re at it and ask Grok, which you’re using to build your AI, how the merger of corporate (that’s you) and state power (ppl who contract you) suppresses the rights of workers through a police state",280,27,3,5714
RevBlackNetwork,"September 18, 2024 10:46 PM",Seems like the censorship and mass surveillance is really ramping up. Sorry comrades!,301,88,4,4553
RevBlackNetwork,"September 17, 2024 02:02 PM",DNC: No primary  Libs: we need Biden  DNC: Genocide  Libs: must save democracy   DNC: No policy  Libs: vibes are lit  DNC: More wars & genocide  Libs: but at least no fracking  DNC: Record fracking  Libs: no kids in cages  DNC: Better cages  Libs: legalize weed?  DNC: No or Trump,219,36,5,4473
RevBlackNetwork,"September 20, 2024 09:54 AM",Bombala Harris is a spoiler in this election,43,4,2,919
RevBlackNetwork,"September 18, 2024 05:56 AM",Will fall to tyranny?  We have mass surveillance & censorship  We have cops murdering 3 ppl per day  We have corporations dictating policy  We have 20% of world’s prison population  We have skyrocketing inflation & stagnant wages  We have asset forfeiture for ppl never convicted,106,26,5,2958
RevBlackNetwork,"September 18, 2024 03:36 PM",It’s devastating to watch those who were radicals simp for our oppressors. But it’s an old cautionary tale we must learn. We hold space for the work Angela Davis contributed to the movement in her youth but it has been clear for a long time that she chose conformity & submission.,219,36,5,4474
TheDemocrats,"August 21, 2024 04:45 PM",One of Governor @TimWalz’s biggest accomplishments is getting free school meals for students in Minnesota.  The picture speaks for itself.,1673,394,1114,120002
TheDemocrats,"October 26, 2023 01:45 PM","In the aftermath of last night’s mass shooting in Lewiston, Maine, we mourn for those who have lost loved ones.  We are praying for the safety of everyone in Maine as they continue to search for the gunman.",282,86,101,22118
TheDemocrats,"August 07, 2024 11:00 PM","When @KamalaHarris and @TimWalz are elected, they will pass universal background checks and an assault weapons ban to end the gun violence epidemic in America.",996,317,568,66744
TheDemocrats,"May 05, 2024 03:17 PM","On Missing or Murdered Indigenous Persons Awareness Day, we acknowledge the tragic injustices Native and Indigenous communities have faced.  Democrats are working across jurisdictions to stop this cycle of violence and provide communities with the resources necessary to keep",288,112,112,21315
TheDemocrats,"December 14, 2023 02:15 PM","Eleven years ago, we lost 20 students and 6 staff members at Sandy Hook Elementary School. We honor the memories of the lives lost in this tragedy and will not rest in our fight to pass gun safety reforms. Every child deserves to feel safe in school.",789,275,319,47751
TheDemocrats,"June 30, 2024 09:25 PM","For too long, junk fees have caught Americans by surprise.  President @JoeBiden is taking on price gouging by:   Cutting credit card and overdraft fees  Requiring companies to tell you the total price upfront  Cracking down on surprise rental fees",570,237,384,30276
TheDemocrats,"December 07, 2023 04:46 PM","On Pearl Harbor Remembrance Day, we honor the American service members and civilians who lost their lives 82 years ago today. We will never forget the sacrifices they made to safeguard our freedoms.",265,85,69,22483
TheDemocrats,"January 26, 2024 10:36 PM","In total, the Biden-Harris administration has fought to cancel $137 billion in student loan debt and deliver relief for over 3.7 million Americans.  That’s a big deal.",1320,357,406,146391
TheDemocrats,"April 12, 2024 09:41 PM","HAPPENING NOW: Vice President @KamalaHarris is in Arizona, just days after the state Supreme Court upheld an abortion ban from 1864.  Tune in as she rallies voters in the fight for reproductive freedoms.  …",404,188,104,18535
TheDemocrats,"July 01, 2024 11:00 PM","Adding to the list of Biden-Harris wins, the Biden-Harris administration is…   Pardoning thousands of LGBTQ+ veterans who were wrongfully punished by a discriminatory policy   Announcing 148 new infrastructure grants across the country  Democrats show up for Americans.",499,192,319,25477
TheDemocrats,"May 24, 2024 01:15 PM","Today marks two years since 19 children and two teachers lost their lives in a mass shooting at Robb Elementary School in Uvalde, Texas.  Our children and teachers deserve better—we owe them action to end gun violence for good.",355,135,416,28350
TheDemocrats,"July 19, 2024 07:43 PM",In case you needed more reasons that Trump-Vance’s Project 2025 is truly a nightmare:   Reinstating and expanding Trump’s racist Muslim ban  Arming teachers  Banning transgender Americans from serving in the military  Dismantling the Department of Education,385,229,168,22387
TheDemocrats,"January 08, 2024 04:15 PM","“At this moment in history, I say, let us not throw up our hands when it’s time to roll up our sleeves.” —Vice President @KamalaHarris",795,228,238,33967
TheDemocrats,"August 09, 2024 07:12 PM",.@KamalaHarris and @TimWalz will fight for America’s future:    Fighting for paid leave   Working to end gun violence   Protecting reproductive freedom  Fighting for affordable health care and child care,390,165,153,18298
TheDemocrats,"August 07, 2024 07:00 PM",Command sergeant major. Public school teacher. State championship football coach. Gay-straight alliance faculty advisor. Congressman who flipped a red seat. Governor who got free school meals for Minnesota kids.  @KamalaHarris has made her choice: Gov. @TimWalz is the real deal.,1643,469,441,35203
FoxNews,"October 14, 2023 02:30 PM","IDF says it continued to attack Hamas military targets, headquarters in Gaza Strip; Hamas official killed",250,31,108,90449
FoxNews,"June 24, 2024 12:58 AM","Jewish mother, family attacked at elementary school graduation by agitators yelling Death to Israel: report",247,169,73,89970
FoxNews,"September 01, 2024 12:22 PM","Netanyahu mourns deaths of six hostages recovered in Gaza, vows to settle accounts with Hamas",604,115,113,81202
FoxNews,"November 19, 2023 01:07 PM",LA Times editorial board demands Biden administration push for cease-fire in Israel-Hamas war,184,62,561,134968
FoxNews,"November 04, 2023 06:39 PM",Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official,328,152,873,144789
FoxNews,"October 23, 2023 05:45 AM","Israel Security Agency creates new unit to hunt, kill every Hamas terrorist in Oct. 7 surprise attacks: report",765,100,195,166807
FoxNews,"October 12, 2023 11:58 AM","HAMAS IS ISIS: Standing united in Israel, Blinken and Netanyahu confront the world after Hamas terror massacre.",329,60,97,79732
FoxNews,"October 09, 2023 09:10 PM","AT WAR: Israeli Prime Minister makes promise to citizens after Hamas terror attacks, says the enemies ""have made a mistake of historic proportions.""",476,91,113,105936
FoxNews,"May 30, 2024 12:08 AM",HELL TO PAY: @NikkiHaley wrote a clear message to Hamas on an IDF artillery shell during her visit to Israel where she met with October 7 survivors and military leaders. Details about her tour:,405,81,203,93721
