Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
RevBlackNetwork,"September 02, 2024 03:23 AM","“There have also been hundreds of Greens elected across the nation, from state legislatures & mayors down to local zoning boards.”  You can criticize the Green Party without LYING. They have built power, especially locally as Democrats sued them & establishment runs neg coverage!",239,47,5,N/A
RevBlackNetwork,"July 02, 2024 07:06 PM","To all you Biden-isn’t-in-cognitive-decline,  Welcome to dementia.  Well done.",512,34,4,N/A
RevBlackNetwork,"July 30, 2024 07:29 PM","Please report billionaires, trying to overthrow democratically elected foreign leaders might be a sign of…",325,69,18,N/A
RevBlackNetwork,"September 13, 2024 09:21 PM","You only won because of our grassroots money & organizing.  Now you weaponize OUR victory not to challenge the system as an outsider but to punch down as an insider at the very ppl whose platform you plagiarized then swiftly betrayed, you performative genocidal liberal sellout.",909,146,15,N/A
RevBlackNetwork,"July 30, 2024 07:29 PM","Please report billionaires, trying to overthrow democratically elected foreign leaders might be a sign of…",325,69,18,N/A
RevBlackNetwork,"September 02, 2024 03:23 AM","“There have also been hundreds of Greens elected across the nation, from state legislatures & mayors down to local zoning boards.”  You can criticize the Green Party without LYING. They have built power, especially locally as Democrats sued them & establishment runs neg coverage!",239,47,5,N/A
RevBlackNetwork,"May 19, 2024 01:08 AM",CONGRATULATIONS to our very own @SabbySabs2 for reaching 100k subscribers! We at RBN are so proud of her and wish her a continued success in informing people & fighting for liberation for all!,352,94,22,N/A
RevBlackNetwork,"September 13, 2024 09:21 PM","You only won because of our grassroots money & organizing.  Now you weaponize OUR victory not to challenge the system as an outsider but to punch down as an insider at the very ppl whose platform you plagiarized then swiftly betrayed, you performative genocidal liberal sellout.",909,146,15,N/A
TheDemocrats,"June 30, 2024 09:25 PM","For too long, junk fees have caught Americans by surprise.  President @JoeBiden is taking on price gouging by:   Cutting credit card and overdraft fees  Requiring companies to tell you the total price upfront  Cracking down on surprise rental fees",571,238,384,N/A
TheDemocrats,"May 05, 2024 03:17 PM","On Missing or Murdered Indigenous Persons Awareness Day, we acknowledge the tragic injustices Native and Indigenous communities have faced.  Democrats are working across jurisdictions to stop this cycle of violence and provide communities with the resources necessary to keep",288,112,112,N/A
TheDemocrats,"December 14, 2023 02:15 PM","Eleven years ago, we lost 20 students and 6 staff members at Sandy Hook Elementary School. We honor the memories of the lives lost in this tragedy and will not rest in our fight to pass gun safety reforms. Every child deserves to feel safe in school.",789,275,319,N/A
TheDemocrats,"October 26, 2023 01:45 PM","In the aftermath of last night’s mass shooting in Lewiston, Maine, we mourn for those who have lost loved ones.  We are praying for the safety of everyone in Maine as they continue to search for the gunman.",281,86,101,N/A
TheDemocrats,"January 25, 2024 05:47 PM",.@JoeBiden has the pro-worker record Trump wishes he could claim:   Made history by joining UAW workers on the picket line in solidarity  Helped save the auto industry in 2009 as vice president and revitalized Detroit  Helped create a historic manufacturing boom,440,156,143,30274
TheDemocrats,"July 24, 2024 04:18 PM","The Biden-Harris administration is ensuring a safer future for the next generation.  The first-ever Office of Gun Violence Prevention, overseen by Vice President Harris, has played a crucial role in passing the most comprehensive gun control legislation in 30 years.",488,183,260,N/A
TheDemocrats,"July 31, 2024 01:11 PM",The Biden-Harris administration has fought for the American people:   Protected marriage for LGBTQI+ and interracial couples  Ending our failed approach to marijuana  The first meaningful gun violence reduction legislation in 30 years  Historic student debt relief,407,177,160,N/A
TheDemocrats,"October 17, 2023 03:11 PM",President @JoeBiden is traveling to Israel to stand in solidarity with its people in the face of Hamas’ brutal terrorist attack.,512,138,380,N/A
TheDemocrats,"October 22, 2023 09:47 PM","“Despite how painful this is .  the outrage and just the sheer pain and shock of what’s happening, I’m still going to keep doing what I’m doing—focus on fighting against hate and antisemitism and Islamophobia.” —Second Gentleman @DouglasEmhoff",1859,424,398,N/A
TheDemocrats,"October 19, 2023 04:45 PM","Tonight at 8 p.m. ET, President @JoeBiden will address the nation on our response to Hamas’ terrorist attack against Israel and Russia’s war in Ukraine.",489,169,332,N/A
TheDemocrats,"December 10, 2023 11:54 PM","Last year, President @JoeBiden and @DrBiden unveiled the White House menorah, the first-ever permanent Jewish artifact in the White House collection.  Chag urim sameach!",748,178,261,N/A
TheDemocrats,"October 23, 2023 04:22 PM","Humanitarian assistance has arrived in Gaza and reached Palestinians in need.  President @JoeBiden is committed to ensuring that civilians in Gaza will continue to have access to food, water, medical care, and other assistance without diversion by Hamas.",515,180,434,33749
TheDemocrats,"August 20, 2024 05:55 PM","Second Gentleman @DouglasEmhoff was born in Brooklyn, New York. He spent most of his childhood in New Jersey with his parents and siblings before his family moved to California. He went on to become an attorney who practiced law for over 30 years.  Doug met Vice President Kamala",753,218,165,N/A
TheDemocrats,"January 27, 2024 05:06 PM","Seven years ago today, Trump announced his unconstitutional Muslim travel ban.  Now he’s vowing to “restore and expand” his ban if reelected.",854,469,674,N/A
TheDemocrats,"March 08, 2024 07:00 PM","We’re standing up for families like Latorya Beasley’s, who used the miracle of IVF to start her family—only to have that right taken away when she wanted a second child.  We won’t allow MAGA Republicans to tell families that their dream has to wait.",311,102,90,N/A
FoxNews,"November 04, 2023 06:39 PM",Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official,331,152,873,N/A
FoxNews,"June 24, 2024 12:58 AM","Jewish mother, family attacked at elementary school graduation by agitators yelling Death to Israel: report",247,168,73,N/A
FoxNews,"July 29, 2024 12:46 PM","Israel set to counter Hezbollah following terror attack: response will be swift, harsh and painful",208,27,75,N/A
