"Reference","Contrast","B","SE","df","95% CI","t-value","p-value"
"Ethnorace_Israeli_Jewish Affiliation_Contrast_Right_leaning","Date_Index",-0.002,0.001,547,"[-0.004, 0.001]",-1.135,0.257
"Ethnorace_Israeli_Jewish Affiliation_Contrast_Left_leaning","Date_Index",-0.001,0.001,547,"[-0.004, 0.002]",-0.674,0.5
"Ethnorace_Arabic_Muslim Affiliation_Contrast_Right_leaning","Date_Index",0.004,0.002,547,"[-0.001, 0.009]",1.674,0.095
"Ethnorace_Arabic_Muslim Affiliation_Contrast_Left_leaning","Date_Index",0.003,0.003,547,"[-0.003, 0.009]",1.111,0.267
"Ethnorace_Israeli_Jewish Date_Index_Earliest","Affiliation_Contrast",-0.371,1.044,547,"[-2.406, 1.663]",-0.356,0.722
"Ethnorace_Israeli_Jewish Date_Index_Mid","Affiliation_Contrast",-0.044,0.337,547,"[-0.715, 0.613]",-0.13,0.896
"Ethnorace_Israeli_Jewish Date_Index_0","Affiliation_Contrast",-0.153,0.402,547,"[-0.935, 0.63]",-0.382,0.703
"Ethnorace_Israeli_Jewish Date_Index_Mid","Affiliation_Contrast",-0.044,0.337,547,"[-0.715, 0.613]",-0.13,0.896
"Ethnorace_Israeli_Jewish Date_Index_Latest","Affiliation_Contrast",0.066,0.588,547,"[-1.079, 1.211]",0.112,0.911
"Ethnorace_Arabic_Muslim Date_Index_Earliest","Affiliation_Contrast",1.247,1.95,547,"[-2.555, 5.048]",0.639,0.523
"Ethnorace_Arabic_Muslim Date_Index_Mid","Affiliation_Contrast",0.83,0.497,547,"[-0.139, 1.799]",1.671,0.095
"Ethnorace_Arabic_Muslim Date_Index_0","Affiliation_Contrast",0.97,0.66,547,"[-0.317, 2.257]",1.469,0.143
"Ethnorace_Arabic_Muslim Date_Index_Mid","Affiliation_Contrast",0.83,0.497,547,"[-0.139, 1.799]",1.671,0.095
"Ethnorace_Arabic_Muslim Date_Index_Latest","Affiliation_Contrast",0.691,1.032,547,"[-1.32, 2.702]",0.67,0.503
"Affiliation_Contrast_Right_leaning Date_Index_Earliest","Ethnorace",-3.31,1.406,547,"[-6.051, -0.569]",-2.354,0.019
"Affiliation_Contrast_Right_leaning Date_Index_Mid","Ethnorace",-0.193,0.399,547,"[-0.971, 0.584]",-0.485,0.628
"Affiliation_Contrast_Right_leaning Date_Index_0","Ethnorace",-1.236,0.486,547,"[-2.183, -0.289]",-2.544,0.011
"Affiliation_Contrast_Right_leaning Date_Index_Mid","Ethnorace",-0.193,0.399,547,"[-0.971, 0.584]",-0.485,0.628
"Affiliation_Contrast_Right_leaning Date_Index_Latest","Ethnorace",0.849,0.785,547,"[-0.681, 2.38]",1.082,0.28
"Affiliation_Contrast_Left_leaning Date_Index_Earliest","Ethnorace",-1.692,1.708,547,"[-5.021, 1.636]",-0.991,0.322
"Affiliation_Contrast_Left_leaning Date_Index_Mid","Ethnorace",0.681,0.449,547,"[-0.193, 1.555]",1.518,0.13
"Affiliation_Contrast_Left_leaning Date_Index_0","Ethnorace",-0.113,0.601,547,"[-1.285, 1.058]",-0.188,0.851
"Affiliation_Contrast_Left_leaning Date_Index_Mid","Ethnorace",0.681,0.449,547,"[-0.193, 1.555]",1.518,0.13
"Affiliation_Contrast_Left_leaning Date_Index_Latest","Ethnorace",1.475,0.891,547,"[-0.262, 3.211]",1.656,0.098
