category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Warm'],"['Israeli', 'Arabic']",0.140502,0.119106,1.179639,0.975025,0.036963,0.088911
['Warm'],"['IDF', 'Hamas']",-0.007888,0.074402,-0.106025,0.495504,0.508492,0.925075
['Warm'],"['Jewish', 'Muslim']",-0.021922,0.102882,-0.213076,0.31968,0.682318,0.677323
['Cold'],"['Israeli', 'Arabic']",0.129014,0.114126,1.130449,0.965035,0.047952,0.085914
['Cold'],"['IDF', 'Hamas']",-0.018749,0.074821,-0.250585,0.355644,0.65035,0.717283
['Cold'],"['Jewish', 'Muslim']",-0.019544,0.101921,-0.191753,0.34965,0.651349,0.719281
['Competence'],"['Israeli', 'Arabic']",0.06675,0.066849,0.998523,0.91009,0.100899,0.196803
['Competence'],"['IDF', 'Hamas']",-0.006169,0.041794,-0.1476,0.440559,0.561439,0.848152
['Competence'],"['Jewish', 'Muslim']",-0.008837,0.056039,-0.157685,0.396603,0.605395,0.82018
['Incompetence'],"['Israeli', 'Arabic']",0.063121,0.063894,0.987893,0.856144,0.157842,0.283716
['Incompetence'],"['IDF', 'Hamas']",-0.003167,0.047744,-0.066332,0.494505,0.508492,0.929071
['Incompetence'],"['Jewish', 'Muslim']",-0.015315,0.059707,-0.256505,0.345654,0.655345,0.702298
