category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Israeli'],"['Warm', 'Cold']",0.08018,0.118428,0.67704,0.904096,0.096903,0.187812
['Israeli'],"['Competence', 'Incompetence']",0.002213,0.059333,0.0373,0.513487,0.487512,0.974026
['Arabic'],"['Warm', 'Cold']",-0.013196,0.071221,-0.185277,0.355644,0.645355,0.712288
['Arabic'],"['Competence', 'Incompetence']",-0.019265,0.042484,-0.453478,0.253746,0.747253,0.503497
['Hamas'],"['Warm', 'Cold']",0.029625,0.053914,0.54949,0.851149,0.14985,0.277722
['Hamas'],"['Competence', 'Incompetence']",-0.003552,0.033209,-0.106947,0.434565,0.567433,0.838162
['Jewish'],"['Warm', 'Cold']",0.04303,0.074552,0.577184,0.867133,0.133866,0.277722
['Jewish'],"['Competence', 'Incompetence']",0.01033,0.049063,0.210545,0.605395,0.395604,0.764236
['Muslim'],"['Warm', 'Cold']",0.07062,0.118572,0.59559,0.852148,0.148851,0.278721
['Muslim'],"['Competence', 'Incompetence']",0.010907,0.086299,0.126387,0.55045,0.451548,0.891109
