category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Israeli'],"['Warm', 'Cold']",0.039409,0.044799,0.879676,0.95005,0.050949,0.111888
['Israeli'],"['Competence', 'Incompetence']",-0.022592,0.039907,-0.566124,0.188811,0.813187,0.383616
['Arabic'],"['Warm', 'Cold']",-0.004873,0.046438,-0.104928,0.446553,0.554446,0.893107
['Arabic'],"['Competence', 'Incompetence']",0.016892,0.08261,0.204474,0.625375,0.377622,0.743257
['Hamas'],"['Warm', 'Cold']",0.02519,0.036462,0.690845,0.879121,0.121878,0.233766
['Hamas'],"['Competence', 'Incompetence']",-0.039759,0.04707,-0.844673,0.097902,0.904096,0.14985
['Jewish'],"['Warm', 'Cold']",0.03153,0.029888,1.054953,0.965035,0.035964,0.064935
['Jewish'],"['Competence', 'Incompetence']",0.067681,0.04884,1.385769,0.984016,0.01998,0.031968
['Muslim'],"['Warm', 'Cold']",-0.000318,0.041154,-0.007738,0.515485,0.485514,0.964036
['Muslim'],"['Competence', 'Incompetence']",-0.017331,0.045059,-0.384624,0.265734,0.736264,0.54046
