Influencer_Xhandle,Influencer Affiliation,Political_Follower_Name,Political_Followers_XHandle,Follower Affiliation
@SteveSchmidtSES,Democratic Party,Darcy Richardson,@DarcyRichardson,Alliance Party
@Josh_Moon,Democratic Party,Rick Neighbors,@VoteNeighbors,Democratic Party
@Josh_Moon,Democratic Party,Phyllis Harvey-Hall,@PhyllisDHHall,Democratic Party
@Josh_Moon,Democratic Party,Kiani Gardner,@KianiGardner,Democratic Party
@TristanSnell,Democratic Party,Rick Neighbors,@VoteNeighbors,Democratic Party
@TristanSnell,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
@TristanSnell,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
@funder,Democratic Party,Rick Neighbors,@VoteNeighbors,Democratic Party
@funder,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
@funder,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
@BillOReilly,Republican Party,Edie Bukewihge,@Vote4Edie_2016,Democratic Party
@Jaybefaunt,Republican Party,Elijah Manley,@iElijahManley,Democratic Party
@donwinslow,Republican Party,Eric Swalwell,@ericswalwell,Democratic Party
@mmpadellan,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
@mmpadellan,Democratic Party,Bennie J. Smith,@BennieJSmith1,Democratic Party
@mmpadellan,Democratic Party,Jimmy C. Ausbrooks,@jimmy4ky,Democratic Party
@fred_guttenberg,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
@fred_guttenberg,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
@fred_guttenberg,Democratic Party,Chris Janicek,@CJSenate2020,Democratic Party
@fred_guttenberg,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
@itsJeffTiedrich,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
@itsJeffTiedrich,Democratic Party,Bennie J. Smith,@BennieJSmith1,Democratic Party
@itsJeffTiedrich,Democratic Party,Jimmy C. Ausbrooks,@jimmy4ky,Democratic Party
@KyleClark,Democratic Party,John Hickenlooper,@Hickenlooper,Democratic Party
@KyleClark,Democratic Party,Andrew Romanoff,@AndrewRomanoff,Democratic Party
@KyleClark,Democratic Party,Michael Bennet,@MichaelBennet,Democratic Party
@WarOnDumb,Democratic Party,Phyllis Harvey-Hall,@PhyllisDHHall,Democratic Party
@WarOnDumb,Democratic Party,Kiani Gardner,@KianiGardner,Democratic Party
@WarOnDumb,Democratic Party,Doug Jones,@DougJonesHQ,Democratic Party
@bshelburne,Other,Phyllis Harvey-Hall,@PhyllisDHHall,Democratic Party
@bshelburne,Other,Doug Jones,@DougJonesHQ,Democratic Party
@PatrickSvitek,Democratic Party,Cristina Tzintzun Ramirez,@cristinanextgen,Democratic Party
@PatrickSvitek,Democratic Party,Amanda K. Edwards,@AKEdwardsTX,Democratic Party
@PatrickSvitek,Democratic Party,Adrian Ocegueda,@TxReason,Democratic Party
@evanasmith,Democratic Party,Cristina Tzintzun Ramirez,@cristinanextgen,Democratic Party
@evanasmith,Democratic Party,Amanda K. Edwards,@AKEdwardsTX,Democratic Party
@evanasmith,Democratic Party,Adrian Ocegueda,@TxReason,Democratic Party
@MsLaToshaBrown,Democratic Party,Deval Patrick,@DevalPatrick,Democratic Party
@MsLaToshaBrown,Democratic Party,President Boddie,@boddieforga,Democratic Party
@MsLaToshaBrown,Democratic Party,Adia Winfrey,@drdia,Democratic Party
@KyleKulinski,Democratic Party,Eric Rothmuller,@EricRothmuller,Democratic Party
@KyleKulinski,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
@KyleKulinski,Democratic Party,Justice Democrats,@justicedems,Democratic Party
@KyleKulinski,Democratic Party,Jensen Bohren,@BohrenJensen,Democratic Party
@krystalball,Democratic Party,Eric Rothmuller,@EricRothmuller,Democratic Party
@krystalball,Democratic Party,Marianne Williamson,@marwilliamson,Democratic Party
@krystalball,Democratic Party,Justice Democrats,@justicedems,Democratic Party
@bluestein,Democratic Party,President Boddie,@boddieforga,Democratic Party
@bluestein,Democratic Party,Ed Tarver,@edtarverga,Democratic Party
@BarbMcQuade,Democratic Party,Ed Tarver,@edtarverga,Democratic Party
@BarbMcQuade,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
@JohnArchibald,Democratic Party,Kiani Gardner,@KianiGardner,Democratic Party
@JohnArchibald,Democratic Party,Doug Jones,@DougJonesHQ,Democratic Party
@kylegriffin1,Democratic Party,"Annie ""Mamá"" Garcia",@AnnieMamaGarcia,Democratic Party
@kylegriffin1,Democratic Party,Bennie J. Smith,@BennieJSmith1,Democratic Party
@kylegriffin1,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
@TheRickWilson,Democratic Party,Eric Swalwell,@ericswalwell,Democratic Party
@TheRickWilson,Democratic Party,Pete Buttigieg,@PeteButtigieg,Democratic Party
@TheRickWilson,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
@marceelias,Democratic Party,Eric Swalwell,@ericswalwell,Democratic Party
@marceelias,Democratic Party,Pete Buttigieg,@PeteButtigieg,Democratic Party
@marceelias,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
@natsechobbyist,Democratic Party,Eric Swalwell,@ericswalwell,Democratic Party
