Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
anthonyzenkus,Democratic Party,88800,"April 21, 2024 10:15 PM",1739,68,190,50019
anthonyzenkus,Democratic Party,88800,"May 15, 2024 08:41 PM",1505,44,619,31610
anthonyzenkus,Democratic Party,88800,"January 17, 2024 02:22 AM",1305,43,488,16921
jimmy_dore,Democratic Party,628500,"July 26, 2024 05:56 PM",8554,504,2987,777965
jimmy_dore,Democratic Party,628500,"May 30, 2024 04:31 AM",1062,85,300,31417
TomFitton,Republican Party,2700000,"February 10, 2024 10:31 PM",1359,58,433,40542
TomFitton,Republican Party,2700000,"October 18, 2023 12:45 AM",1139,61,600,96012
PatTheSocialist,Republican Party,71800,"December 26, 2023 09:36 PM",1642,34,807,26566
PatTheSocialist,Republican Party,71800,"February 27, 2024 01:47 AM",18155,857,4192,883511
PatTheSocialist,Republican Party,71800,"August 01, 2024 10:41 PM",1753,21,486,19812
BillOReilly,Republican Party,3300000,"September 11, 2024 01:59 AM",2653,53,448,116249
brad_polumbo,Republican Party,65800,"October 09, 2023 12:30 AM",1340,79,118,54720
BernardKerik,Republican Party,328900,"November 03, 2023 03:56 PM",2489,215,1393,83213
SabbySabs2,Democratic Party,75700,"August 22, 2024 07:11 AM",1275,100,429,45061
SabbySabs2,Democratic Party,75700,"July 30, 2024 07:28 PM",2264,87,681,44133
natsechobbyist,Democratic Party,477600,"August 22, 2024 07:35 PM",1568,4,595,41068
TristanSnell,Democratic Party,571900,"July 28, 2024 12:57 AM",104244,9425,31318,3833874
TristanSnell,Democratic Party,571900,"July 28, 2024 09:35 PM",24600,2686,8356,679713
TristanSnell,Democratic Party,571900,"July 12, 2024 05:21 PM",25561,1355,8086,390695
TristanSnell,Democratic Party,571900,"November 22, 2023 01:27 AM",4178,128,1086,91129
TristanSnell,Democratic Party,571900,"November 23, 2023 02:30 PM",3255,197,683,64051
TristanSnell,Democratic Party,571900,"August 21, 2024 03:07 AM",63401,3052,18402,956530
RonFilipkowski,Democratic Party,1000000,"July 28, 2024 03:38 PM",1520,103,363,66505
RonFilipkowski,Democratic Party,1000000,"July 25, 2024 04:56 PM",2370,253,703,58445
RonFilipkowski,Democratic Party,1000000,"July 28, 2024 03:44 PM",1244,46,229,44492
RonFilipkowski,Democratic Party,1000000,"July 26, 2024 06:08 PM",1440,1016,476,159444
benshapiro,Republican Party,7000000,"November 08, 2023 02:43 PM",2497,881,289,597582
benshapiro,Republican Party,7000000,"November 07, 2023 08:16 PM",20479,2685,4076,1700450
benshapiro,Republican Party,7000000,"May 06, 2024 06:18 PM",31297,2118,5374,1271005
benshapiro,Republican Party,7000000,"August 15, 2024 01:51 PM",1069,104,236,157540
benshapiro,Republican Party,7000000,"July 23, 2024 12:29 PM",4636,1597,618,1214405
benshapiro,Republican Party,7000000,"September 01, 2024 12:20 PM",31297,2118,5374,1271005
benshapiro,Republican Party,7000000,"August 06, 2024 06:10 PM",2780,273,356,290995
ComicDaveSmith,Republican Party,570400,"August 21, 2024 01:02 PM",5891,399,287,980077
ComicDaveSmith,Republican Party,570400,"August 20, 2024 11:24 PM",3825,216,421,208082
ComicDaveSmith,Republican Party,570400,"April 14, 2024 11:08 PM",2045,126,130,170718
ComicDaveSmith,Republican Party,570400,"April 22, 2024 11:52 PM",1780,97,175,91019
TheRickWilson,Democratic Party,1600000,"July 31, 2024 01:21 PM",3334,90,315,77274
TheRickWilson,Democratic Party,1600000,"September 14, 2024 07:47 PM",1634,47,304,95900
TheRickWilson,Democratic Party,1600000,"October 31, 2023 11:51 AM",2311,29,218,48497
KyleKulinski,Democratic Party,462300,"July 24, 2024 07:40 PM",1383,61,410,55192
KyleKulinski,Democratic Party,462300,"September 04, 2024 12:29 AM",1089,56,157,78484
KyleKulinski,Democratic Party,462300,"September 03, 2024 04:32 PM",1071,54,199,75130
KyleKulinski,Democratic Party,462300,"June 27, 2024 12:49 PM",2303,112,176,115756
KyleKulinski,Democratic Party,462300,"May 08, 2024 04:58 PM",2108,49,395,76887
KyleKulinski,Democratic Party,462300,"April 23, 2024 10:16 PM",1732,124,275,75193
funder,Democratic Party,1100000,"January 06, 2024 12:59 PM",10979,5350,4279,403500
benshapiro,Republican Party,7000000,"November 01, 2023 10:55 AM",11133,7616,2851,6463090
benshapiro,Republican Party,7000000,"October 31, 2023 08:03 PM",14432,5763,1874,1170719
benshapiro,Republican Party,7000000,"November 21, 2023 03:06 PM",31283,2113,5362,1271302
benshapiro,Republican Party,7000000,"May 07, 2024 03:15 PM",16611,1409,2737,590480
benshapiro,Republican Party,7000000,"March 07, 2024 02:14 AM",26571,1394,2929,849791
benshapiro,Republican Party,7000000,"September 18, 2024 04:39 PM",32881,8130,6590,3980142
benshapiro,Republican Party,7000000,"August 15, 2024 02:07 PM",41498,4654,10261,3034132
benshapiro,Republican Party,7000000,"November 06, 2023 02:02 PM",33563,14296,7459,4222129
benshapiro,Republican Party,7000000,"March 01, 2024 02:53 PM",4455,749,575,395082
benshapiro,Republican Party,7000000,"February 29, 2024 11:55 PM",2781,273,353,291018
RealSpikeCohen,Republican Party,222100,"October 07, 2023 10:59 PM",6409,476,2854,905573
RealSpikeCohen,Republican Party,222100,"October 13, 2023 12:56 AM",3425,181,1132,328980
briebriejoy,Democratic Party,418700,"June 13, 2024 10:07 PM",1841,481,953,158200
ComicDaveSmith,Republican Party,570400,"April 02, 2024 10:46 PM",7861,530,1755,632686
ComicDaveSmith,Republican Party,570400,"October 13, 2023 07:16 PM",3947,320,294,481992
ComicDaveSmith,Republican Party,570400,"October 07, 2023 03:29 PM",9217,873,1314,929628
TheRickWilson,Democratic Party,1600000,"August 07, 2024 05:32 PM",1633,47,304,95932
KyleKulinski,Democratic Party,462300,"November 16, 2023 04:01 AM",1799,131,560,78208
KyleKulinski,Democratic Party,462300,"July 09, 2024 11:46 PM",1072,49,274,52965
funder,Democratic Party,1100000,"January 04, 2024 05:44 PM",1082,84,429,30082
LeeCamp,Democratic Party,226700,"February 23, 2024 10:08 PM",1220,54,922,139645
JordanChariton,Democratic Party,128400,"April 24, 2024 05:40 PM",1395,2,136,34250
JordanChariton,Democratic Party,128400,"April 24, 2024 05:38 PM",1690,5,171,37368
mmpadellan,Democratic Party,1300000,"March 31, 2024 07:04 PM",3900,1216,2146,248027
mmpadellan,Democratic Party,1300000,"November 17, 2023 01:14 AM",5003,405,1190,123312
mmpadellan,Democratic Party,1300000,"March 14, 2024 03:55 PM",29181,2880,7332,731008
charliekirk11,Republican Party,3600000,"December 02, 2023 12:06 AM",2540,279,612,529652
charliekirk11,Republican Party,3600000,"May 06, 2024 04:58 PM",1730,425,359,236783
charliekirk11,Republican Party,3600000,"November 17, 2023 02:11 AM",3967,566,1308,198541
charliekirk11,Republican Party,3600000,"October 19, 2023 03:01 PM",27328,1182,10481,2560372
