Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
anthonyzenkus,Democratic Party,88800,"April 21, 2024 10:15 PM",1739,68,190,50019
anthonyzenkus,Democratic Party,88800,"April 09, 2024 05:48 AM",277,16,38,8201
anthonyzenkus,Democratic Party,88800,"August 22, 2024 04:35 PM",791,23,443,11845
anthonyzenkus,Democratic Party,88800,"March 24, 2024 12:22 AM",905,63,372,12920
anthonyzenkus,Democratic Party,88800,"May 15, 2024 08:41 PM",1505,44,619,31610
anthonyzenkus,Democratic Party,88800,"January 20, 2024 06:34 PM",381,15,234,6644
anthonyzenkus,Democratic Party,88800,"January 17, 2024 02:22 AM",1305,43,488,16921
anthonyzenkus,Democratic Party,88800,"November 22, 2023 07:41 PM",533,34,315,21785
anthonyzenkus,Democratic Party,88800,"July 08, 2024 02:22 AM",644,39,358,22280
anthonyzenkus,Democratic Party,88800,"December 01, 2023 08:14 PM",796,57,541,53719
anthonyzenkus,Democratic Party,88800,"January 17, 2024 07:35 AM",253,34,151,7044
jimmy_dore,Other,628500,"July 26, 2024 05:56 PM",8554,504,2987,777965
jimmy_dore,Other,628500,"July 08, 2024 09:53 PM",312,37,92,29873
jimmy_dore,Other,628500,"May 30, 2024 04:31 AM",1062,85,300,31417
jimmy_dore,Other,628500,"October 11, 2023 09:40 PM",224,52,46,37253
jimmy_dore,Other,628500,"October 09, 2023 09:53 PM",232,69,65,49519
IngrahamAngle,Republican Party,4900000,"May 08, 2024 08:10 AM",223,38,62,62576
IngrahamAngle,Republican Party,4900000,"October 17, 2023 07:34 PM",227,89,51,44360
IngrahamAngle,Republican Party,4900000,"October 11, 2023 04:50 PM",486,122,97,35778
IngrahamAngle,Republican Party,4900000,"October 24, 2023 02:36 PM",723,127,205,54358
IngrahamAngle,Republican Party,4900000,"October 20, 2023 03:48 PM",380,113,115,48246
TomFitton,Republican Party,2700000,"November 14, 2023 03:44 PM",249,30,130,17395
TomFitton,Republican Party,2700000,"June 13, 2024 12:01 AM",547,54,238,30359
TomFitton,Republican Party,2700000,"April 21, 2024 10:15 PM",528,48,440,29929
TomFitton,Republican Party,2700000,"February 10, 2024 10:31 PM",1359,58,433,40542
TomFitton,Republican Party,2700000,"November 26, 2023 03:55 AM",216,18,71,35428
TomFitton,Republican Party,2700000,"January 13, 2024 02:33 AM",349,79,188,39601
TomFitton,Republican Party,2700000,"July 10, 2024 01:33 AM",843,38,385,32958
TomFitton,Republican Party,2700000,"October 18, 2023 12:45 AM",1139,61,600,96012
PatTheSocialist,Republican Party,71800,"December 26, 2023 09:36 PM",1642,34,807,26566
PatTheSocialist,Republican Party,71800,"July 19, 2024 05:03 PM",484,3,164,7859
PatTheSocialist,Republican Party,71800,"March 11, 2024 02:12 AM",646,21,225,9581
PatTheSocialist,Republican Party,71800,"January 21, 2024 05:58 PM",636,31,381,17599
PatTheSocialist,Republican Party,71800,"February 27, 2024 01:47 AM",18155,857,4192,883511
PatTheSocialist,Republican Party,71800,"August 01, 2024 10:41 PM",1753,21,486,19812
BillOReilly,Republican Party,3300000,"September 11, 2024 01:59 AM",2653,53,448,116249
BillOReilly,Republican Party,3300000,"October 10, 2023 01:05 PM",221,24,34,36825
BillOReilly,Republican Party,3300000,"December 05, 2023 12:41 PM",263,17,41,96614
BillOReilly,Republican Party,3300000,"August 06, 2024 01:26 PM",339,77,52,32303
brad_polumbo,Republican Party,65800,"January 09, 2024 12:19 AM",233,19,39,11083
brad_polumbo,Republican Party,65800,"October 21, 2023 08:54 PM",383,21,33,86241
brad_polumbo,Republican Party,65800,"October 24, 2023 01:43 PM",474,119,154,59665
brad_polumbo,Republican Party,65800,"October 09, 2023 02:43 PM",612,76,65,45118
brad_polumbo,Republican Party,65800,"October 09, 2023 12:30 AM",1340,79,118,54720
BernardKerik,Republican Party,328900,"November 04, 2023 02:48 AM",279,16,80,11603
BernardKerik,Republican Party,328900,"November 03, 2023 03:56 PM",2489,215,1393,83213
SabbySabs2,Democratic Party,75700,"August 22, 2024 03:31 PM",694,32,223,10263
SabbySabs2,Democratic Party,75700,"August 22, 2024 07:11 AM",1275,100,429,45061
SabbySabs2,Democratic Party,75700,"October 09, 2023 12:24 AM",201,3,14,2079
SabbySabs2,Democratic Party,75700,"October 08, 2023 09:12 PM",638,39,166,9536
SabbySabs2,Democratic Party,75700,"July 30, 2024 07:28 PM",2264,87,681,44133
SabbySabs2,Democratic Party,75700,"June 12, 2024 07:19 PM",256,14,110,6340
SabbySabs2,Democratic Party,75700,"June 12, 2024 12:20 PM",366,68,24,9878
SabbySabs2,Democratic Party,75700,"July 08, 2024 05:28 PM",579,18,255,16704
SabbySabs2,Democratic Party,75700,"July 10, 2024 06:51 PM",271,38,161,6404
SabbySabs2,Democratic Party,75700,"May 24, 2024 01:42 PM",508,33,194,13016
SabbySabs2,Democratic Party,75700,"March 20, 2024 02:26 PM",676,45,300,14820
natsechobbyist,Democratic Party,477600,"August 06, 2024 05:15 PM",631,67,31,19732
natsechobbyist,Democratic Party,477600,"June 26, 2024 02:48 AM",802,3552,363,430458
natsechobbyist,Democratic Party,477600,"July 24, 2024 08:36 PM",851,32,285,28100
natsechobbyist,Democratic Party,477600,"July 24, 2024 08:01 PM",727,29,38,9023
