Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
TristanSnell,Democratic Party,571900,"February 23, 2023 09:19 PM",5640,155,1930,128116
TristanSnell,Democratic Party,571900,"February 25, 2023 12:31 AM",3649,885,1790,150426
BernardKerik,Republican Party,328900,"September 11, 2023 09:51 AM",1014,83,262,33393
TomFitton,Republican Party,2700000,"May 19, 2023 05:39 AM",1873,75,575,115012
jimmy_dore,Democratic Party,628500,"February 08, 2023 06:18 PM",5239,257,1465,279966
RonFilipkowski,Democratic Party,1000000,"October 19, 2022 10:01 PM",1337,724,303,554681
RonFilipkowski,Democratic Party,1000000,"February 17, 2023 12:34 AM",7409,481,1887,1786908
RonFilipkowski,Democratic Party,1000000,"February 17, 2023 05:52 PM",1012,421,208,343494
RonFilipkowski,Democratic Party,1000000,"August 20, 2023 01:08 PM",25397,3265,6635,2957646
anthonyzenkus,Democratic Party,88800,"November 24, 2022 02:55 PM",1471,49,642,45843
anthonyzenkus,Democratic Party,88800,"March 20, 2023 03:38 AM",1471,49,642,45843
benshapiro,Republican Party,7000000,"January 30, 2023 02:48 PM",1417,47,139,189279
benshapiro,Republican Party,7000000,"January 30, 2023 02:50 PM",1026,59,98,153338
benshapiro,Republican Party,7000000,"May 11, 2023 01:52 AM",5079,420,478,965700
RealSpikeCohen,Republican Party,222100,"February 13, 2023 10:55 PM",7543,230,1332,372960
briebriejoy,Democratic Party,418700,"November 08, 2022 11:51 PM",1479,303,341,170242
ComicDaveSmith,Republican Party,570400,"September 08, 2023 04:15 PM",2577,138,228,89155
ComicDaveSmith,Republican Party,570400,"September 10, 2023 09:59 PM",8286,320,1572,346129
ComicDaveSmith,Republican Party,570400,"March 13, 2023 09:26 PM",5401,142,949,330514
TheRickWilson,Democratic Party,1600000,"April 17, 2023 03:16 PM",6283,154,732,233147
TheRickWilson,Democratic Party,1600000,"November 01, 2022 10:17 PM",6283,154,732,233147
RealSpikeCohen,Republican Party,222100,"December 02, 2022 12:48 AM",2010,51,84,70011
ComicDaveSmith,Republican Party,570400,"May 11, 2023 07:31 PM",1809,91,112,154663
ComicDaveSmith,Republican Party,570400,"May 11, 2023 01:02 AM",1015,43,72,73509
ComicDaveSmith,Republican Party,570400,"September 03, 2023 03:09 PM",3086,142,380,448888
SabbySabs2,Democratic Party,75700,"March 17, 2023 08:02 PM",1322,65,488,55542
mmpadellan,Democratic Party,1300000,"February 24, 2023 08:04 PM",1069,182,314,54918
mmpadellan,Democratic Party,1300000,"February 23, 2023 07:44 PM",24343,939,16978,841309
krystalball,Democratic Party,587700,"February 27, 2023 09:17 PM",4215,133,1211,253842
krystalball,Democratic Party,587700,"February 21, 2023 07:09 PM",1991,49,457,215497
krystalball,Democratic Party,587700,"March 13, 2023 02:53 AM",14437,457,3108,681796
SteveSchmidtSES,Democratic Party,1500000,"October 16, 2022 04:11 PM",1223,92,251,101802
SteveSchmidtSES,Democratic Party,1500000,"January 05, 2023 08:39 PM",1420,90,459,122221
SteveSchmidtSES,Democratic Party,1500000,"September 21, 2023 12:54 PM",1420,90,459,122221
