Influencer_Xhandle,Influencer Affiliation,Political_Follower_Name,Political_Followers_XHandle,Follower Affiliation
@0rf,Right,,ProudSocialist,
@0rf,Right,,SarcasmStardust,
@0rf,Right,,SocialistMMA,
@0rf,Right,,LeeCamp,
@0rf,Right,,SabbySabs2,
@0rf,Right,,jimmy_dore,
@AVindman,Left,,marceelias,
@AVindman,Left,,AmyMcGrathKY,
@AVindman,Left,,fred_guttenberg,
@AVindman,Left,,HowieHawkins,
@AVindman,Left,,donwinslow,
@AdamKinzinger,Right,,robreiner,
@AdamKinzinger,Right,,SteveSchmidtSES,
@AdamKinzinger,Right,,ProjectLincoln,
@AdamKinzinger,Right,,RonFilipkowski,
@AdamKinzinger,Right,,gtconway3d,
@AdamKinzinger,Right,,TheRickWilson,
@AnaKasparian,Left,,krystalball,
@AnaKasparian,Left,,davidsirota,
@AnaKasparian,Left,,justicedems,
@AnnCoulter,Right,Claire Elisabeth Elliott,@1stGirlPres,Independent
@AnnCoulter,Right,Robert McGee,@rmcgeeUShouseSC,Independent
@AnnCoulter,Right,"Daniel ""Demand Daniel"" McCarthy",@DemandDanielAZ,Republican Party
@AnnCoulter,Right,Gavin S. Clarkson,@DrGavinClarkson,Republican Party
@BNicholsLiberty,Right,,checkmatestate,
@BNicholsLiberty,Right,,LarrySharpe,
@BNicholsLiberty,Right,,brad_polumbo,
@BNicholsLiberty,Right,,ODonnell4NH,
@BNicholsLiberty,Right,,HannahDCox,
@BarbMcQuade,Left,,AmyMcGrathKY,
@BarbMcQuade,Left,,kylegriffin1,
@BarbMcQuade,Left,,edtarverga,
@BarbMcQuade,Left,,marceelias,
@BernardKerik,Right,Mo Brooks (i),RepMoBrooks,Republican Party
@BernardKerik,Right,Doug Collins,CollinsforGA,Republican Party
@BernardKerik,Right,,RikMehta_NJ,
@BernardKerik,Right,Hirsh Singh,@HirshSingh,Republican Party
@BillKristol,Left,,kylegriffin1,
@BillKristol,Left,,BarbMcQuade,
@BillKristol,Left,,SteveSchmidtSES,
@BillKristol,Left,,marceelias,
@BillKristol,Left,,RonFilipkowski,
@BillKristol,Left,,itsJeffTiedrich,
@BillOReilly,Right,Donald J Trump,realDonaldTrump,Republican Party
@BillOReilly,Right,Claire Elisabeth Elliott,@1stGirlPres,Independent
@BillOReilly,Right,Edie Bukewihge,@Vote4Edie_2016,Democratic Party
@BrandonStraka,Right,,charliekirk11,
@BrandonStraka,Right,,EricTrump,
@BrandonStraka,Right,,DiamondandSilk,
@BrandonStraka,Right,,LaraLeaTrump,
@BrandonStraka,Right,,TPUSA,
@BrandonStraka,Right,,JamesOKeefeIII,
@BrandonStraka,Right,,ElectMarkCurran,
@BuckSexton,Right,,BillOReilly,
@BuckSexton,Right,,charliekirk11,
@BuckSexton,Right,,AnnCoulter,
@ChuckCallesto,Right,,ElectMarkCurran,
@ChuckCallesto,Right,,CarlForAlabama,
@ChuckCallesto,Right,,TomFitton,
@ComicDaveSmith,Right,,SlowinskiThirds,
@ComicDaveSmith,Right,,ComicDaveSmith,
@ComicDaveSmith,Right,,Ibra_Taher,
@ComicDaveSmith,Right,,jimmy_dore,
@ComicDaveSmith,Right,,FreemansMind96,
@ComicDaveSmith,Right,,TRHLofficial,
@ComicDaveSmith,Right,,votejoemchugh,
@ComicDaveSmith,Right,,ThomasEWoods,
@ComicDaveSmith,Right,,McKennon2020,
@ComptonMadeMe,Left,,SabbySabs2,
@ComptonMadeMe,Left,,PatTheSocialist,
@ComptonMadeMe,Left,,Jaybefaunt,
@ComptonMadeMe,Left,,SarcasmStardust,
@DC_Draino,Right,,charliekirk11,
@DC_Draino,Right,,JoanEFarr,
@DC_Draino,Right,,ElectMarkCurran,
@DC_Draino,Right,,RealCandaceO,
@DC_Draino,Right,,JamesOKeefeIII,
@DC_Draino,Right,,elonmusk,
@DavidAFrench,Right,,NancyAFrench,
@DavidAFrench,Right,Tom Hoefling,TomHoefling,Unaffiliated
@DavidAFrench,Right,"George S., Jr. Flinn",@GeorgeFlinn,Republican Party
