Item,Count
Hamas,1007
United Nations,115
Hezbollah,98
Palestinian Authority,82
Democratic Party,74
Al Shifa Hospital (Gaza Strip),55
Republican Party,51
United Nations Relief and Works Agency,49
International Court of Justice (UN),49
House of Representatives,46
Security Council (UN),38
World Central Kitchen,34
Senate,28
Columbia University,24
International Criminal Court,24
State Department,23
Defense Department,20
Palestinian Islamic Jihad,19
Houthis,19
Islamic Revolutionary Guards Corps,16
Al Ahli Arab Hospital (Gaza Strip),16
World Food Program,16
European Union,14
World Health Organization,14
Likud Party (Israel),13
Mossad,13
Harvard University,13
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,13
TikTok (ByteDance),11
Central Intelligence Agency,10
International Federation of Red Cross and Red Crescent Societies,10
Quds Force,9
AL JAZEERA,9
Kerem Shalom,9
Federal Bureau of Investigation,8
ANTI-DEFAMATION LEAGUE,8
Jewish Voice for Peace Inc,8
North Atlantic Treaty Organization,7
Twitter,7
Meta Platforms Inc,7
Students for Justice in Palestine,7
"Boycott, Divestment and Sanctions (BDS)",7
Shin Bet,7
General Assembly (UN),7
Yale University,7
Al Aqsa Mosque (Jerusalem),6
New York Times,6
"Fatah, Al",6
Supreme Court of Israel,6
Palestine Liberation Organization,5
Chevron Corporation,5
Islamic State in Iraq and Syria (ISIS),5
Council on American-Islamic Relations,5
Bank of Israel,5
Kamal Adwan Hospital (Gaza Strip),5
Google Inc,5
United Nations Children's Fund,5
United States Army,5
PEN American Center,5
Telegram LLC,4
New York University,4
University of Pennsylvania,4
Facebook Inc,4
Writers Guild of America,4
Magen David Adom,4
Committee to Protect Journalists,4
Roman Catholic Church,4
IfNotNow (Activist Group),4
Doctors Without Borders,4
European Broadcasting Union,4
International Monetary Fund,3
El Al Israel Airlines,3
Jewish Currents (Magazine),3
"Kennedy International Airport (Queens, NY)",3
Homeland Security Department,3
Instagram Inc,3
International Committee of the Red Cross,3
Ninety-Second Street Y,3
Democratic Majority for Israel,3
Cornell University,3
Associated Press,3
American Civil Liberties Union,3
Standing Together (Activist Group),3
"University of California, Berkeley",3
Brown University,3
Combatants for Peace,3
Nasser Hospital (Gaza Strip),3
United Nations Human Rights Council,3
University of Southern California,3
National Security Council,2
World Bank,2
Democratic Socialists of America,2
Treasury Department,2
European Commission,2
AL QAEDA,2
Kataib Hezbollah,2
Academy Museum of Motion Pictures,2
AFRICAN NATIONAL CONGRESS,2
Fox News Channel,2
Citadel Investment Group,2
Wharton School of the University of Pennsylvania,2
"Hillel, The Foundation for Jewish Campus Life",2
Organization of the Petroleum Exporting Countries,2
Muslim Brotherhood (Egypt),2
Web Summit (Connected Intelligence Ltd),2
LinkedIn Corporation,2
Creative Artists Agency,2
George Washington University,2
Cooper Union for the Advancement of Science and Art,2
Republican Jewish Coalition,2
Breaking the Silence,2
Yad Vashem Holocaust Museum,2
Internal Revenue Service,2
"Frick Pittsburgh (Pittsburgh, Pa, Museum)",2
Beijing Bytedance Technology Co Ltd,2
AMERICAN JEWISH COMMITTEE,2
Thomson Reuters Corporation,2
United States Agency for International Development,2
Labour Party (Great Britain),2
Massachusetts Institute of Technology,2
Bronx Defenders,2
YouTube.com,2
United Democracy Project (Political Organization),2
Supreme Court (US),2
United Automobile Workers,2
Center for Constitutional Rights,2
New York University Langone Health,2
Syrian Democratic Forces,2
Oxfam,2
ARAB LEAGUE,2
University of California,2
Guernica (Magazine),2
Group of Seven,2
International Rescue Committee,2
City University of New York,2
Labour Party (Israel),1
Police Department (NYC),1
European Central Bank,1
AMERICAN AIRLINES,1
Delta Air Lines Inc,1
Major League Baseball,1
Country Garden,1
British Broadcasting Corp,1
Bellingcat,1
Winston & Strawn,1
Iraqi Army,1
Unification Church,1
"Ayat (Brooklyn, NY, Restaurant)",1
Apollo Global Management,1
Goldman Sachs Group Inc,1
Pershing Square Capital Management,1
Ivy League,1
Shenkar College of Engineering and Design,1
Yeshiva University,1
United Nations High Commissioner for Refugees,1
Louvre Museum,1
Senate Committee on Foreign Relations,1
Bureau of Political-Military Affairs,1
Canadian Broadcasting Corp,1
Consumer Healthcare Products Assn,1
Food and Drug Administration,1
Norwegian Refugee Council,1
Never Back Down Inc,1
NewGround (Nonprofit),1
London Review of Books,1
Hess Corporation,1
United States Navy,1
El Museo del Barrio,1
Artforum,1
"Grand Central Terminal (Manhattan, NY)",1
China Daily,1
Communist Party of China,1
Global Times,1
Weibo Corporation,1
Girl Scouts,1
Brooklyn Museum,1
Brothers in Arms (Activist Group),1
Lashkar-e-Taiba,1
Taliban,1
Cornell Daily Sun (Newspaper),1
"Barenboim-Said Academy (Berlin, Germany)",1
West-Eastern Divan Orchestra,1
United States Special Operations Command,1
Organization of Islamic Cooperation,1
Scotland Yard (Metropolitan Police Service),1
Museum of Tolerance,1
We Are Not Numbers (Nonprofit),1
Palestinian Ministry of Health,1
Jewish Federations of North America,1
B'Tselem,1
National Book Foundation,1
St Jude Children's Research Hospital,1
Chabad-Lubavitch,1
4chan,1
House Committee on Homeland Security,1
ARAB AMERICAN INSTITUTE,1
Lululemon Athletica Inc,1
Hunter College,1
Asia-Pacific Economic Cooperation,1
Palestine Legal (Nonprofit),1
University of Florida,1
University of South Florida,1
Documenta GmbH,1
University of Arkansas,1
Al-Mayadeen,1
BRICS Group,1
Binance,1
United Talent Agency,1
OpenAI Labs,1
Macy's Inc,1
Education Department (NYC),1
"Hillcrest High School (Queens, NY)",1
Haverford College,1
"Trinity College (Hartford, Conn)",1
Reporters Without Borders,1
"Goldie (Philadelphia, Pa, Restaurant)",1
United Nations Entity for Gender Equality and the Empowerment of Women,1
"Adalah, The Legal Center for Arab Minority Rights in Israel",1
Workmen's Circle,1
Haaretz,1
"Police Department (New Haven, Conn)",1
AMNESTY INTERNATIONAL,1
Washington Post,1
Zara,1
A P Moller-Maersk,1
Brandeis University,1
University of Vermont,1
New York Times/Siena College Poll,1
Marvel Entertainment,1
"Argentine Israeli Mutual Assn (Buenos Aires, Argentina)",1
United Methodist Church,1
Students for a Democratic Society,1
Human Rights Watch,1
Intel Corporation,1
Los Angeles International Airport,1
Education Department (US),1
AMERICAN FEDERATION OF LABOR-CONGRESS OF INDUSTRIAL ORGANIZATIONS,1
Legal Aid Society,1
NewsGuild,1
AMERICAN FEDERATION OF TEACHERS,1
University of Haifa,1
Netflix Inc,1
Eskenazi Museum of Art at Indiana University,1
Indiana University,1
Integrated Food Security Phase Classification,1
Antalyaspor (Soccer Team),1
Black September Organization,1
Jundallah,1
World Economic Forum,1
United Nations Development Program,1
Free Gaza Movement,1
Australian Broadcasting Corp,1
Congressional Black Caucus,1
New Birth Missionary Baptist Church,1
Rainbow/PUSH Coalition,1
Office of Management and Budget (US),1
National Assn for the Advancement of Colored People,1
Kurdistan Workers' Party,1
Moody's Investors Service Inc,1
Sinai Province of the Islamic State,1
AFRICAN METHODIST EPISCOPAL CHURCH,1
"Emanuel African Methodist Episcopal Church (Charleston, SC)",1
Palestinian Museum,1
Tikun 2024 (Political Organization),1
Conservative Party (Great Britain),1
Cambridge University,1
Army Corps of Engineers,1
"Cinerama Dome (Los Angeles, Calif, Movie Theater)",1
Keller Williams Realty,1
Gisha,1
Whitney Museum of American Art,1
House Committee on Education and Labor,1
Association of Legal Aid Attorneys,1
PEN International,1
Liberal Party (Canada),1
New Democratic Party (Canada),1
Conservative Party (Canada),1
ABC News,1
Corsight Ltd,1
"Holy Family Church (Gaza City, Gaza)",1
Israel Hayom,1
Save the Children,1
Yerba Buena Center for the Arts,1
Metropolitan Museum of Art,1
Palestinian Campaign for the Academic and Cultural Boycott of Israel,1
Department of Social Services,1
McDonald's Corporation,1
J Street,1
X (Formerly Twitter),1
Center for American Progress,1
MoveOn.org,1
National Education Assn,1
NextGen America,1
Service Employees International Union,1
Working Families Party,1
Japanese-American Citizens League,1
Nikkei4Palestine (Activist Group),1
Syrian Observatory for Human Rights,1
Congressional Progressive Caucus,1
Justice Democrats,1
Barnard College,1
"Emerson College (Boston, Mass)",1
Tufts University,1
Caterpillar Inc,1
Airbnb,1
BlackRock Inc,1
University of Texas at Austin,1
Enabel,1
American Near East Refugee Aid (Anera),1
Medical Aid for Palestinians (MAP),1
College Democrats of America,1
Democratic National Committee,1
"University of California, San Diego",1
"University of California, Los Angeles",1
Tulane University,1
WKCR-FM,1
University of Chicago,1
Occupy Wall Street,1
ART INSTITUTE OF CHICAGO,1
School of the Art Institute of Chicago,1
"Police Department (Los Angeles, Calif)",1
Palestine Children's Relief Fund,1
AL AZHAR UNIVERSITY,1
"Trinity College (Dublin, Ireland)",1
"Intercept, The (Magazine)",1
Parents Circle -- Families Forum,1
Defense Intelligence Agency,1
Federal Aviation Administration,1
United States Central Command,1
United Nations Department of Peacekeeping Operations,1
International Federation of Association Football (FIFA),1
"Gaultier, Jean Paul (Fashion Label)",1
"Wiesenthal, Simon, Center",1
Endeavor Group,1
"Great Omari Mosque (Gaza City, Gaza Strip)",1
Truth Social (Social Network),1
