headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Biden Says He Would Not Pardon His Son in Felony Gun Trial,2024-06-07 01:23:48+00:00,"Biden, Hunter; Biden, Joseph R Jr; Netanyahu, Benjamin; Trump, Donald J",Israel; Rafah (Gaza Strip),"United States Politics and Government; Israel-Gaza War (2023- ); Presidential Election of 2024; World War II (1939-45); Amnesties, Commutations and Pardons",,https://www.nytimes.com/2024/06/06/us/politics/biden-pardon-hunter-gun-trial-trump.html,"In a wide-ranging interview with ABC News, the president touched on Hunter Biden’s trial, Donald Trump’s felony conviction and the war in Gaza.",545
Netanyahu Is Set to Address Congress on July 24,2024-06-07 03:29:30+00:00,"Netanyahu, Benjamin; Johnson, Mike (1972- ); McConnell, Mitch; Schumer, Charles E; Sanders, Bernard",,Israel-Gaza War (2023- ),Senate; House of Representatives; Hamas,https://www.nytimes.com/2024/06/06/world/middleeast/netanyahu-address-us-congress.html,"The political divide over the Israeli prime minister was evident even in the announcement of when he would appear, with Republican and Democratic leaders issuing separate statements.",349
A Careful Dance: How Hezbollah and Israel Have Kept the Lid on a Wider War,2024-06-07 04:01:59+00:00,"Nasrallah, Hassan",Israel; Gaza Strip; Lebanon; Iran; Middle East,Israel-Gaza War (2023- ); International Relations; Defense and Military Forces,Hezbollah; Hamas,https://www.nytimes.com/2024/06/07/world/middleeast/lebanon-israel-hezbollah.html,Both sides have their reasons for calibrating their attacks to avoid a regional conflict.,1643
"Israel Defends Strike on School, and Hallie Biden Testifies in Gun Trial",2024-06-07 10:00:10+00:00,"Biden, Hallie; Biden, Hunter; Sajak, Pat",Gaza Strip; Israel,Game Shows; Education (K-12); Civilian Casualties; United States Politics and Government; Israel-Gaza War (2023- ); Deaths (Fatalities); Drug Abuse and Traffic,,https://www.nytimes.com/2024/06/07/podcasts/gaza-school-strike-gun-trial.html,"Plus, Pat Sajak leaves “Wheel of Fortune.”",110
Netanyahu Threatened ‘Very Intense Action’ at the Lebanon Border. What Is Happening There?,2024-06-07 11:57:16+00:00,,Israel; Bekaa Valley (Lebanon); Middle East,Israel-Gaza War (2023- ); War and Armed Conflicts,Hezbollah; Hamas,https://www.nytimes.com/2024/06/07/world/middleeast/hezbollah-lebanon-israel.html,"Here’s a closer look at the clashes between Israel and the Lebanese militia Hezbollah, which have raised fears of a broader Middle East conflict.",697
"Gaza Aid Pier Repaired After Damage by Rough Seas, U.S. Says",2024-06-07 15:14:27+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Humanitarian Aid; Palestinians,Hamas,https://www.nytimes.com/2024/06/07/world/middleeast/gaza-aid-pier-repaired.html,"Food, water and other supplies are expected to begin to flow through the pier again “in the coming days,” the U.S. military said.",287
Transcript: Ezra Klein Interviews Annie Lowrey,2024-06-07 16:41:53+00:00,,,United States Economy,,https://www.nytimes.com/2024/06/07/podcasts/transcript-ezra-klein-interviews-annie-lowrey.html,"The June 7, 2024, episode of “The Ezra Klein Show.”",16027
"U.N. Adding Israel, Hamas and Islamic Jihad to List of Countries and Groups That Harm Children in War Zones",2024-06-07 18:13:46+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Terrorism,General Assembly (UN); Hamas; United Nations,https://www.nytimes.com/2024/06/07/world/middleeast/un-children-israel-hamas.html,"The report will be presented to members of the Security Council next week and released publicly on June 18, the U.N. said.",455
Blinken to Visit Israel and Three Arab States Next Week,2024-06-07 18:34:11+00:00,"Blinken, Antony J",Qatar; Jordan,Israel-Gaza War (2023- ); Palestinians; Kidnapping and Hostages,Hamas; Hezbollah,https://www.nytimes.com/2024/06/07/world/middleeast/blinken-israel-arab-states-middle-east.html,"The U.S. secretary of state is expected to visit Israel, Egypt, Qatar and Jordan over three days.",340
What We Know About Israel’s Deadly Strike on U.N. School Complex in Gaza,2024-06-07 20:59:06+00:00,,,Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/06/07/world/middleeast/israel-strike-un-school-gaza.html,Israel said it struck three classrooms used by 20 to 30 Palestinian militants. Gazan health authorities said that many women and children were among the dozens killed.,918
Israel Strikes Another School Building as It Pushes On in Gaza,2024-06-07 22:36:20+00:00,"Netanyahu, Benjamin",Gaza Strip,Israel-Gaza War (2023- ); Civilian Casualties; Palestinians,Hamas,https://www.nytimes.com/2024/06/07/world/middleeast/central-gaza-israel-hamas.html,"The Israeli military said it killed militants in the central part of the enclave on Friday, a day after a strike on a former school, where Gazan officials say civilians were killed.",811
George Clooney Complained to White House About Biden’s Criticism of I.C.C.,2024-06-08 03:34:49+00:00,"Biden, Joseph R Jr; Ricchetti, Steven; Clooney, George; Clooney, Amal",Israel; Gaza Strip,"Israel-Gaza War (2023- ); United States Politics and Government; United States International Relations; War Crimes, Genocide and Crimes Against Humanity",International Criminal Court,https://www.nytimes.com/2024/06/07/us/politics/george-clooney-biden-white-house-icc.html,"The actor contacted a top official to protest the president’s denunciation of the move to seek arrest warrants for top Israeli officials over the war in Gaza, a case his wife worked on.",643
"Macron Hosts Biden in Paris, Honoring a Not Always Easy Bond",2024-06-08 04:01:29+00:00,"Biden, Joseph R Jr; Macron, Emmanuel (1977- ); Trump, Donald J",Europe; France,United States International Relations; International Relations; Politics and Government; Israel-Gaza War (2023- ); United States Politics and Government; Defense and Military Forces; World War II (1939-45); Russian Invasion of Ukraine (2022); Presidential Election of 2024; Elections,"Elysee Palace (Paris, France); North Atlantic Treaty Organization",https://www.nytimes.com/2024/06/08/world/europe/macron-biden-france-us.html,"The friendship between France and the U.S. endures. But tensions have mounted over the wars in Gaza and Ukraine, and how Europe can step out of America’s shadow.",1434
A member of Netanyahu’s war cabinet who threatened to quit postpones a planned address.,2024-06-08 06:33:01+00:00,"Gantz, Benny",Gaza Strip,Israel-Gaza War (2023- ); Palestinians,Hamas,https://www.nytimes.com/2024/06/08/world/middleeast/benny-gantz-israel-news-conference.html,The decision comes as Israeli authorities announced that they had rescued four hostages who had been held in Gaza since Oct. 7.,665
A Small American Bomb Killing Palestinians by the Dozen in Gaza,2024-06-08 09:04:26+00:00,,Gaza Strip; Israel; Rafah (Gaza Strip),Israel-Gaza War (2023- ); Civilian Casualties; Missiles and Missile Defense Systems; Defense and Military Forces; Bombs and Explosives; United States International Relations; Foreign Aid; Arms Trade,,https://www.nytimes.com/2024/06/08/world/middleeast/us-israel-bomb-gbu39-gaza.html,The GBU-39 is increasingly the weapon of choice for the Israeli military and was used in two recent mass-casualty events.,1223
How Will Employers Regard Today’s Student Activists?,2024-06-08 11:00:19+00:00,,,"Colleges and Universities; Demonstrations, Protests and Riots; Labor and Jobs; Pro-Palestinian Campus Protests (2023- ); Israel-Gaza War (2023- ); Apartheid (Policy)",,https://www.nytimes.com/2024/06/08/opinion/student-activists-employers.html,Readers discuss a column by Pamela Paul about college protesters’ job prospects and future careers.,932
Who Are the Four Hostages Rescued in Gaza?,2024-06-08 14:20:51+00:00,"Argamani, Noa",,Israel-Gaza War (2023- ); Kidnapping and Hostages,,https://www.nytimes.com/2024/06/08/world/middleeast/who-are-the-four-hostages-rescued-in-gaza.html,"Since the Hamas-led terrorist attack on Oct. 7, Israel has freed only a small number of hostages through military force.",519
U.S. Intelligence Helped Israel Rescue Four Hostages in Gaza,2024-06-08 15:56:08+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Kidnapping and Hostages; Terrorism; United States International Relations,,https://www.nytimes.com/2024/06/08/world/middleeast/us-intelligence-israel-hostage-rescue.html,Intelligence collection and analysis teams from the U.S. and the U.K. have been in Israel throughout the war.,470
Israel Bombards Central Gaza During Hostage Rescue Operation,2024-06-08 16:26:58+00:00,,Gaza Strip; Israel; Nuseirat (Gaza Strip),Israel-Gaza War (2023- ); Kidnapping and Hostages; Rescues; Civilian Casualties; Defense and Military Forces,,https://www.nytimes.com/video/world/middleeast/100000009511807/nuseirat-gaza-israel-strikes.html,"Israeli forces struck Nuseirat, in the central Gaza strip, as they rescued four hostages in the town. Gazan officials said that scores of people were killed.",0
"Biden and Macron Talk Togetherness, With No Mention of Discord Over Gaza",2024-06-08 16:38:21+00:00,"Biden, Joseph R Jr; Macron, Emmanuel (1977- )",Paris (France); France,United States International Relations; Politics and Government; Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/06/08/world/europe/biden-macron.html,"The two presidents, in a brief appearance before reporters, declined to take questions, in a departure from tradition.",666
"Scores Killed in Central Gaza After Israeli Strikes, Hospital Officials Say",2024-06-08 17:57:50+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Civilian Casualties; Palestinians; Hospitals,Hamas,https://www.nytimes.com/2024/06/08/world/middleeast/israel-strikes-central-gaza.html,Video footage showed people running for cover as a powerful airstrike exploded near them. The attack appeared to have hit a market.,778
Here’s How Israel’s Mission to Rescue Four Hostages Unfolded,2024-06-08 19:42:08+00:00,"Argamani, Noa",,Israel-Gaza War (2023- ); Kidnapping and Hostages; Civilian Casualties,Hamas,https://www.nytimes.com/2024/06/08/world/middleeast/israel-mission-hostages-nuseirat.html,"The operation required weeks of planning and received the final go-ahead just a few minutes before it began, according to Israeli officials.",878
