Political_Follower_Name,Affiliation
Ian Schlakman,Green Party
"James G. ""Jesse Ventura"" Janos",Independent
Brian Matlock,Republican Party
David B. Collins,Green Party
Keenan Dunham,Libertarian Party
Rick Neighbors,Democratic Party
Chris Pringle,Republican Party
Phyllis Harvey-Hall,Democratic Party
Kiani Gardner,Democratic Party
Kaynen Pellegrino,Independent
Frederic Schultz,Democratic Party
Jim Vandermaas,Democratic Party
Michael Puskar,Republican Party
Amy McGrath,Democratic Party
Joe Walsh,Independent
Jaime Harrison,Democratic Party
Hirsh Singh,Republican Party
Doug Collins,Republican Party
Mo Brooks (i),Republican Party
Gary Palmer (i),Republican Party
Arnold Mooney,Republican Party
Bradley Byrne,Republican Party
Jeff Coleman,Republican Party
Sheila Tittle,Unaffiliated
"Sheila ""Samm"" Tittle",Unaffiliated
Claire Elisabeth Elliott,Independent
Eric James Borrell,Independent
Donald Trump,Republican Party
Donald J. Trump,Republican Party
David Schuster,Republican Party
Tom Hoefling,Unaffiliated
"George S., Jr. Flinn",Republican Party
Mark Sanford,Republican Party
Robert McGee,Independent
"Daniel ""Demand Daniel"" McCarthy",Republican Party
Gavin S. Clarkson,Republican Party
Edie Bukewihge,Democratic Party
Chris Lewis,Republican Party
Arvin Vohra,Libertarian Party
Elijah Manley,Democratic Party
Daniel Behrman,Libertarian Party
Eric Swalwell,Democratic Party
Bennie J. Smith,Democratic Party
Jimmy C. Ausbrooks,Democratic Party
Chris Janicek,Democratic Party
The Lincoln Project,Republican Party
John Hickenlooper,Democratic Party
Andrew Romanoff,Democratic Party
Michael Bennet,Democratic Party
Dwayne Stovall,Republican Party
Justin Amash,Republican Party
Jacob Hornberger,Libertarian Party
Ibrahim A. Taher,Republican Party
John Monds,Libertarian Party
Doug Jones,Democratic Party
Cristina Tzintzun Ramirez,Democratic Party
Amanda K. Edwards,Democratic Party
Adrian Ocegueda,Democratic Party
Deval Patrick,Democratic Party
President Boddie,Democratic Party
Adia Winfrey,Democratic Party
Gerard Beloin,Republican Party
C. Wesley Morgan,Republican Party
Turning Point USA,Republican Party
Eric Rothmuller,Democratic Party
Sedinam Moyowasifza-Curry,Green Party
Marianne Williamson,Democratic Party
Justice Democrats,Democratic Party
Jensen Bohren,Democratic Party
Bob Walsh,Libertarian Party
Jo Jorgensen,Libertarian Party
Brad Barron,Libertarian Party
Kenneth Blevins,Libertarian Party
Joe McHugh,Libertarian Party
Jason Buckley,Libertarian Party
Ed Tarver,Democratic Party
Allen Buckley,Libertarian Party
A. Wayne Johnson,Republican Party
Matthew Matern,Republican Party
Gene Siadek,Libertarian Party
Gary Dye,Republican Party
"Annie ""Mamá"" Garcia",Democratic Party
Gidget Groendyk,Republican Party
Max Abramson,Republican Party
Pete Buttigieg,Democratic Party
Howie Hawkins,Green Party
Joseph Kishore,Socialist Equality Party
Darcy Richardson,Alliance Party
Bill de Blasio,Democratic Party
Elizabeth Warren,Democratic Party
Jessica Scarane,Democratic Party
Annette Davis Jackson,Republican Party
Mark Stewart Greenstein,Democratic Party
Michael Katz,Independent
John Schiess,Republican Party
