Date,Trends
07-10-2022,"['#CASE143', '#MAXIDENT', 'Draymond', 'Poole', '#NCT127inLA']"
08-10-2022,"['#BTSOnTMA2022', 'jungkook', '#KPWorldTourSingapore', '#BTSOurForeverArtist', '#ExtremeRules']"
09-10-2022,"['Arsenal', '#JapaneseGP', 'Liverpool', '#ExtremeRules', '#HouseOfTheDragon']"
10-10-2022,"['#HouseOfTheDragon', 'Kyiv', '#WorldMentalHealthDay', 'Bleach', 'Columbus']"
11-10-2022,"['#chainsawman', 'MAMAMOO', 'Mbappe', '#PortfolioDay', 'Angela Lansbury']"
12-10-2022,"['#JIMINDAY', 'jungkook', '#chainsawman', '#HappyBirthdayJimin', 'Alex Jones']"
13-10-2022,"['#AMAs', 'Favorite Pop Duo or Group', 'Alex Jones', 'Donald Trump', 'Pelosi']"
14-10-2022,"['Hagrid', 'Pelosi', 'Robbie Coltrane', 'Nicki', 'Latto']"
15-10-2022,"['#YetToComeinBUSAN', 'Run BTS', 'namjoon', 'Walker', 'HOSEOK']"
16-10-2022,"['Madrid', 'Liverpool', 'Arsenal', '#ElClasico', '#HouseOfTheDragon']"
17-10-2022,"['#BallonDor', 'Benzema', '#HouseOfTheDragon', '#ForeverWithBTS', 'seokjin']"
18-10-2022,"['#TheAstronaut', 'The Astronaut', 'Yankees', 'Warriors', 'Broncos']"
19-10-2022,"['#지구에서년지성아환영해', 'Rubio', 'Warriors', 'Silent Hill', 'Lakers']"
20-10-2022,"['Liz Truss', 'Prime Minister', 'Ronaldo', 'Argentina', '#지에서년지성아_환영']"
21-10-2022,"['Taylor', 'Midnights', 'Taylor Swift', 'Spotify', 'Bannon']"
22-10-2022,"['#지구에서년지성아_환영해', 'Taylor Swift', '#MileApoxKPWTManila', '#UFC280', 'Chelsea']"
23-10-2022,"['Kohli', '#INDvPAK', '#HouseoftheDragon', 'Phillies', 'taeyong']"
24-10-2022,"['Happy Diwali', '#HouseoftheDragon', 'Rishi Sunak', 'Leslie Jordan', 'DeSantis']"
25-10-2022,"['WhatsApp', 'The Right', '#지구에서년지성아_환영해', 'Kanye', 'Adidas']"
26-10-2022,"['Fetterman', 'Rihanna', 'Barcelona', '#TEN_Birthday', '#PCAs']"
27-10-2022,"['Elon', 'Elon Musk', 'PayPal', '#PAKvsZIM', '#WakandaForever']"
28-10-2022,"['#TheAstronaut', 'Elon', 'seokjin', 'Rihanna', 'Paul Pelosi']"
29-10-2022,"['Itaewon', 'Chelsea', '#PaulSilva', 'Phillies', 'Liverpool']"
30-10-2022,"['Lula', '#MileApoTaipeiKPWT', 'Brazil', 'Silva', 'Jake Paul']"
31-10-2022,"['Halloween', 'Lula', 'Happy Halloween', 'Brazil', 'Trick or Treat']"
01-11-2022,"['Halloween', 'Takeoff', 'taylor', 'Pharrell', 'Happy Halloween']"
02-11-2022,"['#GenshinImpact', '#marsbahis', 'Nahida', 'Benfica', '#INDvsBAN']"
