Date,Trends
07-10-2023,"['Israel', 'Hamas', 'Gaza', 'Palestine', 'Iran']"
08-10-2023,"['Israel', 'Hamas', 'Gaza', 'Palestine', 'Iran']"
09-10-2023,"['Gaza', 'Israel', 'Hamas', 'Iran', '#IsraelPalestineWar']"
10-10-2023,"['Israel', 'Hamas', 'Gaza', 'Iran', 'SEVENTEEN']"
11-10-2023,"['Gaza', 'Hamas', 'Palestinian', 'Iran', 'So Will']"
12-10-2023,"['Hamas', 'Gaza', 'Israel', 'Palestinian', 'Jada']"
13-10-2023,"['#Gazagenocide', 'Friday the 13th', 'Jada', 'Chiefs', 'Broncos']"
14-10-2023,"['Gaza', 'Hamas', 'Friday the 13th', '#INDvsPAK', 'vmin']"
15-10-2023,"['Gaza', 'Hamas', 'London', 'Jim Jordan', 'Dillon Danis']"
16-10-2023,"['Gaza', '#Ripple', 'Ecuador', '#IsraelGazaWar', 'Brussels']"
17-10-2023,"['#GMMTV2024PART1', 'Jim Jordan', 'Official Twitter', 'The IDF', '#ENGFAxSnowLotus']"
18-10-2023,"['Jordan', 'BACK TO BACK', 'Official Twitter', '#GMMTV2024PART1', 'Islamic Jihad']"
19-10-2023,"['jungkook', 'Capitol', 'Insurrection', 'Republicans', 'Islamic Jihad']"
20-10-2023,"['jungkook', 'Jordan', 'Sidney Powell', 'Rep. Jim Jordan', '#Chanyeol_GoodEnoughMV']"
21-10-2023,"['Jordan', '#モニタリング分析', 'Arsenal', 'Chelsea', '#UFC294']"
22-10-2023,"['#UFC294', 'Ningning', 'Usman', 'Giants', 'Garcia']"
23-10-2023,"['SEVENTEEN', '#Bitcoin', 'Javier', 'Swift', 'Bills']"
24-10-2023,"['#Bitcoin', 'Tom Emmer', '#리노편_짱많아_생일축하해', '#TheWorldisLeeKnowsStage', 'jisoo']"
25-10-2023,"['Emmer', 'Mike Johnson', 'Erdogan', 'Meadows', 'Aave']"
26-10-2023,"['Mike Johnson', 'Maine', 'BBMAs', 'jaehyun', 'Aave']"
27-10-2023,"['#starlinkforgaza', 'Halloween', '#Gazabombing', 'Maine', '#1989TaylorsVersion']"
28-10-2023,"['Halloween', 'Maine', '#ElClasico', '#1989TaylorsVersion', 'FREENBECKY AWARD PRESENTER']"
29-10-2023,"['#CeasefireNOW', '#FreePalestine', 'Halloween', 'Francis', 'FNAF']"
30-10-2023,"['#CeasefireNOW', 'Halloween', 'Friends', 'taemin', 'Matthew Perry']"
31-10-2023,"['Happy Halloween', 'Yemen', 'Bolivia', 'The IRS', 'Sweat']"
01-11-2023,"['Halloween', 'Trump', 'Biden', '#HappyHalloween', 'Christmas']"
