Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
amyklobuchar,"October 07, 2023 01:13 PM",I strongly condemn the coordinated attack by Hamas terrorists against Israeli civilians. At least 40 are dead. At least 779 are injured. We stand with the Israeli people.,934,162,508,N/A
politico,"October 07, 2023 10:25 PM",Senate Dems look to push Jack Lew’s confirmation after attack in Israel,138,58,25,N/A
politico,"October 07, 2023 05:27 PM","Lawmakers want to help Israel, but political chaos could slow it down",73,41,36,N/A
politico,"October 07, 2023 05:40 PM",Iran praises Hamas as attack reverberates around Middle East,55,47,31,N/A
politico,"October 07, 2023 12:12 PM","U.S. condemns Hamas ‘terrorism,’ attacks on Israeli civilians",75,31,49,N/A
politico,"October 07, 2023 04:19 PM",Biden teams briefs Hill staffers on Hamas attack amid questions over intel lapses,84,43,60,266523
politico,"October 07, 2023 02:45 PM",GOP candidates blame Biden and Iran for Hamas attack on Israel,103,49,173,N/A
FoxNews,"October 07, 2023 12:54 PM",Opinion. Bidens dog isnt the problem. We need to look at Commanders owners Joe and Jill,930,125,397,N/A
FoxNews,"October 07, 2023 12:41 AM",Growing Democratic anger with Biden on immigration becoming political headache for POTUS: report,415,97,137,N/A
FoxNews,"October 07, 2023 01:31 AM",Conservatives disturbed by Clintons call for deprogramming Trump supporters: Pure authoritarianism,1395,386,1519,N/A
FoxNews,"October 07, 2023 01:17 AM",JESSE WATTERS: Joe Biden and Hillary Clinton are cut from the same cloth,478,61,236,N/A
FoxNews,"October 07, 2023 08:19 AM",Republicans bash Hillary Clinton for floating formal deprogramming of Trump supporters,413,90,499,164923
FoxNews,"October 07, 2023 06:41 AM","Chicago residents rip mayor, officials for plan to house migrants in local field house: Aint having that",180,46,69,N/A
FoxNews,"October 07, 2023 07:42 PM",House Judiciary Chairman Jordan praised for leadership on border crisis as speakers race heats up,241,31,101,N/A
FoxNews,"October 07, 2023 04:20 PM",GOP presidential candidates declare support for Israel after Hamas assault: Joe Biden funded these attacks,538,114,292,N/A
FoxNews,"October 07, 2023 12:41 AM",Growing Democratic anger with Biden on immigration becoming political headache for POTUS: report,415,97,137,N/A
FoxNews,"October 07, 2023 01:31 AM",Conservatives disturbed by Clintons call for deprogramming Trump supporters: Pure authoritarianism,1395,386,1519,N/A
FoxNews,"October 07, 2023 01:17 AM",JESSE WATTERS: Joe Biden and Hillary Clinton are cut from the same cloth,478,61,236,N/A
FoxNews,"October 07, 2023 08:19 AM",Republicans bash Hillary Clinton for floating formal deprogramming of Trump supporters,413,90,499,104674
FoxNews,"October 07, 2023 06:41 AM","Chicago residents rip mayor, officials for plan to house migrants in local field house: Aint having that",180,46,69,N/A
FoxNews,"October 07, 2023 07:42 PM",House Judiciary Chairman Jordan praised for leadership on border crisis as speakers race heats up,241,31,101,N/A
RepRaskin,"October 07, 2023 01:33 PM","Horrified and outraged by the bloody Hamas rocket fire and terror attack on Israel, with more than 40 people dead and hundreds wounded. America must stand strong with the people of Israel against this vicious terrorism.",6165,1012,1088,N/A
seanhannity,"October 07, 2023 01:03 PM","Kamala Harris Laughs Hysterically After Claiming Biden-Harris Policies Are ‘Popular, Popular, Popular!’",861,331,1518,N/A
seanhannity,"October 07, 2023 11:35 AM","Out of the 8,000 Troops Discharged Over Biden’s Vaccine Mandate, Only 43 Have Rejoined …",839,326,444,N/A
seanhannity,"October 07, 2023 12:01 PM",Biden administration begins to deport illegal immigrants back to Venezuela,645,124,378,N/A
GOP,"October 07, 2023 10:24 PM","Rep.  ""The statement that came out of the the U.S. Office for Palestinian Affairs this morning was despicable""",695,209,251,N/A
GOP,"October 07, 2023 01:27 PM",The Republican Party stands with Americas ally Israel!,2515,470,819,N/A
SenWarren,"October 07, 2023 04:28 PM","I strongly condemn the horrific attacks against Israel by Hamas. There is no justification for this terrorism, and my heart goes out to the innocent civilians suffering from this senseless violence.",2975,543,1212,N/A
DonaldJTrumpJr,"October 07, 2023 10:48 PM","Those look a lot more like American M-4s than the usual AK-47 we are used to seeing in the Middle East. Could these be from the stockpile of +- 70,000 fully automatic machine guns we left the Taliban?",31722,11959,3758,N/A
DonaldJTrumpJr,"October 07, 2023 02:36 PM",Just so we understand what we’re up against. Just so we all understand who the left is continually boosting at the expense of our #1 ally abroad. One day this savagery will come here because not only are we allowing it but we are encouraging it &funding it,52444,16429,6822,N/A
DonaldJTrumpJr,"October 07, 2023 07:05 PM","And now they have $86,000,000,000.00 in perfect US equipment to utilize against Israel because our leadership is so incompetent that they would leave to terrorists yes of thousands of M-4s, Humvees, night vision etc. Really glad the “adults” are back in charge.",17635,6588,1868,N/A
DonaldJTrumpJr,"October 07, 2023 05:15 PM",The Taliban has reportedly asked Iran for passage to Israel to help Hamas continue it’s terror against the Jewish state. …,85616,18600,14662,N/A
DonaldJTrumpJr,"October 07, 2023 01:46 PM",How is it possible that I’ve seen more videos out of this war in Israel in a few hours than I have from Ukraine in almost 2 years???,5718,1426,964,4074977
DonaldJTrumpJr,"October 07, 2023 11:13 PM","Yea, and the funds they had tied up for those things will now be free to continue the slaughter of innocents. You can’t possibly be that stupid or assume that the American people are!?!",41683,10918,4606,N/A
DonaldJTrumpJr,"October 07, 2023 05:29 PM",These restricted funds cannot go to Iran — it can only be used for future humanitarian-related purposes. Any suggestion to the contrary is false and misleading.,19155,6410,2641,N/A
SenSanders,"October 07, 2023 01:51 PM","I absolutely condemn the horrifying attack on Israel by Hamas and Islamic Jihad. There is no justification for this violence, and innocent people on both sides will suffer hugely because of it. It must end now.",57961,13408,7057,N/A
Booker4KY,"October 07, 2023 10:47 PM","There are no good words. The lives of innocent Israelis and Palestinians are continuing to be slain. Now, an unspeakable attack on this Simchat Torah has caused even more pain. I condemn the Hamas attack, and fear the threat of more lives lost. Praying for humanity and peace.",151,23,9,N/A
davidhogg111,"October 07, 2023 02:42 PM",It’s so ironic Trump says the media is against him when they’re clearly for him because they need the ratings. That’s why they  act like Biden wearing sneakers or stuttering is the same as Trump threatening to kill former government officials or illegally keeping and reportedly,7411,1763,1001,N/A
LifeNewsHQ,"October 07, 2023 05:40 PM",There is still no right to abortion in the Constitution.,252,40,6,N/A
LifeNewsHQ,"October 07, 2023 07:40 PM","Woman Battling Breast Cancer Rejects Abortion, Gives Birth to Healthy Baby Boy",302,47,10,N/A
LifeNewsHQ,"October 07, 2023 09:00 PM",Churches Must Proclaim Biblical Truth and Not Bow to Political Correctness,258,68,5,N/A
LifeNewsHQ,"October 07, 2023 03:19 PM",Former Planned Parenthood Abortion Clinic Manager: “It’s a Demonic Organization”,310,142,9,4705
LifeNewsHQ,"October 07, 2023 05:00 PM",14 Babies Baptized in Spain After They’re Rescued From Abortion Centers,980,158,19,N/A
RandPaul,"October 07, 2023 11:28 AM",My thoughts and prayers are with the people of Israel. These horrific and violent acts of terrorism should be universally condemned.,18083,2353,2050,N/A
SenTedCruz,"October 07, 2023 06:47 AM",Official Statement On Hamas War Against Israel.,12807,3473,1550,N/A
SenTedCruz,"October 07, 2023 06:50 PM",Sen. Cruz Releases Statement on Hamas War Against Israel:,779,151,200,N/A
SenTedCruz,"October 07, 2023 11:48 PM",My team and I are in touch with the State Department and doing everything in our power to ensure every Texan is safe.,594,70,74,N/A
SenTedCruz,"October 07, 2023 11:47 PM",INFORMATION FOR AMERICANS IN ISRAEL:  The latest updates from the US Embassy in Israel:  …  Enroll in Smart Traveler Enrollment Program:   For the latest travel advisory information: …  State Department Call,514,165,74,N/A
AnnCoulter,"October 07, 2023 05:56 PM",It’s a cloudy day. This never would’ve happened under Trump!!!,2631,320,650,N/A
AnnCoulter,"October 07, 2023 02:54 PM","War in Ukraine   War in Israel   8 million illegals   110,000 overdoses / year  Crimewaves across the US   NONE of this would have happened under President Trump.",1116,198,363,N/A
AnnCoulter,"October 07, 2023 05:40 PM",And the 8 million illegals never would have gotten in if he’d built the wall.,201,24,84,N/A
Jaybefaunt,"October 07, 2023 05:00 PM","BLACK PEOPLE, Yall need to pay attention to whats going on in Palestine right now. What Cops do to us is similar to what the IDF (Israeli Defense Forces) do to Palestinians. Their fight and our fight are linked because the IDF TRAINS US police! Support Palestine! #BlackTwitter",311,91,17,N/A
Jaybefaunt,"October 07, 2023 05:17 PM","Some of yall steady cheering on the Rebels in Star Wars but when real-life rebels in Palestine fight back against an apartheid, genocidal occupying force, yall side with the Empire? bff!",1508,417,74,N/A
Jaybefaunt,"October 07, 2023 02:22 PM",Good news! Freedom fighters in Palestine push back against colonial settlers in a surprise attack.,72,676,19,N/A
Jaybefaunt,"October 07, 2023 11:00 AM","THREAD    Hamas just invaded Israel (Occupied Palestine), launching a military operation on a scale never seen before.   This is unbelievable",44,17,2,N/A
Jaybefaunt,"October 07, 2023 02:13 PM","The same people that cry about Ukrainian sovereignty never say a word about Palestinian sovereignty. If you express solidarity with indigenous people, you must include Palestinians in that solidarity as well. If not, then youre a conditional supporter of colonialism. FULL STOP",348,6,2,6825
Jaybefaunt,"October 07, 2023 12:51 PM",Palestinians just lead a surprise early morning attack against Israeli settlements and kicked them out!  reporting right now! …,431,31,2,N/A
Jaybefaunt,"October 07, 2023 02:33 PM","You have NO room to talk. Youre literally sending money, arms and support to NAZIS in Ukraine. Palestinians are literally fighting to take back their land. You only stand with indigenous people on imperialist conditions. Youre a fraud.",97,68,8,N/A
Jaybefaunt,"October 07, 2023 03:49 PM","Palestinians are fighting illegal occupation. The fight is for freedom from that occupation, Dr. West. The Palestinians are under apartheid conditions on their own land. They must set the terms, not the government of Israel or the Western powers.",311,13,1,N/A
Jaybefaunt,"October 07, 2023 04:27 PM",If youre defending what Israel is doing against Palestinians then you are not Anti-Imperialist. The Palestinians are defending their land.,15,16,2,N/A
Jaybefaunt,"October 07, 2023 04:32 PM","Absolutely, bro. The same black people that defend Israel are the same ones that are pro Cop City. They dont really care about oppressed people.",31,6,4,28884
Jaybefaunt,"October 07, 2023 04:29 PM",Yet the United States has also done the same. But is anybody trying to exterminate the US? Freedom for Palestine includes queer Palestinians. Do not use liberation for queer people as an excuse to commit colonialism and genocide. STOP IT.,72,2,3,N/A
RevBlackNetwork,"October 07, 2023 05:29 PM",What is Happening in Israel? Palestine Fights Back Against Settler Colonialism. RBN Saturday LIVE …,1647,26,12,N/A
SteveSchmidtSES,"October 07, 2023 12:50 PM","""Many millions will vote for the false prophet if the choice comes between more chaos in defense of an abstract concept, like democracy, or law and order, even if it comes under the heel of a jack boot worn by a con man.""  More on how Donald Trump benefits most from the political",1725,562,196,N/A
SteveSchmidtSES,"October 07, 2023 04:01 PM","""America’s authoritarian movement has rooted itself within the Republican Party, and the party has sided with the authoritarian dictator of Russia against NATO, the EU, and Ukraine.""  We must be clear eyed about the potential danger ahead:",575,211,35,N/A
HuffPost,"October 07, 2023 10:16 AM",Israel Declares State Of War Alert After Hamas Claims Major Rocket Attack,33,8,9,N/A
HuffPost,"October 07, 2023 08:04 PM",Airlines Cancel Flights To Israel Amid Ongoing Hamas Attack,20,5,2,N/A
nytimes,"October 07, 2023 09:40 PM","Two 6.3-magnitude earthquakes killed nearly 200 people in western Afghanistan on Saturday, officials said, the second major quake to hit the country in less than two years. The number of casualties is expected to rise as search and rescue efforts continue.",211,85,27,N/A
nytimes,"October 07, 2023 01:10 AM",This chicken recipe is TikTok-famous for a reason. Make it for someone special.,219,29,21,N/A
nytimes,"October 07, 2023 08:40 AM","36 Hours in Florence, Italy: Nighttime strolls, lesser-known museums and tiny trattorias reveal a more intimate side of this popular Italian destination.",192,25,39,N/A
nytimes,"October 07, 2023 07:40 PM","Video verified by The New York Times appears to show several Israelis being taken hostage by Hamas militants in the Be’eri kibbutz, just under three miles southeast from the border with Gaza in southern Israel.",128,57,41,N/A
nytimes,"October 07, 2023 02:00 AM","Lawyers defending the pillow entrepreneur Mike Lindell in several defamation lawsuits this week filed to withdraw from the cases, citing “millions” of dollars in unpaid fees.",221,37,47,201058
IngrahamAngle,"October 07, 2023 03:40 PM",Why doesn’t Biden sound as effusive in his support for Israel as he does for Ukraine?,1031,209,666,N/A
IngrahamAngle,"October 07, 2023 03:08 PM","Today, I spoke with  about the appalling Hamas terrorist attacks in Israel. I offered our support and reiterated my unwavering commitment to Israel’s security.  and I express our heartfelt condolences to the families who have lost loved ones.",254,63,113,N/A
IngrahamAngle,"October 07, 2023 08:02 PM",Schumer and the Senate love them some CCP…  US Senate leader raises trade and fentanyl at start of 1st congressional visit to China since 2019. AP News,556,120,208,N/A
TheDemocrats,"October 07, 2023 09:34 PM","President  message to the people of Israel, to the world, and to terrorists everywhere: the United States stands with Israel.",1130,327,638,N/A
TheDemocrats,"October 07, 2023 01:02 AM","Democrats this week:  —Swore in the first Black lesbian to openly serve in the U.S. Senate —Approved another $9 billion in student loan cancellation —Learned the economy added 336,000 new jobs in September   Republicans this week:  —Ousted Kevin McCarthy as speaker of the House",2280,674,1052,N/A
RepSwalwell,"October 07, 2023 04:42 PM","After walking away from Ukraine, no MAGA Republican has credibility on who the US will defend. Cowards can sit this one out. We’ll take it from here. With the right leadership we can defend ourselves, Ukraine, Israel, and Taiwan.",23627,6244,10307,N/A
RepSwalwell,"October 07, 2023 01:42 PM","The Biden Administration must be held accountable for its appeasement of these Hamas terrorists, including handing over billions of dollars to them and their Iranian backers.",2636,347,372,N/A
joncoopertweets,"October 07, 2023 07:39 PM",Russia funds Iran  Iran funds Hamas.  Get the picture? #RussiaIsATerroristState,7114,3639,1072,N/A
RepAdamSchiff,"October 07, 2023 04:33 PM","I stand strongly with Israel in the face of this terrorist attack by Hamas and declaration of war on the people of Israel. Israel has the right to defend itself, and the U.S. must do all it can to assist Israel as it protects its citizens and takes all necessary steps to recover",4378,861,2204,N/A
RepAdamSchiff,"October 07, 2023 12:18 AM","America has long been a home for those fleeing persecution and seeking freedom and opportunity. Increasingly, foreign bad actors are pursuing them here.   Im introducing a bill to hold accountable foreign governments that harass U.S. persons & try to enforce their tyranny within",2440,542,587,N/A
AdamKinzinger,"October 07, 2023 03:29 PM",These dorks can’t for one second chill the hell out.,1,1024,75,N/A
AdamKinzinger,"October 07, 2023 07:03 AM",Going to be interesting on how the Biden administration responds to Israel declaring a war on protecting its own border from an invasion.,12750,1701,1249,N/A
AdamKinzinger,"October 07, 2023 03:38 PM",Dude when you’re licking Putins boots constantly it doesn’t take long for the ole algorithm to figure out that you don’t want to see Russian atrocities.  So you don’t.  #science,1205,113,239,N/A
AdamKinzinger,"October 07, 2023 01:46 PM",How is it possible that I’ve seen more videos out of this war in Israel in a few hours than I have from Ukraine in almost 2 years???,2181,88,223,66448
