Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
JewishJournal,"October 01, 2023 07:28 PM","Two things I periodically relearn and forget are that there are less Jewish people in the world than you’d think, and that bras are pretty expensive.",311,13,16,N/A
SYRedCrescent,"September 08, 2023 01:31 PM","Whether its Democrats intervening to make sure Jewish people arent targeted on Twitter, or Elon Musk intervening to make sure murderous Russians arent targeted by Ukrainians who want to defend their own country, both sides need to mind their own business.",1267,190,14,N/A
MBCGroup,"September 02, 2023 03:31 PM",Israeli police are brutally cracking down on Eritrean refugees in Tel Aviv. The land they dispossessed Palestinians from and made them refugees.  Today we see the essence and the core of Israeli supremacy. A single ethnoreligius state for White Jewish people.,764,344,237,N/A
opinonhaver,"September 20, 2023 04:43 PM",not to be middle eastern on the tl but i’m here freezing my ass off in my turtleneck and jacket and half of the people are vibing in their t shirts and shorts,1,16,1,N/A
DougJBalloon,"September 30, 2023 03:09 AM",I’m just a Jewish person who can’t figure out if Jesus Christ’s  middle  initial was F or H,345,23,56,32247
MariamBarghouti,"October 06, 2023 05:40 PM",I think a lot of queer white folks get very accustomed to being the most progressive person in THEIR social circles. Then they move into circles with BIPOC & Jewish people and start showing their asses and they do NOT take constructive feedback well.,1534,256,14,N/A
hotgirlhala,"October 03, 2023 08:00 PM","the more i read european modernists the more i feel that, if i were a progressive jewish person, i would not really want people to read ""the old testament""",5,2,2,N/A
melnickjeffrey1,"October 05, 2023 11:12 AM",Really disturbing how the status quo position on Jewish people in this country is one given by antisemitic philosemites who only consider Jewish people valid if they support the continued oppression and murder of Palestinians.,84,4,3,N/A
ldragoon,"October 05, 2023 07:16 PM","Explaining Jewish people to twitter ""so imagine Ben Gross""",38,1,4,N/A
nonchalantly_,"September 08, 2023 12:09 AM","it’s so easy to spot an arab woman if she’s telling a story she feels some type of way about, she doesn’t need to have an accent or anything lmaooo i’ll just know that’s my people",617,1793,10,38328
NotAFootGuy1,"October 05, 2023 08:37 PM",This is a battle for the soul of White America. The GOP have become full fledged fascists now & the ONLY GROUP they win as a majority is non Jewish White people. None of them would be in power without this group. So are you gonna be fascists or save democracy. Your “choice”,62,212,22,N/A
seriousdoge69,"October 05, 2023 07:48 PM",Kanye West Vs rat in cheese maze: Kanye west starts rapping about how the rat is jewish. The rat goes through maze and eats the cheese. The rat is undefeated against this endless lineup of foolish people,793,254,4,N/A
hotgirlhala,"October 06, 2023 09:39 PM","really cool that hackers are selling doxing info for like 1,000,000 Ashkenazi Jewish people thats just damned great. I hate it here.",205,12,3,N/A
michelle_byoung,"October 03, 2023 11:09 AM","The Chinese educate their kids in Chinese, the Arabs educate their kids in Arabic, the British educate their kids in English. It’s only in Africa education is defined by how much we can copy other people.",99,301,40,N/A
