Class, Base HP, Focus, Weapon Base, Weapon Stat, Rolls, Base Perfect ACC, STR, FOR, INT, AWA, TAL, SPD, 
Hobo, 34, 3, 0-6, SPD, 1, .7, 70, 70, 70, 70, 70, 70, 
Pathfinder, 32, 4, 2-6, TAL, 2, .578, 50, 58, 56, 76, 76, 70, 
Blacksmith, 40, 4, 4-9, FOR, 4, .37, 74, 78, 50, 60, 66, 58, 
Alchemist, 30, 5, 2-6, INT, 2, .578, 50, 54, 76, 60, 70, 76, 
Stablehand, 30, 4, 2-6, SPD, 2, .608, 74, 60, 50, 68, 56, 78, 
Scholar, 30, 5, 3-8, INT, 3, .475, 50, 50, 78, 66, 74, 68, 
Shepard, 38, 4, 3-8, AWA, 4, .334, 50, 76, 70, 76, 50, 64, 
Friar, 38, 5, 3-9, FOR, 3, .439, 68, 76, 76, 50, 56, 60, 
Woodcutter, 32, 4, 5-12, STR, 5, .289, 78, 64, 50, 74, 54, 66, 
Farmer, 38, 4, 4-10, STR, 5, .222, 74, 74, 50, 74, 56, 60, 
Herbalist, 32, 5, 3-7, INT, 4, .334, 50, 58, 76, 76, 64, 62, 
