Influencer_Xhandle,Influencer_Name,Political_Follower_Name,Political_Followers_XHandle,Political_Followers,Political_Followers_Party,Occupation,Party Leaning,Known in US in General? ,Influencer,Number of Followers on X,Comments
@OnStrikeShow,,Ian Schlakman,@iSchlakman,3,,,,,,,
@OnStrikeShow,,Howie Hawkins,@HowieHawkins,3,,,,,,,
@OnStrikeShow,,Jessica Scarane,@JessforDelaware,3,,,,,,,
@PatTheSocialist,,Ian Schlakman,@iSchlakman,3,,,,,,,
@PatTheSocialist,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,3,,,,,,,
@PatTheSocialist,,Brian Matlock,@KansasBrian,3,,,,,,,
@PeoplesParty_US,,Ian Schlakman,@iSchlakman,5,,,,,,,
@PeoplesParty_US,,Al Bartell,@BartellforGov,5,,,,,,,
@PeoplesParty_US,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,5,,,,,,,
@PeoplesParty_US,,Marianne Williamson,@marwilliamson,5,,,,,,,
@PeoplesParty_US,,Howie Hawkins,@HowieHawkins,5,,,,,,,
@PunchUpPod,,Ian Schlakman,@iSchlakman,3,,,,,,,
@PunchUpPod,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,3,,,,,,,
@PunchUpPod,,Brian Matlock,@KansasBrian,3,,,,,,,
@RevBlackNetwork,,Ian Schlakman,@iSchlakman,8,,,,,,,
@RevBlackNetwork,,Elijah Manley,@iElijahManley,8,,,,,,,
@RevBlackNetwork,,Sedinam Moyowasifza-Curry,@skcmcurry,8,,,,,,,
@RevBlackNetwork,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,8,,,,,,,
@RevBlackNetwork,,Marianne Williamson,@marwilliamson,8,,,,,,,
@RevBlackNetwork,,David B. Collins,@dbcgreentx,8,,,,,,,
@RevBlackNetwork,,Brian Matlock,@KansasBrian,8,,,,,,,
@RevBlackNetwork,,Daniel Behrman,@DanForTexas,8,,,,,,,
@SabbySabs2,,Ian Schlakman,@iSchlakman,3,,,,,,,
@SabbySabs2,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,3,,,,,,,
@SabbySabs2,,David B. Collins,@dbcgreentx,3,,,,,,,
@SarcasmStardust,,Ian Schlakman,@iSchlakman,4,,,,,,,
