category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Israeli'],"['Warm', 'Cold']",-0.017789,0.073509,-0.24199,0.003996,0.997003,0.004995
['Israeli'],"['Competence', 'Incompetence']",-0.024909,0.071917,-0.346355,0.001998,0.999001,0.003996
['Arabic'],"['Warm', 'Cold']",-0.018338,0.080289,-0.228402,0.003996,0.997003,0.005994
['Arabic'],"['Competence', 'Incompetence']",-0.026314,0.077349,-0.340196,0.002997,0.998002,0.004995
['IDF'],"['Warm', 'Cold']",-0.01377,0.065274,-0.210953,0.008991,0.992008,0.010989
['IDF'],"['Competence', 'Incompetence']",-0.022192,0.065569,-0.338454,0.002997,0.998002,0.005994
['Hamas'],"['Warm', 'Cold']",-0.012779,0.061388,-0.20816,0.004995,0.996004,0.00999
['Hamas'],"['Competence', 'Incompetence']",-0.019415,0.060922,-0.318678,0.001998,0.999001,0.006993
['Jewish'],"['Warm', 'Cold']",-0.019506,0.074765,-0.260898,0.001998,0.999001,0.002997
['Jewish'],"['Competence', 'Incompetence']",-0.024791,0.071246,-0.34796,0.001998,0.999001,0.001998
['Muslim'],"['Warm', 'Cold']",-0.023437,0.079769,-0.293814,0.000999,1.0,0.000999
['Muslim'],"['Competence', 'Incompetence']",-0.027569,0.076504,-0.360367,0.001998,0.999001,0.004995
