category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Warm'],"['Israeli', 'Arabic']",-0.006693,0.044214,-0.151372,0.068931,0.932068,0.121878
['Warm'],"['IDF', 'Hamas']",-0.00363,0.057487,-0.063147,0.34965,0.651349,0.719281
['Warm'],"['Jewish', 'Muslim']",-0.003066,0.046636,-0.065737,0.298701,0.702298,0.585415
['Cold'],"['Israeli', 'Arabic']",-0.007243,0.054495,-0.132901,0.087912,0.913087,0.173826
['Cold'],"['IDF', 'Hamas']",-0.002639,0.075744,-0.034839,0.464535,0.536464,0.92008
['Cold'],"['Jewish', 'Muslim']",-0.006997,0.056827,-0.123127,0.141858,0.859141,0.278721
['Competence'],"['Israeli', 'Arabic']",-0.00477,0.042624,-0.111901,0.140859,0.86014,0.277722
['Competence'],"['IDF', 'Hamas']",-0.001823,0.055539,-0.032818,0.425574,0.575425,0.889111
['Competence'],"['Jewish', 'Muslim']",-0.003958,0.04449,-0.088956,0.234765,0.766234,0.452547
['Incompetence'],"['Israeli', 'Arabic']",-0.006175,0.053437,-0.115553,0.098901,0.902098,0.211788
['Incompetence'],"['IDF', 'Hamas']",0.000955,0.074423,0.012831,0.507493,0.493506,0.942058
['Incompetence'],"['Jewish', 'Muslim']",-0.006736,0.055836,-0.120645,0.142857,0.858142,0.274725
