category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Israeli'],"['Warm', 'Cold']",0.010772,0.186253,0.057837,0.6004,0.400599,0.831169
['Israeli'],"['Competence', 'Incompetence']",-0.005601,0.132738,-0.042196,0.448551,0.552448,0.906094
['Arabic'],"['Warm', 'Cold']",-0.000716,0.046607,-0.015362,0.465534,0.535465,0.922078
['Arabic'],"['Competence', 'Incompetence']",-0.00923,0.034709,-0.26594,0.14985,0.851149,0.306693
['IDF'],"['Warm', 'Cold']",0.018635,0.082902,0.224778,0.848152,0.152847,0.305694
['IDF'],"['Competence', 'Incompetence']",0.002795,0.062191,0.044942,0.591409,0.40959,0.831169
['Hamas'],"['Warm', 'Cold']",0.007774,0.09699,0.080154,0.634366,0.366633,0.723277
['Hamas'],"['Competence', 'Incompetence']",0.005797,0.070024,0.082783,0.614386,0.386613,0.781219
['Jewish'],"['Warm', 'Cold']",0.005973,0.112828,0.052941,0.567433,0.433566,0.849151
['Jewish'],"['Competence', 'Incompetence']",0.00318,0.083707,0.037986,0.521479,0.47952,0.897103
['Muslim'],"['Warm', 'Cold']",0.008351,0.141264,0.059117,0.616384,0.384615,0.77023
['Muslim'],"['Competence', 'Incompetence']",-0.003299,0.101183,-0.032602,0.440559,0.56044,0.883117
